证券代码,证券名称,风险评分,风险项,风险项数量,风险详情
300058.SZ,蓝色光标,80,高应收款隐忧;财报亏损;股权分散;股权被司法拍卖,4,"截止20230630,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;最新年报20221231净利润：-21.75亿;拉卡拉支付股份有限公司(第一大股东)持股比例为4.19%。;蓝色光标：关于公司实际控制人涉及诉讼进展暨所持部分股份被司法拍卖的提示性公告"
300226.SZ,上海钢联,77,高预付款隐忧;毛利率偏低;诉讼风险;控股股东高质押,4,"截止20230630,该公司预付款和净资产均大于10亿，且预付款占净资产的1/2及以上;截止20230630,该公司扣非净利润为正，但毛利率为1.56%;截止至2023-09-26，公司近三年内诉讼仲裁次数大于2次;该公司存在控股股东质押比例超80%"
002050.SZ,三花智控,85,高应收款隐忧;股东退出;北上资金卖出,3,"截止20230630,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;最新一个报告期,公司有超过5个非自然人股东有退出或减仓;近20天内：单日出现净卖额超过2亿，且无单日超过2亿的净买额"
605133.SH,嵘泰股份,94,"应收款增加,低现金流",1,"截止20230630,公司应收账款增速为93.43%，净利润增速为44.02%，经营活动现金流（3289.02万元）小于净利润（7309.74万元）"
300462.SZ,华铭智能,84,高库存隐忧;财报亏损,2,截止至2023-06-30，货币资金占总资产不足15%，应收票据与应收款项之和占总资产超20%，存货占总资产超15%且存货周转率低于1.2 或 非房地产公司的存货超总资产的50%;最新季度20230630净利润：-125.35万
688568.SH,中科星图,78,存货同比大幅增加;应收账款占收入比例过高;货币资产充足仍举债;关联交易风险,4,"截止至20230630，该公司存货超过2亿且超过本期收入的1/3，存货相对去年同比增幅大于100%;截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为184.10%;截止20230630,公司货币资产为17.33亿元,流动负债合计为14.47亿元;业务单一且大量关联方交易(关联交易方占净利润69.68%)"
688130.SH,晶华微,90,扣非亏损;交易所监管,2,该公司最新财报显示净利润为正，但扣非净利润为负;关于杭州晶华微电子股份有限公司会计差错更正事项的监管工作函TXT:http://www.sse.com.cn/disclosure/credibility/supervision/measures/other/c/6881302023083090957696.doc
688118.SH,普元信息,90,财报亏损,1,最新季度20230630净利润：-3131.79万
002605.SZ,姚记科技,100,,,
301056.SZ,森赫股份,100,,,
300074.SZ,华平股份,85,财报亏损;会计师事务所变动,2,"最新季度20230630净利润：-1005.54万;最近1-2年内,会计师事务所发生变动"
688272.SH,*ST富吉,45,拟大比例减持;股东户数偏少;*ST股票,3,"股东持股的基本情况
    截至本公告披露日，北京富吉瑞光电科技股份有限公司（以下简称“富吉瑞”或“公司”）股东苏州空空创业投资合伙企业（有限合伙）（以下简称“苏州空空”）持有公司股份4882327股，占公司总股本的6.42%；苏州兆戎空天创业投资合伙企业（有限合伙）（以下简称“苏州兆戎”）持有公司2628810股，占公司总股本的3.46%；上海兆韧投资管理合伙企业（有限合伙）（以下简称“上海兆韧”）持有公司289200股，占公司总股本的0.38%。
    上述股份来源均为公司首次公开发行前股份，且已于2023年7月24日全部解除限售并上市流通。
    减持计划的主要内容
    公司股东苏州空空拟通过竞价交易、大宗交易方式减持股份数量合计不超过2441163股，即不超过公司总股本的3.21%；苏州兆戎拟通过竞价交易、大宗交易方式减持股份数量合计不超过1314405股，即不超过公司总股本的1.73%；上海兆韧拟通过竞价交易、大宗交易方式减持股份数量合计不超过144600股，即不超过公司总股本的0.19%。苏州空空、苏州兆戎、上海兆韧合计减持数量不超过3900168股，即不超过公司总股本的5.13%。本次减持期间：通过集中竞价方式减持的，自公告披露之日起15个交易日后的6个月内进行，通过大宗交易方式减持的，自公告披露之日起3个交易日后的6个月内进行。
    1、通过集中竞价方式减持的，自减持计划公告披露之日起15个交易日后的6个月内进行，即2023年8月24日至2024年2月23日；
    2、通过大宗交易方式减持的，自减持计划公告披露之日起3个交易日后的6个月内进行，即2023年8月8日至2024年2月7日。;截至20230630，该公司股东户数<4000;"
002893.SZ,京能热力,79,短期负债风险;交易所监管;拟大比例减持,3,"截止至2023-06-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;关于对龙达（北京）科技文化发展有限公司、邵沛的监管函TXT:http://reportdocs.static.szse.cn/UpFiles/jgsy/gkxx_jgsy_002893181767.pdf;一、股东的基本情况
    （一）股东名称：中山通用科技创业投资中心（有限合伙）
    （二）截至本公告日，公司特定股东中山通用投资持有公司股份8169133股，占公司总股本202800000股的比例为4.03%。
    二、本次减持计划主要内容
    1、减持原因：股东经营发展资金需求。
    2、股份来源：公司首次公开发行前已持有的公司股份及公司资本公积金转增的股份。
    3、减持期间：自本公告发布之日起3个交易日后的六个月内。
    4、减持方式：大宗交易、集中竞价交易等合法方式。采取集中竞价交易方式减持的，在任意连续九十个自然日内，减持股份的总数不超过公司股份总数的百分之一；采取大宗交易方式减持的，在任意连续九十个自然日内，减持股份的总数不超过公司股份总数的百分之二。
    5、拟减持股份数量及比例：本次累计减持不超过8112000股，即不超过公司总股本202800000股的4%（在减持计划实施期间，公司若发生派发红利、送红股、转增股本、增发新股或配股等除权、除息事项，减持股份数量将进行相应调整）。
    6、减持价格：根据减持时市场价格确定。减持价格不低于发行价（若期间公司发生资本公积转增股本、派送股票红利、派息、股票拆细、配股、缩股等事项，则上述价格将进行相应调整）。"
300056.SZ,中创环保,63,短期负债风险;财报亏损;诉讼风险;被频繁问询监管;交易所公开谴责;控股股东高质押,6,截止至2023-06-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;最新季度20230630净利润：-5149.00万;截止至2023-09-26，公司近三年内诉讼仲裁次数大于2次;截止至2023-09-26，公司近一年内问询监管次数大于3次;于2022-11-01公布关于对陈荣、张炳国、廖育华给予纪律处分的决定TXT:http://reportdocs.static.szse.cn/UpFiles/cfwj/2022-11-03_3000561175.pdf;该公司存在控股股东质押比例超80%
300085.SZ,银之杰,90,财报亏损,1,最新季度20230630净利润：-2733.74万
600446.SH,金证股份,85,扣非净利润陡降风险;股权分散,2,截止20230630，公司扣非净利润相比去年同期降幅超过50%;李结义(第一大股东)持股比例为8.99%。
000338.SZ,潍柴动力,90,高应收款隐忧;经营现金流风险,2,"截止20230630,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;截止至2022-12-31，经营活动产生的现金净流量低于净利润50%,资产负债率>60%"
301138.SZ,华研精机,100,,,
300935.SZ,盈建科,90,财报亏损,1,最新季度20230630净利润：-1227.30万
603939.SH,益丰药房,100,,,
300188.SZ,美亚柏科,80,财报亏损;会计师事务所变动;关联交易风险,3,"最新季度20230630净利润：-2.78亿;最近1-2年内,会计师事务所发生变动;业务单一且大量关联方交易(关联交易方占净利润35.59%)"
000977.SZ,浪潮信息,80,高应收款隐忧;扣非净利润陡降风险;股东退出,3,"截止20230630,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;截止20230630，公司扣非净利润相比去年同期降幅超过50%;最新一个报告期,公司有超过5个非自然人股东有退出或减仓"
301096.SZ,百诚医药,94,"应收款增加,低现金流",1,"截止20230630,公司应收账款增速为144.04%，净利润增速为40.51%，经营活动现金流（17.69万元）小于净利润（11946.08万元）"
002520.SZ,日发精机,72,财报亏损;会计师事务所变动;被频繁问询监管;控股股东高质押,4,"最新季度20230630净利润：-4691.30万;最近1-2年内,会计师事务所发生变动;截止至2023-09-26，公司近一年内问询监管次数大于3次;该公司存在控股股东质押比例超80%"
600754.SH,锦江酒店,100,,,
000065.SZ,北方国际,95,高应收款隐忧,1,"截止20230630,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上"
301231.SZ,荣信文化,90,扣非净利润陡降风险,1,截止20230630，公司扣非净利润相比去年同期降幅超过50%
603889.SH,新澳股份,100,,,
301503.SZ,智迪科技,100,,,
003007.SZ,直真科技,82,最大客户占营收比过高;财报亏损,2,根据该公司20221231的数据：第一大客户占公司全部营业收入比例78.24%;最新季度20230630净利润：-4115.98万
603528.SH,多伦科技,95,扣非亏损,1,该公司最新财报显示净利润为正，但扣非净利润为负
301159.SZ,三维天地,75,应收账款坏账风险;财报亏损;清仓式减持;拟大比例减持,4,"截止至2023-06-30,该公司应收账款(应收票据)周转天数大于500;最新季度20230630净利润：-5776.40万;二、股东后续减持计划的主要内容
    （一）股东基本情况
    1、股东名称:英豪（海南）创业投资有限公司－南京成贤一期创业投资合伙企业（有限合伙）、南京成贤三期创业投资合伙企业（有限合伙）、英豪（苏州）创业投资有限公司－南京雅枫一期创业投资合伙企业（有限合伙）。
    2、股东持有股份情况:截至本公告披露日，共持有公司股份2709151股，占公司总股本的3.50%。
    （二）后续减持计划的主要内容
    1、减持原因：自身资金计划。
    2、减持股份来源：公司首次公开发行股票前持有的公司股份。
    3、减持方式：集中竞价交易方式、大宗交易方式。
    4、减持数量及比例：
    成贤一期、雅枫一期、成贤三期拟通过集中竞价或大宗交易的方式合计减持不超过2709151股公司股份，减持比例不超过公司总股本的3.50%。通过集中竞价交易方式减持在任意连续90日内，减持股份的总数不超过公司股份总数的1%；以大宗交易方式减持在任意连续90日内，减持股份的总数不超过公司股份总数的2%。
    若减持期间有派息、送股、资本公积金转增股本、配股等除权除息事项，上述数量进行相应调整。
    5、减持期间：通过集中竞价交易方式进行减持的，自本公告披露之日起15个交易日后的6个月内实施；通过大宗交易方式进行减持的，自本公告披露之日起3个交易日后的6个月内实施，根据相关法律法规规定禁止减持的期间除外。
    6、减持价格区间：根据减持时的二级市场价格及交易方式确定，且不低于30.20元/股。(公告日期：20230616);二、股东后续减持计划的主要内容
    （一）股东基本情况
    1、股东名称:英豪（海南）创业投资有限公司－南京成贤一期创业投资合伙企业（有限合伙）、南京成贤三期创业投资合伙企业（有限合伙）、英豪（苏州）创业投资有限公司－南京雅枫一期创业投资合伙企业（有限合伙）。
    2、股东持有股份情况:截至本公告披露日，共持有公司股份2709151股，占公司总股本的3.50%。
    （二）后续减持计划的主要内容
    1、减持原因：自身资金计划。
    2、减持股份来源：公司首次公开发行股票前持有的公司股份。
    3、减持方式：集中竞价交易方式、大宗交易方式。
    4、减持数量及比例：
    成贤一期、雅枫一期、成贤三期拟通过集中竞价或大宗交易的方式合计减持不超过2709151股公司股份，减持比例不超过公司总股本的3.50%。通过集中竞价交易方式减持在任意连续90日内，减持股份的总数不超过公司股份总数的1%；以大宗交易方式减持在任意连续90日内，减持股份的总数不超过公司股份总数的2%。
    若减持期间有派息、送股、资本公积金转增股本、配股等除权除息事项，上述数量进行相应调整。
    5、减持期间：通过集中竞价交易方式进行减持的，自本公告披露之日起15个交易日后的6个月内实施；通过大宗交易方式进行减持的，自本公告披露之日起3个交易日后的6个月内实施，根据相关法律法规规定禁止减持的期间除外。
    6、减持价格区间：根据减持时的二级市场价格及交易方式确定，且不低于30.20元/股。"
300555.SZ,ST路通,4,应收账款坏账风险;财报亏损;会计师事务所变动;审计报告其他非标;被频繁问询监管;交易所公开谴责;公司被立案调查;交易所监管;股权冻结;ST股票,10,"截止至2023-06-30,该公司应收账款(应收票据)周转天数大于500;最新季度20230630净利润：-1103.61万;最近1-2年内,会计师事务所发生变动;我们按照中国注册会计师审计准则的规定执行了审计工作。审计报告的“注册会计师对财务报表审计的责任”部分进一步阐述了我们在这些准则下的责任。按照中国注册会计师职业道德守则，我们独立于路通视信公司，并履行了职业道德方面的其他责任。我们相信，我们获取的审计证据是充分、适当的，为发表审计意见提供了基础。;截止至2023-09-26，公司近一年内问询监管次数大于3次;于2023-05-10公布关于对无锡路通视信网络股份有限公司及相关当事人给予纪律处分的决定TXT:http://reportdocs.static.szse.cn/UpFiles/cfwj/2023-05-11_3005552329.pdf;信披违法违规;关于对无锡路通视信网络股份有限公司关联人的监管函TXT:http://reportdocs.static.szse.cn/UpFiles/jgsy/gkxx_jgsy_30055552649.pdf;2023-06-09,ST路通：无锡路通视信网络股份有限公司关于控股股东所持公司部分股份被司法标记及轮候冻结的公告;"
605028.SH,世茂能源,100,,,
603298.SH,杭叉集团,100,,,
603085.SH,天成自控,85,公允价值收益异常;财报亏损,2,"截止至20230630,该公司净利润大于1000万，公允价值变动收益和投资收益之和为负且绝对值大于净利润的1/4;最新年报20221231净利润：-2.73亿"
600710.SH,苏美达,85,高应收款隐忧;高预付款隐忧;会计师事务所变动,3,"截止20230630,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;截止20230630,该公司预付款和净资产均大于10亿，且预付款占净资产的1/2及以上;最近1-2年内,会计师事务所发生变动"
002487.SZ,大金重工,95,应收账款占收入比例过高,1,"截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为90.62%"
603080.SH,新疆火炬,100,,,
688610.SH,埃科光电,85,扣非净利润陡降风险;上市首日破发,2,截止20230630，公司扣非净利润相比去年同期降幅超过50%;公司上市首日即跌破发行价，跌幅为4.08%
300024.SZ,机器人,85,经营现金流风险;财报亏损,2,"截止至2022-12-31，经营活动产生的现金净流量低于净利润50%,资产负债率>60%;最新季度20230630净利润：-7319.69万"
301049.SZ,超越科技,90,财报亏损,1,最新季度20230630净利润：-3218.03万
000681.SZ,视觉中国,71,高商誉风险;分析师评级下调;负面事件,3,截止20230630公司商誉占总资产比例为32.72%;考虑业务复苏进程缓慢，下调2023/2024年净利润预测23.0%/28.1%至1.53/1.58亿元，现价对应69/67倍2023/2024年P/E。下调评级至中性，维持SOTP估值法，下调目标价27.9%至14.5元，潜在下行空间4.0%。;近日，视觉中国因一起版权问题，被卷入舆论漩涡之中。受此事件影响，视觉中国股价持续下挫，8月17日盘中跌幅一度超过9%，最近两日市值“蒸发”超10亿元。
688369.SH,致远互联,100,,,
300385.SZ,雪浪环境,74,扣非亏损;应收账款占收入比例过高;短期负债风险;财报亏损,4,"该公司最新财报显示净利润为正，但扣非净利润为负;截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为144.48%;截止至2023-06-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;最新年报20221231净利润：-1.17亿"
300652.SZ,雷迪克,100,,,
301222.SZ,浙江恒威,100,,,
002649.SZ,博彦科技,89,货币资产充足仍举债;股权分散,2,"截止20230630,公司货币资产为16.70亿元,流动负债合计为12.87亿元;王斌(第一大股东)持股比例为8.24%。"
000403.SZ,派林生物,67,高商誉风险;会计师事务所变动;股票频繁更名;控股股东高质押,4,"截止20230630公司商誉占总资产比例为32.33%;最近1-2年内,会计师事务所发生变动;截止目前，该公司历史更名次数达4次及以上;该公司存在控股股东质押比例超80%"
688004.SH,博汇科技,90,财报亏损,1,最新季度20230630净利润：-2240.41万
688600.SH,皖仪科技,100,,,
600755.SH,厦门国贸,70,高预付款隐忧;毛利率偏低;扣非净利润陡降风险;经营现金流风险;股东退出,5,"截止20230630,该公司预付款和净资产均大于10亿，且预付款占净资产的1/2及以上;截止20230630,该公司扣非净利润为正，但毛利率为1.14%;截止20230630，公司扣非净利润相比去年同期降幅超过50%;截止至2022-12-31，经营活动产生的现金净流量低于净利润50%,资产负债率>60%;最新一个报告期,公司有超过5个非自然人股东有退出或减仓"
301151.SZ,冠龙节能,100,,,
688628.SH,优利德,100,,,
300192.SZ,科德教育,100,,,
688633.SH,星球石墨,100,,,
002851.SZ,麦格米特,100,,,
605168.SH,三人行,90,高应收款隐忧;应收账款占收入比例过高;会计师事务所变动,3,"截止20230630,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为115.94%;最近1-2年内,会计师事务所发生变动"
688361.SH,中科飞测,94,货币资产充足仍举债,1,"截止20230630,公司货币资产为18.58亿元,流动负债合计为10.36亿元"
603221.SH,爱丽家居,90,财报亏损,1,最新季度20230630净利润：-85.91万
600228.SH,返利科技,75,三费占营收比例高;财报亏损;股票频繁更名;长期不分红,4,截止20221231，三大费用占营业收入50%以上，且较去年同期增长20%以上;最新季度20230630净利润：-1210.98万;截止目前，该公司历史更名次数达4次及以上;久不分红，公司最近一次现金分红为2001-12-31财报：10派0.3元(含税)
688316.SH,青云科技,75,财报亏损;员工人数陡降;研发人员减少;清仓式减持;拟大比例减持,5,"最新季度20230630净利润：-8210.43万;截止2022-12-31，公司员工人数相对上期下降34.94%;截止2022-12-31,公司研发人员相对上期减少46.24%;股东持股的基本情况苏州工业园区蝴蝶天翔投资中心（有限合伙）（以下简称“苏州天翔”）于北京青云科技股份有限公司（以下简称“青云科技”或“公司”）首发上市时持有公司股份1937792股（占公司总股本的4.08%），前述股份来源于公司首次公开发行前持有的股份，已于2022年3月16日解除限售并上市流通。截至本公告披露日，苏州天翔持有公司1917792股股份，占公司总股本的4.04%。
    减持计划的主要内容
    公司于近日收到苏州天翔出具的《关于减持青云科技股票计划及违反承诺减持股票致歉的告知函》，因股东自身资金需求，公司股东苏州天翔计划通过集中竞价、大宗交易或其他合法方式减持不超过公司股份1917792股（占公司总股本的4.04%）。其中，以集中竞价方式减持的数量不超过949243股，比例不超过公司总股本的2.00%，自本次减持股份计划公告披露之日起15个交易日后的6个月内进行；以大宗交易或其他合法方式减持的数量不超过1898487股，比例不超过公司总股本的4.00%，自本次减持股份计划公告披露之日起3个交易日后的6个月内进行。
    竞价交易减持期间：2023/3/7～2023/9/6。(公告日期：20230214);大股东持股的基本情况
    截至本公告披露日，横琴招证睿信投资中心（有限合伙）（以下简称“横琴招证”）持有北京青云科技股份有限公司（以下简称“青云科技”或“公司”）股份3113752股，占青云科技总股本的6.56%，前述股份来源于公司首次公开发行前持有的股份，已于2022年3月16日解除限售并上市流通
    减持计划的主要内容
    公司于近日收到股东横琴招证出具的《关于减持青云科技股票计划的告知函》，因股东自身业务发展需求，横琴招证计划通过集中竞价、大宗交易合计减持不超过公司股份2847728股，占公司总股本的6.00%。其中，以集中竞价方式减持的数量不超过949242股，比例不超过公司总股本的2.00%，且任意连续90日内减持数量不超过474621股（比例不超过公司总股本的1%）；以大宗交易减持的数量不超过1898486股，比例不超过公司总股本的4.00%，且任意连续90日内以大宗交易方式减持数量不超过949242股（比例不超过公司总股本的2%）。
    若此期间公司发生派发红利、送红股、转增股本、配股等除权除息事项的，对减持数量限额进行相应处理
    通过集中竞价方式减持的，自本次减持股份计划公告披露之日起15个交易日后的6个月内进行；通过大宗交易减持的，自本次减持股份计划公告披露之日起3个交易日后的6个月内进行。减持价格按市场价格确定且不低于公司股票发行价63.7元/股（青云科技如有派息、送股、资本公积金转增股本、配股等除权除息事项，发行价和股份数量将相应进行调整）。
    集中竞价减持期间：2023/4/20～2023/10/19。"
000963.SZ,华东医药,100,,,
601901.SH,方正证券,100,,,
600303.SH,ST曙光,-15,短期负债风险;财报亏损;诉讼风险;审计报告保留意见;被频繁问询监管;交易所公开谴责;高层涉刑;交易所监管;股权冻结;股权被司法拍卖;已大比例减持;ST股票,12,"截止至2023-06-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;最新季度20230630净利润：-1.61亿;截止至2023-09-26，公司近三年内诉讼仲裁次数大于2次;曙光股份在2021年9月24日召开第九届董事会第三十六次会议审议并批准公司收购控股股东之全资子公司天津美亚新能源汽车有限公司（以下简称“天津美亚”）汽车资产的关联交易议案，于2021年9月26日与天津美亚签署总价款为1.323亿元的资产购买协议（以下简称“协议”），并于2021年9月27日向天津美亚支付预付款6615万元，又于2021年12月15日与天津美亚签署补充协议。
在对曙光股份2022年度财务报表实施审计的过程中，我们注意到存在如下事项：
（一）截止本报告日，曙光股份重新聘请的专业评估机构对前述标的资产的评估工作仍在进行中，估值尚未确定，交易双方就该项标的资产的最终交易价格尚未达成协议。
（二）2022年5月5日曙光股份召开临时股东大会，决议终止购买天津美亚汽车资产，但有关该决议的法律效力问题尚在诉讼中，曙光股份管理层亦未实际执行该决议，有关天津美亚汽车资产的关联交易走向仍存在重大不确定性。
基于以上情形，我们无法就曙光股份上述关联交易定价的公允性以及曙光股份已支付天津美亚6615万元款项的性质认定及其可收回性认定获取充分、适当的审计证据。;截止至2023-09-26，公司近一年内问询监管次数大于3次;于2023-02-24公布关于对辽宁曙光汽车集团股份有限公司、控股股东华泰汽车集团有限公司、实际控制人张秀根及有关责任人予以纪律处分的决定TXT:http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/ce8cdcf0-5a9a-4fd0-b3b1-ebb42fc62000.pdf;2022-10-25资讯,ST曙光（600303）：关于控股股东股权被天津滨海新区公安局冻结的公告;关于辽宁曙光汽车集团股份有限公司相关重大诉讼进展的监管工作函TXT:http://www.sse.com.cn/disclosure/credibility/supervision/measures/other/c/6003032023080790661708.doc;2022-10-26,ST曙光：ST曙光关于控股股东股权被天津滨海新区公安局冻结的公告;ST曙光：ST曙光关于股东所持公司股份被司法拍卖的进展公告;截止至20230824，该公司重要股东近半年已减持的股份占总股本的比例为：15.97%;"
600880.SH,博瑞传播,95,员工人数陡降;诉讼风险,2,截止2022-12-31，公司员工人数相对上期下降39.98%;截止至2023-09-26，公司近三年内诉讼仲裁次数大于2次
002747.SZ,埃斯顿,89,经营现金流风险;短期负债风险,2,"截止至2022-12-31，经营活动产生的现金净流量低于净利润50%,资产负债率>60%;截止至2023-06-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3"
300170.SZ,汉得信息,80,扣非净利润陡降风险;应收账款占收入比例过高;股权分散,3,"截止20230630，公司扣非净利润相比去年同期降幅超过50%;截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为89.68%;陈迪清(第一大股东)持股比例为4.942%。"
600088.SH,中视传媒,85,财报亏损;关联交易风险,2,最新年报20221231净利润：-6529.00万;业务单一且大量关联方交易(关联交易方占净利润748.90%)
300540.SZ,蜀道装备,69,存货同比大幅增加;扣非亏损;财报亏损;拟大比例减持,4,"截止至20230630，该公司存货超过2亿且超过本期收入的1/3，存货相对去年同比增幅大于100%;该公司最新财报显示净利润为正，但扣非净利润为负;最新年报20221231净利润：-2510.13万;1、持本公司股份9768894股（占本公司总股本比例6.08%）的股东四川简阳港通经济技术开发有限公司（以下简称“简阳港通”）计划在本公告披露之日起15个交易日后的六个月内以集中竞价交易方式减持本公司股份不超过780000股（不超过公司总股本比例0.4854%）；自公告之日起3个交易日后的六个月内以大宗交易方式减持本公司股份不超过3000000股（不超过公司总股本比例1.8669%）
    2、持本公司股份8041500股（占本公司总股本比例5.00%）的股东徐州楚祥嘉信投资企业（有限合伙）（以下简称“徐州楚祥”）及持本公司股份1512225股（占本公司总股本比例0.94%）的股东洋浦楚业信投资合伙企业（有限合伙）（以下简称“洋浦楚业信”）计划在本公告披露之日起15个交易日后的六个月内以集中竞价交易方式合计减持本公司股份不超过936000股（不超过公司总股本比例0.5824%）；自公告之日起3个交易日后的六个月内以大宗交易方式合计减持本公司股份不超过6427000股（不超过公司总股本比例3.9996%），任意连续90个自然日内以大宗交易方式减持合计不超过公司股份总数的2%
    3、持本公司股份3423145股（占本公司总股本比例2.13%）的高级管理人员文向南先生计划自本公告披露之日起15个交易日后的六个月内以集中竞价交易方式或自公告之日起3个交易日后的六个月内以大宗交易方式合计减持本公司股份不超过780000股（不超过公司总股本比例0.4854%）
    4、持本公司股份2185493股（占本公司总股本比例1.36%）的高级管理人员张建华先生计划自本公告披露之日起15个交易日后的六个月内以集中竞价交易方式或自公告之日起3个交易日后的六个月内以大宗交易方式合计减持本公司股份不超过540000股（不超过公司总股本比例0.3360%）
    减持时间区间：简阳港通、徐州楚祥、洋浦楚业信、文向南、张建华通过集中竞价交易减持时间为自公告披露之日起15个交易日后6个月内（即2023年7月7日至2024年1月6日），通过大宗交易减持时间为自公告披露之日起3个交易日后的六个月内（即2023年6月19日至2023年12月18日）"
601689.SH,拓普集团,95,股东退出,1,"最新一个报告期,公司有超过5个非自然人股东有退出或减仓"
300288.SZ,朗玛信息,95,关联交易风险,1,业务单一且大量关联方交易(关联交易方占净利润43.82%)
301052.SZ,果麦文化,87,股东退出;股权冻结,2,"最新一个报告期,公司有超过5个非自然人股东有退出或减仓;2023-08-28,果麦文化：关于持股5%以上股东股份被司法冻结的公告"
601360.SH,三六零,80,投资收益巨亏;财报亏损;已大比例减持,3,"截止2022-12-31,公司投资收益为-12.93亿,且扣非净利润为-18.64亿;最新季度20230630净利润：-2.31亿;截止至20230605，该公司重要股东近半年已减持的股份占总股本的比例为：6.25%"
300468.SZ,四方精创,85,会计师事务所变动;拟大比例减持,2,"最近1-2年内,会计师事务所发生变动;持本公司股份120926510.00股（占本公司总股本比例22.79%）的股东益群集团控股有限公司（以下简称“益群控股”）计划以大宗交易或集中竞价的方式减持本公司股份共计不超过21225971股（占本公司总股本比例4%），其中，通过大宗交易方式减持的，将于本减持计划公告之日起3个交易日之后的六个月内进行（2023年8月10日-2024年2月9日），且任意连续90个自然日内不超过公司股份总数的2%；通过集中竞价方式减持的，将于本减持计划公告之日起15个交易日之后的六个月内进行（2023年8月28日-2024年2月27日），且任意连续90个自然日内不超过公司股份总数的1%。"
002415.SZ,海康威视,84,应收账款占收入比例过高;货币资产充足仍举债;关联交易风险,3,"截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为84.18%;截止20230630,公司货币资产为346.70亿元,流动负债合计为332.16亿元;业务单一且大量关联方交易(关联交易方占净利润32.40%)"
002802.SZ,洪汇新材,100,,,
688051.SH,佳华科技,75,应收账款坏账风险;财报亏损;会计师事务所变动;研发人员减少,4,"截止至2023-06-30,该公司应收账款(应收票据)周转天数大于500;最新季度20230630净利润：-6032.42万;最近1-2年内,会计师事务所发生变动;截止2022-12-31,公司研发人员相对上期减少47.61%"
301378.SZ,通达海,90,财报亏损,1,最新季度20230630净利润：-508.61万
603088.SH,宁波精达,100,,,
600231.SH,凌钢股份,90,财报亏损,1,最新季度20230630净利润：-9965.10万
603019.SH,中科曙光,94,货币资产充足仍举债,1,"截止20230630,公司货币资产为58.59亿元,流动负债合计为46.62亿元"
001289.SZ,龙源电力,100,,,
301380.SZ,挖金客,92,大比例解禁,1,"挖金客首发、公开增发网下配售股份,在三个月内解禁1160.35万股，解禁比例17.06%>8%"
600803.SH,新奥股份,100,,,
605228.SH,神通科技,95,高管频繁变动,1,近期该公司高管人员变更频繁
603569.SH,长久物流,100,,,
603466.SH,风语筑,95,应收账款占收入比例过高,1,"截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为156.16%"
301079.SZ,邵阳液压,100,,,
301006.SZ,迈拓股份,94,"应收款增加,低现金流",1,"截止20230630,公司应收账款增速为35.47%，净利润增速为11.54%，经营活动现金流（2464.16万元）小于净利润（6557.55万元）"
301072.SZ,中捷精工,100,,,
300803.SZ,指南针,77,市盈率过高;扣非净利润陡降风险;三费占营收比例高,3,该公司最新财报显示净利润为正，但TTM市盈率超过300;截止20230630，公司扣非净利润相比去年同期降幅超过50%;截止20221231，三大费用占营业收入50%以上，且较去年同期增长20%以上
002051.SZ,中工国际,85,公允价值收益异常;应收账款占收入比例过高;会计师事务所变动,3,"截止至20230630,该公司净利润大于1000万，公允价值变动收益和投资收益之和为负且绝对值大于净利润的1/4;截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为105.73%;最近1-2年内,会计师事务所发生变动"
688367.SH,工大高科,95,应收账款坏账风险,1,"截止至2023-06-30,该公司应收账款(应收票据)周转天数大于500"
600640.SH,国脉文化,80,扣非亏损;财报亏损;关联交易风险,3,该公司最新财报显示净利润为正，但扣非净利润为负;最新年报20221231净利润：-2.00亿;业务单一且大量关联方交易(关联交易方占净利润139.94%)
000719.SZ,中原传媒,95,股东退出,1,"最新一个报告期,公司有超过5个非自然人股东有退出或减仓"
