股票代码,股票简称,风险评分,风险项,风险项数量,风险详情
603116.SH,红蜻蜓,74.0,扣非亏损;市盈率过高;货币资产充足仍举债;业绩公告预警;业绩变脸风险,5.0,"该公司最新财报显示净利润为正，但扣非净利润为负;该公司最新财报显示净利润为正，但TTM市盈率超过300;截止20220930,公司货币资产为13.37亿元,流动负债合计为12.34亿元;预计公司2022年01-12月归属于母公司股东的净利润亏损2500万元-3750万元。;截止2023-01-30，三季报显示公司盈利，但预告今年业绩或将亏损"
300722.SZ,新余国科,94.0,"应收款增加,低现金流",1.0,"截止20220930,公司应收账款增速为42.84%，净利润增速为18.81%，经营活动现金流（1394.14万元）小于净利润（5422.41万元）"
002490.SZ,山东墨龙,66.0,短期负债风险;流动性风险;业绩公告预警;业绩变脸风险;财报亏损;高管频繁变动;长期不分红,7.0,截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;截止至2022-09-30，流动比率小于1，速动比率小于0.5;预计公司2022年01-12月归属于上市公司股东的净利润为-37000万元至-34000万元，与上年同期相比变动幅度为-0.54%至7.61%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-2.66亿;近期该公司高管人员变更频繁;久不分红，公司最近一次现金分红为2012-12-31财报：10派0.5元(含税)
605598.SH,上海港湾,100.0,,,
000750.SZ,国海证券,80.0,净利润陡降风险;业绩公告预警,2.0,截止20220930，公司扣非净利润相比去年同期降幅超过50%;预计公司2022年01-12月归属于上市公司股东的净利润为24940.79万元，与上年同期相比变动幅度为-67.38%。
300907.SZ,康平科技,84.0,最大客户占营收比过高;负面事件,2.0,根据该公司20211231的数据：第一大客户占公司全部营业收入比例52.90%;受限电影响，下属部分公司全部产线临时限电停产
002217.SZ,合力泰,69.0,高应收款隐忧;短期负债风险;业绩公告预警;业绩变脸风险;财报亏损;股权冻结,6.0,"截止20220930,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;预计公司2022年01-12月归属于上市公司股东的净利润为-330000万元至-220000万元，与上年同期相比变动幅度为-4399.03%至-2966.02%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-15.18亿;2022-12-03,合力泰：关于持股5%以上股东股份被轮候冻结的公告"
300455.SZ,康拓红外,87.0,应收账款占收入比例过高;高库存隐忧;最大客户占营收比过高,3.0,"截止至2022-09-30,该公司营业收入大于5亿,应收账款占收入比例为120.42%;截止至2022-09-30，货币资金占总资产不足15%，应收票据与应收款项之和占总资产超20%，存货占总资产超15%且存货周转率低于1.2 或 非房地产公司的存货超总资产的50%;根据该公司20211231的数据：第一大客户占公司全部营业收入比例52.76%"
688351.SH,微电生理,90.0,扣非亏损;上市首日破发,2.0,该公司最新财报显示净利润为正，但扣非净利润为负;公司上市首日即跌破发行价，跌幅为20.35%。
000952.SZ,广济药业,80.0,净利润陡降风险;业绩公告预警,2.0,截止20220930，公司扣非净利润相比去年同期降幅超过50%;预计公司2022年01-12月归属于上市公司股东的净利润为4160万元-5400万元，与上年同期相比下降50.96%-62.22%。
002221.SZ,东华能源,67.0,净利润陡降风险;高财务费用;业绩公告预警;关联交易风险,4.0,"截止20220930，公司扣非净利润相比去年同期降幅超过50%;截止2022-09-30,该公司财务费用高于归属母公司股东净利润。;预计公司2022年01-12月归属于上市公司股东的净利润为4000万元至4500万元，与上年同期相比变动幅度为-96.49%至-96.05%。;业务单一且大量关联方交易(关联交易方占净利润31.81%)"
002686.SZ,亿利达,92.0,交易所公开谴责,1.0,于2022-08-03公布关于对戴明西给予公开谴责处分的决定TXT:http://reportdocs.static.szse.cn/UpFiles/cfwj/2022-08-18_002686101567.pdf
002766.SZ,索菱股份,70.0,扣非亏损;三费占营收比例高;员工人数陡降;股票频繁更名;研发人员减少;股权冻结,6.0,"该公司最新财报显示净利润为正，但扣非净利润为负;截止20211231，三大费用占营业收入50%以上，且较去年同期增长20%以上;截止2021-12-31，公司员工人数相对上期下降31.72%;截止目前，该公司历史更名次数达4次及以上;截止2021-12-31,公司研发人员相对上期减少40.00%;2022-08-05,索菱股份：关于持股5%以上股东质押冻结股份发生被动减持的公告"
002877.SZ,智能自控,88.0,高库存隐忧;短期负债风险,2.0,截止至2022-09-30，货币资金占总资产不足15%，应收票据与应收款项之和占总资产超20%，存货占总资产超15%且存货周转率低于1.2 或 非房地产公司的存货超总资产的50%;截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3
600713.SH,南京医药,89.0,高应收款隐忧;短期负债风险,2.0,"截止20220930,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3"
002169.SZ,智光电气,65.0,扣非亏损;财务粉饰;业绩公告预警;清仓式减持,4.0,该公司最新财报显示净利润为正，但扣非净利润为负;截止至2022-09-30，非经常性损益22926万>3*净利润3462万、净利润3462万>500万;预计公司2022年01-12月归属于上市公司股东的净利润为3000万元至4500万元，与上年同期相比变动幅度为-91.07%至-86.6%。;控股股东、实际控制人之一致行动人TXT:    持有广州智光电气股份有限公司（以下简称“公司”）股份15340116股（占公司总股本的1.95%）的股东卢洁雯女士计划自本减持计划公告之日起十五个交易日后的六个月内以集中竞价交易或大宗交易的方式减持其持有的公司股份15340116股（占公司总股本的1.95%），若计划减持期间有送股、配股资本公积转增股本等股份变动事项，则对该数量进行相应调整。卢洁雯女士系公司控股股东、实际控制人之一致行动人。
688016.SH,心脉医疗,100.0,,,
000768.SZ,中航西飞,54.0,高应收款隐忧;经营现金流风险;最大客户占营收比过高;高负债率;关联交易风险,5.0,"截止20220930,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;截止至2022-12-31，经营活动产生的现金净流量低于净利润50%,资产负债率>60%;根据该公司20211231的数据：第一大客户占公司全部营业收入比例93.23%;截止20220930,公司负债率为82.104%;业务单一且大量关联方交易(关联交易方占净利润119.46%)"
836395.BJ,朗鸿科技,95.0,成交不活跃,1.0,"截止20230313,该公司最近20日日均成交量低于30万股(北证低于10万股)"
002135.SZ,东南网架,77.0,高应收款隐忧;经营现金流风险;交易所监管;关联交易风险,4.0,"截止20220930,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;截止至2022-12-31，经营活动产生的现金净流量低于净利润50%,资产负债率>60%;关于对浙江东南网架集团有限公司、郭明明的监管函TXT:http://reportdocs.static.szse.cn/UpFiles/jgsy/gkxx_jgsy_002135177382.pdf;业务单一且大量关联方交易(关联交易方占净利润39.51%)"
688118.SH,普元信息,75.0,业绩公告预警;已大比例减持,2.0,预计公司2022年01-12月归属于母公司所有者的净利润为100万元至150万元，与上年同期相比变动幅度为-97.44%至-96.17%。;截止至20230310，该公司重要股东近半年已减持的股份占总股本的比例为：5.54%
301083.SZ,百胜智能,100.0,,,
688209.SH,英集芯,85.0,上市首日破发;大比例解禁,2.0,"公司上市首日即跌破发行价，跌幅为9.70%。;英集芯首发、公开增发网下配售股份,在三个月内解禁17213.74万股，解禁比例40.99%>8%"
001896.SZ,豫能控股,57.0,负债率逐年递增;最大客户占营收比过高;高负债率;业绩公告预警;业绩变脸风险;财报亏损;长期不分红,7.0,"截止20211231，资产负债率逐年递增10%以上且最近年度高于70%;根据该公司20211231的数据：第一大客户占公司全部营业收入比例69.60%;截止20220930,公司负债率为83.930%;预计公司2022年01-12月归属于上市公司股东的净利润为-230000万元至-195000万元，与上年同期相比变动幅度为-11.91%至5.12%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-13.90亿;久不分红，公司最近一次现金分红为2003-12-31财报：10派0.5元(含税)"
301260.SZ,格力博,100.0,,,
688789.SH,宏华数科,89.0,"应收款增加,低现金流;股东户数偏少",2.0,"截止20220930,公司应收账款增速为34.51%，净利润增速为14.32%，经营活动现金流（5893.80万元）小于净利润（18641.96万元）;截至20220930，该公司股东户数<4000"
835237.BJ,力佳科技,90.0,长时间停牌;成交不活跃,2.0,"于2022-06-15，Jun 15 2022  9:30AM单次停牌时长超过两个月;截止20230313,该公司最近20日日均成交量低于30万股(北证低于10万股)"
605116.SH,奥锐特,94.0,"应收款增加,低现金流",1.0,"截止20220930,公司应收账款增速为71.20%，净利润增速为39.60%，经营活动现金流（8859.42万元）小于净利润（18639.44万元）"
300783.SZ,三只松鼠,65.0,净利润陡降风险;业绩公告预警;已大比例减持,3.0,截止20220930，公司扣非净利润相比去年同期降幅超过50%;预计公司2022年01-12月归属于上市公司股东的净利润为12000万元至14000万元，与上年同期相比变动幅度为-70.81%至-65.95%。;截止至20230222，该公司重要股东近半年已减持的股份占总股本的比例为：5.06%
688173.SH,希荻微,80.0,市盈率过高;业绩公告预警;业绩变脸风险;财报亏损,4.0,该公司最新财报显示净利润为正，但TTM市盈率超过300;预计公司2022年01-12月归属于母公司所有者的净利润为-1900万元至-1300万元，与上年同期相比变动幅度为-174%至-151%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20221231净利润：-1637.17万
000898.SZ,鞍钢股份,62.0,毛利率偏低;净利润陡降风险;流动性风险;高财务费用;业绩公告预警,5.0,"截止20220930,该公司扣非净利润为正，但毛利率为2.46%;截止20220930，公司扣非净利润相比去年同期降幅超过50%;截止至2022-09-30，流动比率小于1，速动比率小于0.5;截止2022-09-30,该公司财务费用高于归属母公司股东净利润。;预计公司2022年01-12月归属于上市公司股东的净利润为15600万元，与上年同期相比变动幅度为-97.76%。"
002417.SZ,*ST深南,10.0,财报亏损;被频繁问询监管;股票频繁更名;审计报告其他非标;股权冻结;*ST股票,6.0,"最新季度20220930净利润：-1089.55万;截止至2023-03-14，公司近一年内问询监管次数大于3次;截止目前，该公司历史更名次数达4次及以上;我们提醒财务报表使用者关注，如财务报表附注十三、（二）资产负债表日存在的重要或有事项1.实际控制人涉诉对公司的影响所述，截止本财务报告批准报出日，实际控制人涉诉对公司的潜在影响无法准确预计，未来结果存在不确定性。本段内容不影响已发表的审计意见。;2022-08-26,*ST深南：关于控股股东股份新增轮候冻结的公告;"
688248.SH,南网科技,92.0,最大客户占营收比过高,1.0,根据该公司20211231的数据：第一大客户占公司全部营业收入比例56.21%
002163.SZ,海南发展,72.0,经营现金流风险;业绩公告预警;业绩变脸风险;财报亏损;诉讼风险;长期不分红,6.0,"截止至2022-12-31，经营活动产生的现金净流量低于净利润50%,资产负债率>60%;预计公司2022年01-12月归属于上市公司股东的净利润为-16000万元至-12000万元，与上年同期相比变动幅度为-253%至-215%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-7147.87万;截止至2023-03-14，公司近三年内诉讼仲裁次数大于2次;久不分红，公司最近一次现金分红为2011-12-31财报：10派0.5元(含税)"
600664.SH,哈药股份,80.0,净利润陡降风险;高应收款隐忧;经营现金流风险,3.0,"截止20220930，公司扣非净利润相比去年同期降幅超过50%;截止20220930,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;截止至2022-12-31，经营活动产生的现金净流量低于净利润50%,资产负债率>60%"
603958.SH,哈森股份,90.0,业绩公告预警;业绩变脸风险;财报亏损,3.0,预计公司2022年01-12月归属于上市公司股东的净利润亏损14000万元-16500万元。;截止2023-01-30，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-1.03亿
301192.SZ,泰祥股份,92.0,最大客户占营收比过高,1.0,根据该公司20211231的数据：第一大客户占公司全部营业收入比例59.67%
002188.SZ,中天服务,67.0,经营现金流风险;业绩公告预警;诉讼风险;股票频繁更名;长期不分红,5.0,"截止至2022-12-31，经营活动产生的现金净流量低于净利润50%,资产负债率>60%;预计公司2022年01-12月归属于上市公司股东的净利润为5000万元至6500万元，与上年同期相比变动幅度为-66.54%至-56.5%。;截止至2023-03-14，公司近三年内诉讼仲裁次数大于2次;截止目前，该公司历史更名次数达4次及以上;久不分红，公司最近一次现金分红为2009-12-31财报：10转增3股派0.5元（含税）"
600033.SH,福建高速,100.0,,,
301309.SZ,万得凯,95.0,上市首日破发,1.0,公司上市首日即跌破发行价，跌幅为13.62%。
603713.SH,密尔克卫,80.0,高应收款隐忧;清仓式减持,2.0,"截止20220930,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;股东TXT:    股东持股的基本情况
    截至本公告披露日，北京君联茂林股权投资合伙企业（有限合伙）（以下简称“君联茂林”）持有密尔克卫化工供应链服务股份有限公司（以下简称“公司”）股份4222796股，占公司当前总股本的2.57%。
    减持计划的主要内容
    君联茂林计划通过上海证券交易所交易系统以集中竞价、大宗交易方式减持公司股份数量不超过4222796股，其中，以集中竞价交易方式减持的股份数量不超过3000000股，以大宗交易方式减持的股份数量不超过1222796股，即合计减持不超过公司当前总股本的2.57%。以集中竞价方式减持的，自本公告披露之日起3个交易日后的6个月内进行（2022/11/17 ～2023/5/16）；以大宗交易方式减持的，自本公告披露之日起3个交易日后的6个月内进行。"
603637.SH,镇海股份,100.0,,,
603288.SH,海天味业,100.0,,,
300076.SZ,GQY视讯,24.0,业绩公告预警;业绩变脸风险;财报亏损;清仓式减持;可能被*ST,5.0,预计公司2022年01-12月归属于上市公司股东的净利润为-1725万元至-1150万元，与上年同期相比变动幅度为-117.7%至-45.13%。;截止2023-01-18，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-683.97万;持股5%以上股东的一致行动人TXT:    持有本公司股份5145900股（占本公司总股本比例1.2137%）的5%以上股东郭启寅先生的一致行动人GUOZHEN先生计划在2022年11月24日—2023年5月23日以集中竞价或大宗交易方式减持本公司股份5145900股（占本公司总股本比例1.2137%）。;
300690.SZ,双一科技,85.0,公允价值收益异常;业绩公告预警,2.0,"截止至20220930,该公司净利润大于1000万，公允价值变动收益和投资收益之和为负且绝对值大于净利润的1/4;预计公司2022年01-12月归属于上市公司股东的净利润为6771.12万元至9780.5万元，与上年同期相比变动幅度为-55%至-35%。"
300982.SZ,苏文电能,100.0,,,
600578.SH,京能电力,87.0,流动性风险;高财务费用,2.0,"截止至2022-09-30，流动比率小于1，速动比率小于0.5;截止2022-09-30,该公司财务费用高于归属母公司股东净利润。"
605500.SH,森林包装,90.0,业绩公告预警,1.0,预计公司2022年01-12月归属于母公司所有者的净利润为13600万元，与上年同期相比变动幅度为-51.82%。
002066.SZ,瑞泰科技,89.0,短期负债风险;长期不分红,2.0,截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;久不分红，公司最近一次现金分红为2012-12-31财报：10派0.5元(含税)
688669.SH,聚石化学,89.0,公允价值收益异常;短期负债风险,2.0,"截止至20220930,该公司净利润大于1000万，公允价值变动收益和投资收益之和为负且绝对值大于净利润的1/4;截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3"
300296.SZ,利亚德,84.0,高库存隐忧;业绩公告预警,2.0,截止至2022-09-30，货币资金占总资产不足15%，应收票据与应收款项之和占总资产超20%，存货占总资产超15%且存货周转率低于1.2 或 非房地产公司的存货超总资产的50%;预计公司2022年01-12月归属于上市公司股东的净利润为22000万元至28500万元，与上年同期相比变动幅度为-63.99%至-53.35%。
688152.SH,麒麟信安,100.0,,,
600335.SH,国机汽车,87.0,高应收款隐忧;诉讼风险,2.0,"截止20220930,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;截止至2023-03-14，公司近三年内诉讼仲裁次数大于2次"
603206.SH,嘉环科技,100.0,,,
000429.SZ,粤高速A,100.0,,,
000576.SZ,甘化科工,65.0,市盈率过高;高商誉风险;高层被立案调查,3.0,"该公司最新财报显示净利润为正，但TTM市盈率超过300;截止20220930公司商誉占总资产比例为36.43%;截止至20230202,广东甘化科工股份有限公司（以下简称“公司”）董事长胡煜鐄先生于近日收到中国证券监督管理委员会（以下简称“中国证监会”）下发的《立案告知书》（编号：证监立案字0062023002号）。告知书主要内容为：“因你涉嫌短线交易“甘化科工”股票，根据《中华人民共和国证券法》、《中华人民共和国行政处罚法》等法律法规，中国证监会决定对你立案。”"
000999.SZ,华润三九,100.0,,,
300112.SZ,万讯自控,100.0,,,
688199.SH,久日新材,90.0,业绩公告预警,1.0,预计公司2022年01-12月归属于母公司所有者的净利润为4200万元至5000万元，与上年同期相比变动幅度为-74.65%至-69.82%。
688435.SH,英方软件,100.0,,,
600583.SH,海油工程,87.0,最大客户占营收比过高;研发人员减少,2.0,"根据该公司20220630的数据：第一大客户占公司全部营业收入比例67.04%;截止2021-12-31,公司研发人员相对上期减少19.03%"
002003.SZ,伟星股份,100.0,,,
600523.SH,贵航股份,92.0,关联交易风险,1.0,业务单一且大量关联方交易(关联交易方占净利润58.39%)
603093.SH,南华期货,100.0,,,
688348.SH,昱能科技,90.0,大比例解禁,1.0,"昱能科技首发、公开增发网下配售股份,在三个月内解禁1170.95万股，解禁比例14.64%>8%"
603399.SH,吉翔股份,95.0,交易所监管,1.0,关于锦州吉翔钼业股份有限公司信息披露相关事项的监管工作函TXT:http://www.sse.com.cn/disclosure/credibility/supervision/measures/other/c/6033992023011888151358.doc
688580.SH,伟思医疗,100.0,,,
600812.SH,华北制药,79.0,短期负债风险;业绩公告预警;业绩变脸风险;交易所监管,4.0,截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;预计公司2022年01-12月归属于上市公司股东的净利润为-68400万元，与上年同期相比变动幅度为-3751.9%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损;对公司业绩预告相关事项发出监管工作函TXT:http://www.sse.com.cn/disclosure/credibility/supervision/measures/other/c/6008122023013088210141.doc
600070.SH,浙江富润,61.0,短期负债风险;应收账款坏账风险;财报亏损;交易所公开谴责;审计报告其他非标,5.0,"截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;截止至2022-09-30,该公司应收账款(应收票据)周转天数大于500;最新季度20220930净利润：-2.06亿;于2022-06-27公布关于对浙江富润数字科技股份有限公司重大资产重组交易对方江有归、付海鹏予以公开谴责的决定TXT:http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/f6dbd211-a223-4d96-84f3-a026f54c7b0a.pdf;我们提醒财务报表使用者关注：(一)如财务报表附注十四(五)3所述，浙江富润公司子公司杭州泰一指尚科技有限公司（以下简称泰一指尚）2019年度经审计的扣除非经常性损益后归属于母公司的净利润低于江有归、付海鹏承诺的业绩。鉴于未完成业绩承诺引致的业绩补偿款金额较大，经浙江富润公司与江有归、付海鹏协商，约定由江有归、付海鹏于2021年12月31日前以现金方式向浙江富润公司支付2019年度业绩补偿款。截至浙江富润公司财务报表批准报出日，公司收到江有归、付海鹏支付的2019年度业绩补偿款100万元，剩余业绩补偿款后续支付计划暂未确定，未来收取情况存在不确定性。(二)如财务报表附注十四(五)4所述，浙江富润公司子公司泰一指尚2020年度经审计的扣除非经常性损益后归属于母公司的净利润低于江有归、付海鹏承诺的业绩。截至浙江富润公司财务报表批准报出日，浙江富润公司尚未就上述净利润完成情况引致的业绩补偿等事宜与江有归、付海鹏等达成一致意见，浙江富润公司尚未启动对江有归、付海鹏的追偿，未来是否进行追偿、实际追偿金额及对财务报表的影响存在不确定性。(三)如财务报表附注十四(六)所述，浙江富润公司将持有的甘肃上峰水泥股份有限公司股票2,800.01万股分类为以公允价值计量且其变动计入当期损益的金融资产，截至2021年12月31日，该项金融资产账面价值为人民币56,196.19万元，2021年度，该项金融资产的公允价值变动收益1,568.01万元。该项金融资产所及股价涨跌可能对浙江富润公司未来财务状况和经营成果产生重大影响。"
430489.BJ,佳先股份,100.0,,,
300498.SZ,温氏股份,84.0,短期负债风险;高财务费用;股权分散,3.0,"截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;截止2022-09-30,该公司财务费用高于归属母公司股东净利润。;温鹏程(第一大股东)持股比例为3.97%。"
002530.SZ,金财互联,67.0,财报亏损;研发人员减少;交易所公开谴责;股权冻结,4.0,"最新季度20220930净利润：-1.00亿;截止2021-12-31,公司研发人员相对上期减少34.98%;于2022-09-07公布关于对上海湾区科技发展有限公司给予公开谴责处分的决定TXT:http://reportdocs.static.szse.cn/UpFiles/cfwj/2022-09-08_002530101593.pdf;2022-05-05,金财互联：关于持股5%以上股东部分股权被冻结的公告"
600079.SH,人福医药,52.0,高应收款隐忧;被频繁问询监管;交易所公开谴责;审计报告其他非标;债券违约;股权冻结,6.0,"截止20220930,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;截止至2023-03-14，公司近一年内问询监管次数大于3次;于2023-02-07公布关于对人福医药集团股份公司、控股股东武汉当代科技产业集团股份有限公司、实际控制人艾路明及有关责任人予以纪律处分的决定TXT:http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/8b0c2da7-3e3c-48ee-8106-81e062b3facf.pdf;我们提醒财务报表使用者关注，如财务报表附注“十、关联方关系及其交易(五)关联交易情况”，贵公司存在控股股东占用公司资金的情况。截止报告日，控股股东已归还全部本金及利息。本段内容不影响已发表的审计意见。;实质性违约TXT:截至本公告日，公司未能按期足额偿付本期债券的本息。;2023-03-10,人福医药：人福医药关于控股股东所持股份被轮候冻结的公告"
300254.SZ,仟源医药,85.0,业绩公告预警;业绩变脸风险;财报亏损;股权分散,4.0,预计公司2022年01-12月归属于上市公司股东的净利润亏损8500万元-12000万元。;截止2023-01-30，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-2537.17万;翁占国(第一大股东)持股比例为6.53%。
873223.BJ,荣亿精密,80.0,业绩公告预警;大比例解禁,2.0,"预计公司2022年01-12月归属于上市公司股东的净利润为858.43万元，与上年同期相比变动幅度为-62.65%。;荣亿精密首发、公开增发网下配售股份,在三个月内解禁10890.00万股，解禁比例69.24%>8%"
300978.SZ,东箭科技,80.0,公允价值收益异常;清仓式减持,2.0,"截止至20220930,该公司净利润大于1000万，公允价值变动收益和投资收益之和为负且绝对值大于净利润的1/4;合计持股5%以上股东TXT:    二、股东后续减持计划
    截至上期减持计划期限届满，股东上海泓成、上海聚澄、祥禾涌安、涌创铧兴的减持计划未全部实施，拟继续实施股份减持计划，并向公司出具了《合计持股5%以上股东关于广东东箭汽车科技股份有限公司股份的减持计划告知函》。现将后续减持计划公告如下：
    （一）股东的基本情况
    1、上海泓成持有公司股份13843042股，占公司股份总数的3.27%。
    2、上海聚澄持有公司股份13843042股，占公司股份总数的3.27%。
    3、祥禾涌安持有公司股份5531218股，占公司股份总数的1.31%。
    4、涌创铧兴持有公司股份4422972股，占公司股份总数的1.05%。
    （二）本次减持计划的主要内容
    1、本次拟减持的原因：上海泓成、上海聚澄、祥禾涌安和涌创铧兴自身资金需要。
    2、本次拟减持的股份来源：公司首次公开发行前取得的股份。
    3、减持方式：集中竞价、大宗交易、协议转让或其他深圳证券交易所认可的合法方式。
    4、减持期间：
    通过大宗交易、协议转让方式减持的，计划减持期间为自本减持计划公告之日起3个交易日之后的六个月内。
    通过在证券交易所集中竞价交易方式减持的，计划减持期间为自本减持计划公告之日起15个交易日之后的六个月内。
    5、减持价格：本次减持价格将根据市场价格确定。
    6、本次拟减持的股份数量、减持比例：
    股东上海泓成、上海聚澄、祥禾涌安和涌创铧兴本次拟减持股份数量合计不超过37640274股，占公司股份总数的8.90%，如通过集中竞价方式减持的，合计减持不超过25362164股，占本公司总股本比例不超过6.00%；如通过大宗交易、协议转让方式减持的，合计减持不超过37640274股，占公司总股本比例不超过8.90%。具体减持计划如下：
    （1）股东上海泓成计划减持总股数为不超过13843042股，占公司股份总数的3.27%。如通过集中竞价方式减持，计划减持不超过9327496股，占公司股份总数的2.21%；如通过大宗交易、协议转让方式减持，计划减持不超过13843042股，占公司股份总数的3.27%。
    （2）股东上海聚澄计划减持总股份数为不超过13843042股，占公司股份总数的3.27%。如通过集中集中竞价方式减持，计划减持不超过9327496股，占公司股份总数的2.21%；如通过大宗交易、协议转让方式减持，计划减持不超过13843042股，占公司股份总数的3.27%。
    （3）股东祥禾涌安计划减持总股份数为不超过5531218股，占公司股份总数的1.31%。如通过集中集中竞价方式减持，计划减持不超过3726956股，占公司股份总数的0.88%；如通过大宗交易、协议转让方式减持，计划减持不超过5531218股，占公司股份总数的1.31%。
    （4）股东涌创铧兴计划减持总股份数为不超过4422972股，占公司股份总数的1.05%。如通过集中集中竞价方式减持，计划减持不超过2980216股，占公司股份总数的0.71%；如通过大宗交易、协议转让方式减持，计划减持不超过4422972股，占公司股份总数的1.05%。
    上海泓成、上海聚澄、祥禾涌安和涌创铧兴均为符合中国证监会颁布的《上市公司创业投资基金股东减持股份的特别规定》规定的创业投资基金，适用创业投资基金减持符合条件的上市公司股份的特别规定：采取集中竞价交易方式的，在任意连续30日内，减持股份的总数不得超过公司股份总数的1%；采取大宗交易方式的，在任意连续30日内，减持股份的总数不得超过公司股份总数的2%。若在减持计划实施期间内公司发生送红股、资本公积转增股本等股本变动事项的，上海泓成、上海聚澄、祥禾涌安和涌创铧兴将根据股本变动对减持计划进行相应调整。"
600358.SH,国旅联合,51.0,经营现金流风险;短期负债风险;业绩公告预警;诉讼风险;股票频繁更名;长期不分红;股权冻结,7.0,"截止至2022-12-31，经营活动产生的现金净流量低于净利润50%,资产负债率>60%;截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;预计公司2022年01-12月归属于上市公司股东的净利润为700万元-1050万元，与上年同期相比下降58%-72%。;截止至2023-03-14，公司近三年内诉讼仲裁次数大于2次;截止目前，该公司历史更名次数达4次及以上;久不分红，公司最近一次现金分红为2007-12-31财报：10派0.23元（含税）;2022-09-03,国旅联合：国旅联合股份有限公司关于第二大股东当代旅游股份冻结公告"
600584.SH,长电科技,92.0,诉讼风险;研发人员减少,2.0,"截止至2023-03-14，公司近三年内诉讼仲裁次数大于2次;截止2021-12-31,公司研发人员相对上期减少52.83%"
301035.SZ,润丰股份,90.0,公允价值收益异常;高应收款隐忧,2.0,"截止至20220930,该公司净利润大于1000万，公允价值变动收益和投资收益之和为负且绝对值大于净利润的1/4;截止20220930,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上"
300841.SZ,康华生物,80.0,应收账款占收入比例过高;已大比例减持,2.0,"截止至2022-09-30,该公司营业收入大于5亿,应收账款占收入比例为114.90%;截止至20230215，该公司重要股东近半年已减持的股份占总股本的比例为：5.56%"
002995.SZ,天地在线,90.0,业绩公告预警;财报亏损,2.0,预计公司2022年01-12月归属于上市公司股东的净利润为220万元至320万元，与上年同期相比变动幅度为-95.93%至-94.08%。;最新季度20220930净利润：-626.40万
002342.SZ,巨力索具,100.0,,,
601686.SH,友发集团,75.0,毛利率偏低;净利润陡降风险;业绩公告预警,3.0,"截止20220930,该公司扣非净利润为正，但毛利率为1.55%;截止20220930，公司扣非净利润相比去年同期降幅超过50%;预计公司2022年01-12月归属于上市公司股东的净利润为26659万元至30959万元，与上年同期相比变动幅度为-56.59%至-49.59%。"
603235.SH,天新药业,100.0,,,
300174.SZ,元力股份,100.0,,,
000972.SZ,ST中基,30.0,市净率过高;被频繁问询监管;股票频繁更名;交易所监管;ST股票,5.0,该公司最新财报显示净利润为正，但市净率超过30;截止至2023-03-14，公司近一年内问询监管次数大于3次;截止目前，该公司历史更名次数达4次及以上;关于对中基健康产业股份有限公司的监管函TXT:http://reportdocs.static.szse.cn/UpFiles/jgsy/gkxx_jgsy_000972175099.pdf;
