证券代码,证券名称,流通市值,总市值,最新价,涨跌幅,所属同花顺行业,三级行业,二级行业,一级行业,主营产品,投资逻辑,公司亮点,所属概念,沪深指数
002030.SZ,达安基因,139.6,139.6,9.95,1.22,医药生物-医疗器械-体外诊断,体外诊断,医疗器械,生物医药,体外诊断试剂,国内分子诊断试剂行业的龙头企业,国内核酸诊断试剂领域领先者,"MSCI,抗原检测,抗艾滋病,基因测序,埃博拉,国企改革,新冠检测,医保目录,大数据,证金持股,幽门螺杆菌,基因芯片,塑化剂,地方国企改革,肝炎,分子诊断,超级真菌,霍乱,食品安全,登革热,寨卡病毒,辅助生殖,广东国企改革,医疗器械,猴痘,抗癌,体外诊断",中证500
600886.SH,国投电力,866.6,927.3,12.44,1.22,公用事业-电力-水电,水电,电力,公共事业,水电（四川等）,水电为主、水火并济、风光为补的综合电力公司,清洁能源为主、水电火电均衡，全国布局的电源结构抗风险能力强,"太阳能,煤价下跌受益,MSCI,兰新白试验区,电力改革,国企改革,绿色电力,新能源,证金持股,国投系,央企国企改革,同花顺中特估100,地方国企改革",沪深300
603042.SH,华脉科技,29.3,29.3,18.25,1.22,通信-通信设备-通信线缆及配套,光缆,通信,科技,光通信网络设备,通信行业物理连接产品及整体解决方案领跑者,专注为电信运营商，主设备商和网络集成商提供一流的通信网络连接,"物联网,5G,光纤光缆,WiFi 6,F5G,数据中心,人工智能,边缘计算",
002766.SZ,索菱股份,44.7,49.3,5.81,1.22,交运设备-汽车零部件-汽车零部件Ⅲ,汽车电子,汽车零部件,汽车,汽车电子产品,CID系统技术行业领先,珠三角经济区最具规模和实力的CID系统生产厂家之一，具有20多年行业经验,"无人驾驶,智能汽车,车联网,胎压监测,人工智能",
002495.SZ,佳隆股份,17.8,23.3,2.49,1.22,食品饮料-食品加工制造-调味发酵品,调味品,食品,必需消费,鸡精,中国鸡精行业十强企业,公司鸡粉、鸡精销售量合计居行业前列,"调味品,味精,大消费,债转股(AMC)",
300048.SZ,合康新能,64.8,64.9,5.83,1.22,机械设备-自动化设备-工控设备,输变电,电气设备,电力设备,高压变频器,国内高压变频器行业的龙头企业,集专业研发、生产高压、大功率变频器的高科技企业,"储能,新基建,节能电机,光伏,节能环保",
300307.SZ,慈星股份,51.5,52.1,6.67,1.21,机械设备-专用设备-纺织服装设备,纺织设备,纺织,可选消费,电脑针织横机,我国电脑针织机械领域领先企业,我国电脑针织机械领域领先企业,"工业机器人,军工,储能,人工智能,中瑞自贸协定,国产替代,工业互联网,锂电设备,网络游戏,芯片,华为,机器视觉,机器人,C2M,工业4.0,边缘计算,虚拟现实,比亚迪,电子商务,HJT电池,光伏,锂电池",
000792.SZ,盐湖股份,1043.1,1043.1,19.2,1.21,基础化工-化学制品-钾肥,化肥,基础化工,化工,氯化钾,国内最大的钾肥生产企业,青海国资委旗下，国内最大的钾肥生产企业，依托卤水锂资源量全球第三的察尔汗盐湖开展盐湖提锂业务,"锂矿,化肥,国企改革,盐湖提锂,同花顺漂亮100,特色小镇,旅游,盐酸,PVC,锂电原料,比亚迪,新能源汽车,钾肥,硫酸钾,地方国企改革,锂电池",沪深300
600857.SH,宁波中百,22.5,22.5,10.02,1.21,商贸零售-零售-百货零售,百货,零售,可选消费,浙江百货,商业百货批发和零售商,主营包括商业、房地产业、旅游饮食服务等行业的公司,"共同富裕示范区,徐翔",
601188.SH,龙江交通,44.1,44.1,3.35,1.21,交通运输-公路铁路运输-高速公路,高速公路,公路,交通运输,公路收费,黑龙江省首家高速公路板块上市公司,黑龙江地区较大的以经营管理高速公路为主业的公司,"黑龙江自贸区,智能交通,中俄自贸区,网约车,地方国企改革,宁德时代,国企改革",
600620.SH,天宸股份,86.4,86.4,12.58,1.21,综合-综合-综合Ⅲ,租赁,非银金融,金融,运输及客运,上海老牌的出租车运营、物业租赁和物业管理企业,上海市资深的出租车运营、物业租赁和物业管理企业,"HJT电池,养老,智能物流,民营医院,光伏",
603759.SH,海天股份,18.0,42.7,9.24,1.2,环保-环保-水务及水治理,水务,环保,公共事业,供水、污水处理,西南地区水务行业民营企业龙头,西南地区环保水务行业民营龙头企业,"PPP,固废处理,储能,污水处理,生物质能发电,成渝特区",
600037.SH,歌华有线,116.9,116.9,8.4,1.2,传媒-传媒-有线电视网络,影视,传媒,科技,有线网络业务,国内有线网络首家上市公司,拥有北京市有线电视网络的经营权，可承载三网融合业务,"物联网,冬奥会,网络游戏,网络电视,国企改革,数据中心,华为,文化传媒,物联网应用层,大数据,证金持股,国资云,广播电视,数字电视,虚拟现实,智慧城市,央企国企改革,云计算",中证1000
300961.SZ,深水海纳,13.4,19.4,10.93,1.2,环保-环保-水务及水治理,水务,环保,公共事业,工业污水处理,水生态环境领域创新型综合服务商,水生态环境领域创新型综合服务商，深圳知名品牌,"污水处理,节能环保",
002179.SZ,中航光电,890.4,926.9,43.72,1.2,国防军工-国防军工-军工电子,军工电子,军工,公共事业,军用/民用连接器,军用连接器、新能源汽车连接器龙头,国内最大的军用光电连接器制造企业,"军工,特斯拉,国产航母,MSCI,大飞机,航空航天,国企改革,军民融合,量子科技,成飞,华为,液冷服务器,比亚迪,充电桩,新能源汽车,央企国企改革,5G,中航系",沪深300
300973.SZ,立高食品,46.1,109.8,64.85,1.2,食品饮料-食品加工制造-休闲食品,零食,食品,必需消费,烘焙食品,烘焙食品行业领先民族品牌,烘焙食品行业领先民族品牌,,"创业300,中证1000"
603169.SH,兰石重装,99.1,99.1,7.59,1.2,机械设备-专用设备-能源及重型设备,重型机械,机械设备,机械,重型压力容器,国内炼油及煤化工压力容器制造的骨干企业,主营高端装备制造及工程总承包，率先实现连续重整技术国产化,"天然气,军工,储能,核电,甘肃国企改革,国企改革,煤化工,机器人,地方国企改革,中俄贸易,兰州自贸区,高端装备,基建工程,氢能源,磷酸铁锂,一带一路,光伏,光热发电,节能环保,超超临界发电,正极材料,锂电池",中证1000
600559.SH,老白干酒,219.7,223.9,24.48,1.2,食品饮料-饮料制造-白酒,白酒,饮料,必需消费,衡水老白干,衡水老白干系列酒、国内白酒生产骨干企业,国内白酒生产骨干企业，老白干香型酒生产规模最大的企业,"白酒,MSCI,国企改革,地方国企改革",中证1000
301009.SZ,可靠股份,11.5,32.1,11.82,1.2,美容护理-美容护理-个护用品,护理品,医美,可选消费,一次性卫生用品,中国成人失禁护理行业领军企业,中国成人失禁护理行业领军企业,"宠物经济,新零售,电子商务,尿不湿,专精特新,养老,人民币贬值受益,口罩,三胎",
600054.SH,黄山旅游,69.3,98.5,13.51,1.2,社会服务-景点及旅游-自然景点,旅游,旅游酒店,可选消费,黄山景点,黄山风景区的开发和投资商,黄山5A级景区的垄断性旅游企业,"大消费,旅游,地方国企改革,国企改革",
603890.SH,春秋电子,37.1,37.1,8.46,1.2,电子-消费电子-消费电子零部件及组装,电子结构件,消费电子,科技,精密结构件,PC结构件领域的龙头企业之一,国内笔记本电脑精密结构件的行业龙头,"特斯拉,富士康,消费电子,电子信息,人民币贬值受益,新能源汽车,5G",
603200.SH,上海洗霸,36.9,36.9,21.15,1.2,环保-环保-水务及水治理,水务,环保,公共事业,水处理业务,国内化学品工业水处理领域的龙头企业,国内领先的水处理服务提供商,"污水处理,固态电池,钠离子电池,方舱医院,消毒剂",上证150
600456.SH,宝钛股份,162.0,162.0,33.9,1.19,有色金属-小金属-其他小金属,小金属,有色金属,资源,钛,中国最大的钛及钛合金生产、科研基地,中国最大的钛及钛合金生产、科研基地,"军工,养老金持股,核电,国产航母,稀缺资源,大飞机,国企改革,3D打印,小金属,轻型合金,地方国企改革,稀有金属",中证1000
603309.SH,维力医疗,44.4,44.8,15.26,1.19,医药生物-医疗器械-医疗耗材,医疗耗材,医疗器械,生物医药,留置导尿管,公司是全球医用导管主要供应商之一,公司是全球医用导管主要供应商之一,"人民币贬值受益,口罩,医疗器械",
600321.SH,正源股份,25.7,25.7,1.7,1.19,轻工制造-家用轻工-其他家用轻工,建筑工程,基建,建筑业,人造板,西南地区产能领先的纤维板制造企业,中国中西南地区最大规模的人造板生产和加工企业,"成都天府新区,纤维板,西部开发,成渝特区,一元股,工业4.0",
603566.SH,普莱柯,80.6,81.0,22.96,1.19,农林牧渔-农业服务-动物保健,兽药,养殖,必需消费,猪用疫苗,我国兽药行业科技创新领先的企业,兽用生物制品和化学药品研发、生产与销售的高新技术企业,"宠物经济,猪瘟疫情,动物疫苗,生物医药,禽流感",中证1000
601512.SH,XD中新集,140.4,140.4,9.37,1.19,房地产-房地产开发-产业地产,园区开发,房地产,金融,工业园区,国内领先的园区开发运营商,致力成为中国园区开发运营领军企业,"长三角一体化,充电桩,江苏国企改革,一带一路,国企改革,污水处理,光伏,新型城镇化",
601020.SH,华钰矿业,73.8,73.8,9.38,1.19,有色金属-工业金属-铅锌,铅锌,有色金属,资源,铅,国内重要有色综合矿产商，锑精矿产量居前,主营铅、锌、铜等有色金属的开采、加工、销售,"黄金,稀缺资源,金属锌,金属铜,一带一路,白银,金属锑,金属铅,小金属",
600510.SH,黑牡丹,61.1,62.4,5.97,1.19,房地产-房地产开发-住宅开发,住宅,房地产,金融,江苏地产,主营新基建、新型城镇化建设和纺织服装的综合企业,国内牛仔布生产销售规模最大的企业,"超级电容,国企改革,OLED,PPP,证金持股,新基建,金改,保障房,蔚来汽车,新型城镇化,地方国企改革,装配式建筑",中证1000
600536.SH,中国软件,427.9,440.4,51.2,1.19,计算机-计算机应用-IT服务,信息安全,计算机,科技,系统集成,软件行业国家队，信创行业龙头,中国电子旗下的网络安全与信息化板块核心企业，信创行业领军者,"云计算,MSCI,智能终端,京津冀一体化,智慧党建,国企改革,电子信息,电子身份证,国产操作系统,乡村振兴,信创,国产软件,数据安全,数字经济,北京自贸区,智慧城市,央企国企改革,网络安全,地方国企改革",中证500
603609.SH,禾丰股份,86.4,86.4,9.4,1.18,农林牧渔-农产品加工-饲料,饲料,养殖,必需消费,饲料,中国东北最大的饲料企业集团,拥有饲料与生猪养殖、肉禽产业化、原料贸易等三大核心业务,"宠物经济,猪肉,饲料,养鸡,生态农业",中证1000
002091.SZ,江苏国泰,123.0,125.3,7.7,1.18,商贸零售-贸易-贸易Ⅲ,贸易,零售,可选消费,纺织服装及玩具等出口贸易,公司贸易渠道遍及全球多个国家和地区,国内锂离子电池电解液行业龙头企业,"新材料,超级电容,有机硅,宁德时代,国企改革,电解液,江苏国企改革,新能源汽车,人民币贬值受益,固态电池,锂电池",中证1000
600690.SH,海尔智家,1459.2,2183.0,23.13,1.18,家用电器-白色家电-冰洗,制冷电器,家电,可选消费,电冰箱、洗衣机,全球大家电行业领导者，冰箱、洗衣机市占率第一,领先的智慧家电解决方案能力，冰箱、洗衣机的市占率位列前茅,"物联网,智能终端,MSCI,工业互联网,空气能热泵,净水,大消费,同花顺漂亮100,家用电器,厄尔尼诺,阿里巴巴,证金持股,无线充电,服务机器人,电子商务,智能家居,太阳能热水器,环渤海,青岛自贸区,央视财经50,超级品牌,工业4.0,机器人,空气净化,数字电视,人民币贬值受益,节能环保,疫苗存储","上证50,沪深300"
600319.SH,亚星化学,16.2,19.9,5.14,1.18,基础化工-化学原料-氯碱,氯碱,化学原料,化工,氯化聚乙烯,世界上氯化聚乙烯产销量最大、拥有品种最多的企业,世界上氯化聚乙烯(CPE)产销量较大、拥有品种较多的企业,"储能,新材料,线型,液氯,地方国企改革,烧碱,国企改革",
603286.SH,日盈电子,17.4,17.4,19.71,1.18,交运设备-汽车零部件-汽车零部件Ⅲ,汽车电子,汽车零部件,汽车,汽车传感器、360全景环视系统、车用线束、天窗控制器、洗涤系统,国内领先的汽车零部件优质供应商,国内首批研发汽车洗涤系统产品并批量供货的本土企业之一,"新能源汽车,芯片,传感器,工业4.0,汽车电子",
300761.SZ,立华股份,113.9,156.1,18.86,1.18,农林牧渔-养殖业-畜禽养殖,鸡肉,养殖,必需消费,黄羽肉鸡活鸡,公司黄羽鸡出栏量多年保持华东区域第一、全国第二,主营黄羽鸡、生猪、肉鹅的生产与销售业务，产业链一体化,"养老金持股,养鸡,猪肉,食品安全","创业300,中证1000"
001218.SZ,丽臣实业,17.1,29.2,23.15,1.18,基础化工-化学制品-其他化学制品,化学制品,基础化工,化工,表面活性剂,国内较大的表面活性剂生产企业之一,公司立足于精细化工领域，是国内较大的表面活性剂生产企业之一,消毒剂,
600282.SH,南钢股份,211.5,211.5,3.43,1.18,黑色金属-钢铁-普钢,普钢,钢铁,资源,板材,江苏省知名的上市钢企，中厚板龙头企业,中厚板卷和中板是公司的主导产品,"养老金持股,核电,债转股(AMC),工业互联网,可燃冰,工业4.0,C2M,互联网钢铁,一带一路,人工智能",中证500
688293.SH,奥浦迈,11.7,54.2,47.19,1.18,医药生物-医疗服务-医疗研发外包,CRO,医疗服务,生物医药,培养基+CDMO,公司为细胞培养基国内龙头企业,国产培养基市占率前二，A股首家培养基上市公司,"养老金持股,重组蛋白",
002207.SZ,准油股份,17.9,18.0,6.87,1.18,石油石化-油气开采及服务-油服工程,油服工程,石油,资源,石油技术,西部地区首屈一指的一体化油田稳产、增产技术服务企业,新疆唯一的大中型储油罐机械清洗等新兴石油技术服务提供商,"油气开采,页岩气,油品改革,俄乌冲突,新疆振兴,新疆发展",
600216.SH,浙江医药,107.5,107.9,11.18,1.18,医药生物-化学制药-原料药,维生素,生物,生物医药,维生素,合成和天然维生素E分别为全球第二、第三大生产商,维生素、抗耐药菌抗生素、喹诺酮产品重要的生产基地,"储能,防辐射,疟疾,医保目录,辅助生殖,创新药,青蒿素,维生素,抗癌,钠离子电池,医疗改革",中证1000
300212.SZ,易华录,215.0,223.4,33.55,1.18,计算机-计算机应用-IT服务,交通管理,计算机,科技,交通管理,数据湖基建龙头,智能交通管理系统领域龙头企业,"物联网,MSCI,农村电商,京津冀一体化,国企改革,养老,商汤科技,乡村振兴,车联网,阿里巴巴,大数据,物联网平台层,数字经济,智慧城市,央企国企改革,网络安全,数字孪生,地方国企改革,数字中国,电子车牌,智能交通,数据交易中心,安防,京东,数据确权,东数西算（算力）,独角兽,华为,信创,边缘计算,PPP,国资云,百度,一带一路,数据要素,云计算,人工智能,雄安新区","创业300,中证500"
300950.SZ,德固特,12.4,31.0,20.68,1.17,机械设备-专用设备-能源及重型设备,环保设备,环保,公共事业,节能换热装备,为国际行业龙头客户提供优质产品,一家国际一流高科技节能环保装备制造商,"专精特新,核电,碳中和,节能环保,氢能源",
603301.SH,振德医疗,64.6,75.8,28.44,1.17,医药生物-医疗器械-医疗耗材,医疗耗材,医疗器械,生物医药,医用敷料,中国健康防护与医疗感控领域一流综合性医用敷料供应商,主营医用敷料的生产、研发与销售，生产规模行业领先水平,"人民币贬值受益,口罩,医疗器械",中证1000
688068.SH,热景生物,39.0,39.0,42.27,1.17,医药生物-医疗器械-体外诊断,体外诊断,医疗器械,生物医药,体外诊断试剂,业内为数不多的产品涵盖全场景应用的供应商之一,拥有8大技术平台，形成了体外诊断研发及生产的闭环体系,"肝炎,抗原检测,重组蛋白,新冠检测,胶原蛋白,新冠治疗,单抗,流感,医疗器械,猴痘,食品安全,体外诊断",上证150
001283.SZ,豪鹏科技,9.7,39.7,48.47,1.17,电力设备-电力设备-电池,锂电池,储能,电力设备,锂离子电池、镍氢电池,公司已位居全球小型镍氢电池市场份额第一位,国内较早从事废旧二次电池回收及加工利用的企业，小型镍氢电池市占率领先,"外贸受益,储能,动力电池回收,镍氢电池,消费电子,粤港澳大湾区,人民币贬值受益,固态电池,锂电池,锂电制造",
301011.SZ,华立科技,17.6,33.0,22.53,1.17,轻工制造-家用轻工-文娱用品,娱乐,社会服务,可选消费,游戏游艺设备,国内最大的商用游乐设备发行与运营综合服务商,国内最大的商用游乐设备发行与运营综合服务商,"VR游戏,电子竞技,虚拟现实,元宇宙",
601390.SH,中国中铁,1592.4,1935.6,7.82,1.16,建筑装饰-建筑装饰-基础建设,铁路建设,基建,建筑业,基建建设,全球最大的多功能综合型建设集团之一,全球第二大建筑工程承包商,"债转股(AMC),MSCI,钴,国企改革,水利,铁路基建,PPP,证金持股,REITs,基建工程,磁悬浮,轨道交通,高铁,一带一路,央企国企改革,同花顺中特估100,小金属,中铁系,地方国企改革","上证50,沪深300"
600551.SH,时代出版,59.0,59.0,12.18,1.16,传媒-传媒-出版,出版,传媒,科技,图书、期刊,安徽省内主流的传媒出版企业,全国率先以出版业务整体上市,"安徽国企改革,SNS,国企改革,京东金融,中科院系,文化传媒,新媒体,在线教育,托育服务,数字出版示范,平面媒体,地方国企改革",
002162.SZ,悦心健康,40.3,40.3,4.35,1.16,轻工制造-家用轻工-瓷砖地板,地板,家居装修,建筑业,大健康、建筑陶瓷,国内建筑陶瓷行业领军企业，转型大健康产业,主营瓷砖业务，兼营大健康产业，涉足医疗美容、辅助生殖、养老等领域,"健康中国,精装修,辅助生殖,上海自贸区,职业教育,两会,民营医院,养老,医美,牙科医疗",
835508.BJ,殷图网联,1.6,3.0,6.1,1.16,电力设备-电力设备-电气自控设备,电控设备,电气设备,电力设备,电网智能化,国内领先的电网智能化综合解决方案提供商,电网运行智能辅助系统提供商,智能电网,
603985.SH,恒润股份,92.5,92.5,20.99,1.16,电力设备-电力设备-风电设备,风电铸件,风电,电力设备,辗制法兰,国内少数7.0MW及以上海上风电塔筒法兰制造商之一,主营辗制环形锻件、锻制法兰及其他自由锻件产品,"高端装备,国企改革,海上风电,风电,地方国企改革",中证1000
300987.SZ,川网传媒,17.6,31.9,18.41,1.15,传媒-传媒-数字媒体,数字媒体,传媒,科技,新媒体运营,四川省省级重点文化传媒产业集团,四川省省级重点文化传媒产业集团,"IP,国资云,虚拟数字人,四川国企改革,融媒体,百度,国企改革,文化传媒,地方国企改革,人工智能,AIGC",
000935.SZ,四川双马,127.5,127.5,16.7,1.15,建筑材料-建筑材料-水泥,水泥,建筑材料,建筑业,水泥,传统主业水泥生产，布局私募股权投资管理、体育培训,传统主业是水泥生产，布局了私募股权投资管理、体育培训,"养老金持股,职业教育,水泥,西部开发",中证1000
600995.SH,南网储能,126.9,365.6,11.44,1.15,公用事业-电力-电能综合服务,供电,电力,公共事业,水电（云南）,集发电、供电于一体的公司,主要经营水力发电、供电业务,"储能,西电东送,充电桩,电力改革,国企改革,绿色电力,央企国企改革,抽水蓄能",中证500
600076.SH,康欣新材,27.3,35.5,2.64,1.15,轻工制造-包装印刷-包装,包装,包装印刷,可选消费,木质复合材料,集装箱底板龙头，布局民用OSB板、制砖托板等新产品,无锡国资委旗下，拥有林地资源约140万亩，主营集装箱底板、环保板的生产,"新材料,土地流转,林场改革,江苏国企改革,国企改革,碳中和,地方国企改革,工业4.0",
300480.SZ,光力科技,54.1,77.5,22.0,1.15,机械设备-专用设备-能源及重型设备,设备,半导体,科技,安全生产监控设备,国内工矿企业智能电力监控系统和仪表主要厂商,全球唯二、中国唯一同时拥有切割划片量产设备、空气主轴及刀片产品的半导体封测设备企业，煤矿安全监控设备及系统行业领先企业,"军工,高端装备,先进封装（Chiplet）,透明工厂,专精特新,集成电路,节能环保,华为,芯片,工业母机",
300384.SZ,三联虹普,36.8,53.4,16.73,1.15,建筑装饰-建筑装饰-专业工程,石化建设,基建,建筑业,工程技术解决方案,国内首家提供高品质锦纶聚合及纺丝整体技术解决方案,国内最主要的合成纤维工程技术服务提供商之一,"大数据,可降解塑料,高端装备,互联网金融,工业互联网,垃圾分类,华为,锦纶",
002771.SZ,真视通,28.3,35.2,16.78,1.15,计算机-计算机应用-IT服务,视听技术,计算机,科技,视讯系统,拥有信息系统集成一级资质的多媒体视讯解决方案商,拥有信息系统集成一级资质的多媒体视讯综合解决方案提供商,"军工,物联网,大数据,智能医疗,数字经济,虚拟现实,工业互联网,在线教育,军民融合,数据中心,华为,信创,时空大数据,人工智能",
600702.SH,舍得酒业,420.6,423.8,127.18,1.15,食品饮料-饮料制造-白酒,白酒,饮料,必需消费,浓香型白酒,全国最大规模优质白酒生产企业之一,"川酒""六朵金花""之一，拥有""沱牌""、""舍得""两大中国驰名商标","白酒,MSCI,成渝特区,C2M",
603018.SH,华设集团,59.2,60.5,8.85,1.14,建筑装饰-建筑装饰-工程咨询服务,工程设计,工程设计,建筑业,勘察设计,交通工程咨询行业江苏地区区域龙头地位,中国首家获得工程设计综合甲级资质并在主板上市的工程咨询企业,"国产软件,智能交通,数据交易中心,数字孪生,基建工程,水利,空间计算,乡村振兴,毫米波雷达,AIGC,人工智能",中证1000
301150.SZ,中一科技,34.9,67.5,51.38,1.14,电力设备-电力设备-电池,锂电材料,储能,电力设备,锂电铜箔,国内重要的锂电铜箔厂商，为宁德时代子公司供货商之一,主营锂电铜箔和标准铜箔，主要应用于新能源汽车动力电池等领域，为宁德时代子公司供货商之一,"PET铜箔,比亚迪,宁德时代,专精特新,PCB,锂电池",
002821.SZ,凯莱英,394.2,445.4,120.49,1.14,医药生物-医疗服务-医疗研发外包,CRO,医疗服务,生物医药,CDMO,中国最大的商业化阶段化学药物CDMO公司,行业领先的全球创新药CDMO解决方案提供商,"MSCI,创新药,CRO,辉瑞,抗癌,生物医药",沪深300
688325.SH,赛微微电,12.3,33.2,39.89,1.14,电子-半导体及元件-集成电路设计,电源管理,半导体,科技,电池计量芯片,国内电池管理芯片领域主要供应商,公司是国内少数覆盖电池管理芯片全系列的企业之一,芯片,
300413.SZ,芒果超媒,344.2,630.2,33.69,1.14,传媒-传媒-数字媒体,数字媒体,传媒,科技,新媒体平台,领先的新媒体平台、新媒体互动娱乐内容制作企业,拥有流媒体、新媒体、互联网信息及电商服务的全产业链生态体系,"MSCI,农村电商,区块链,国企改革,影视娱乐,独角兽,乡村振兴,元宇宙,湖南国企改革,文化传媒,超清视频,网络视频,双十一,新媒体,虚拟数字人,虚拟现实,电子商务,跨境电商,网络直播,流媒体,AIGC","创业板50,沪深300,创业300"
000408.SZ,藏格矿业,364.6,364.6,23.07,1.14,基础化工-化学制品-钾肥,化肥,基础化工,化工,钾肥,国内钾肥行业第三，氯化钾行业第二,"公司矿区位于察尔汗盐湖，察尔汗盐湖是世界上大型盐湖矿床之
一","锂电原料,化肥,金属铜,钾肥,盐湖提锂,小金属,锂电池",沪深300
688800.SH,瑞可达,62.5,92.9,58.64,1.14,电子-其他电子-其他电子Ⅲ,连接器,消费电子,科技,通信连接器,连接器行业名列前茅,公司在5G领域研发的板对板射频盲插连接器，成为5G基站AAU板对板连接器的首选解决方案,"军工,特斯拉,储能,比亚迪,充电桩,专精特新,新能源汽车,5G",中证1000
600956.SH,新天绿能,192.7,372.7,8.9,1.14,公用事业-电力-新能源发电,风光发电,电力,公共事业,风电及天然气,在华北地区清洁能源行业处于领先地位,中国石油华北地区第三大分销商和河北省领先的天然气分销商之一,"天然气,储能,国企改革,绿色电力,LNG加气站,新能源,钒电池,氢能源,光伏,抽水蓄能,风电,地方国企改革,雄安新区",中证500
300851.SZ,交大思诺,9.2,23.2,26.7,1.14,交运设备-非汽车交运-轨交设备,高铁,铁路,交通运输,列车应答器系统,国内有竞争力的列车控制安全设备提供商,轨交行业领先的列控系统关键设备供应商,"高铁,轨道交通",
002133.SZ,广宇集团,27.4,27.6,3.56,1.14,房地产-房地产开发-住宅开发,住宅,房地产,金融,浙江杭州地产,杭州市房地产行业领先企业,以高性价比的中小户型住宅开发为主的房地产企业,"农业种植,金改,养老,玉米,乡村振兴,小额贷款,粮食,体外诊断",
301177.SZ,迪阿股份,15.3,153.1,38.28,1.14,轻工制造-家用轻工-饰品,珠宝,贵金属,金融,珠宝首饰,公司DR品牌在珠宝首饰市场影响力突出，竞争力强,主要从事珠宝首饰的品牌运营、定制销售和研发设计,"黄金,抖音,新零售","创业300,中证1000"
300970.SZ,华绿生物,15.8,27.0,23.15,1.14,农林牧渔-种植业与林业-其他种植业,食用菌,农业,必需消费,食用菌,国内领先的食用菌工厂化生产企业之一,公司是国内领先的食用菌工厂化生产企业之一,"农业种植,乡村振兴",
603959.SH,百利科技,56.8,56.8,11.58,1.14,电力设备-电力设备-电池,石化建设,基建,建筑业,化学工程及咨询设计,为能源及材料领域智慧工厂建设提供整体解决方案,服务于石油化工、现代煤化工行业的工程咨询、设计和总承包商,"橡胶,锂电设备,宁德时代,新能源汽车,煤化工,燃料电池,锂电池",中证1000
603307.SH,扬州金泉,8.1,32.2,48.11,1.14,纺织服装-服装家纺-鞋帽及其他,体育,社会服务,可选消费,帐篷、睡袋,为全球客户提供高品质户外用品,主营帐篷、睡袋等户外用品，外销为主,"露营经济,人民币贬值受益",
002219.SZ,新里程,145.0,151.2,4.47,1.13,医药生物-医疗服务-其他医疗服务,医疗诊断,医疗服务,生物医药,专科医院,以医疗服务为核心的著名医药企业之一,布局医疗诊断、药品研发，日化品、保健品等多产业的大健康集团,"民营医院,中医药,兰新白试验区,单抗",中证1000
300454.SZ,深信服,299.1,456.5,109.51,1.13,计算机-计算机应用-软件开发,信息安全,计算机,科技,信息安全,国内信息安全和云计算龙头企业之一,国内虚拟专用网(VPN)市占率第一,"物联网,MSCI,态势感知,英伟达,VPN,ChatGPT,网络安全,云计算","创业300,沪深300"
001222.SZ,源飞宠物,7.3,29.1,15.26,1.13,轻工制造-家用轻工-文娱用品,宠物,社会服务,可选消费,宠物牵引用具、宠物注塑玩具,国内领先的宠物牵引用具制造商,宠物牵引用具第一股,"外贸受益,宠物经济,新零售,电子商务,一带一路,人民币贬值受益,跨境电商,共同富裕示范区",
601222.SH,林洋能源,166.9,166.9,8.1,1.12,公用事业-电力-新能源发电,风光发电,电力,公共事业,电能表/光伏EPC/光伏发电,公司布局智能、节能、新能源三大板块业务,致力成为全球分布式能源、能效管理领域最大的互联运营和服务商,"物联网,储能,太阳能,区块链,分布式发电,能源互联网,光伏建筑一体化,TOPCON电池,电力物联网,绿色电力,华为,节能照明,物联网应用层,智能电网,新能源,充电桩,磷酸铁锂,氢能源,蔚来汽车,光伏,风电,虚拟电厂,锂电池",中证1000
601619.SH,嘉泽新能,109.2,109.8,4.51,1.12,公用事业-电力-新能源发电,风光发电,电力,公共事业,风电,绿色能源开发的民营上市发电企业,集风力、光伏发电、智能微电网的于一体的新能源企业,"智能电网,新能源,西部开发,绿色电力,光伏,风电",中证1000
002401.SZ,中远海科,96.5,97.5,26.22,1.12,计算机-计算机应用-IT服务,航运,水运,交通运输,交通管理（高速）,国内航运信息化领域的领军企业,中国远洋海运集团旗下，国内最早从事智能交通和航运科技服务的企业之一,"区块链,国企改革,数据中心,机器视觉,阿里巴巴,统一大市场,大数据,上海自贸区,数字经济,轨道交通,智慧城市,自由贸易港,央企国企改革,碳中和,跨境电商,地方国企改革,智能交通,安防,华为,信创,现代服务业,国资云,航运,中远系,华为鲲鹏,ETC,智能物流,数据要素,进口博览会,人工智能",
002786.SZ,银宝山新,31.3,31.4,6.33,1.12,机械设备-专用设备-其他专用设备,精密模具,机械设备,机械,注塑模具,完善的模具设计和模具制造工艺标准体系,完善的模具设计和模具制造工艺标准体系,"债转股(AMC),宁德时代,芯片设备,国企改革,芯片,华为,天津自贸区,小米,机器人,工业4.0,高端装备,比亚迪,虚拟现实,新能源汽车,环渤海,央企国企改革,口罩,5G,华为汽车",
688148.SH,芳源股份,45.3,60.2,11.77,1.12,电力设备-电力设备-电池,正极材料,储能,电力设备,电池正极材料,NCA三元前驱体龙头,NCA三元前驱体龙头,"特斯拉,动力电池回收,比亚迪,锂电池","上证150,中证1000"
600436.SH,片仔癀,1715.4,1715.4,284.33,1.12,医药生物-中药-中药Ⅲ,中药,中药,生物医药,片仔癀,中华老字号，多年位居中国中医药外贸单品种出口第一位,片仔癀被国内外中药界誉为“国宝名药”，入选“中华老字号”,"健康中国,肝炎,MSCI,中医药,国企改革,冬虫夏草,同花顺漂亮100,保健品,登革热,超级品牌,证金持股,化妆护肤品,多肽药,专精特新,海峡两岸,抗癌,地方国企改革","上证50,沪深300"
