证券代码,证券名称,公司名称,注册地,一级行业,二级行业,三级行业,交易所英文简称,exg
CREX,Creative Realities Inc,"Creative Realities, Inc.",United States 美国,科技,信息技术服务,互联网服务与基础设施,NASDAQ,O
CRGE,Charge Enterprises Inc,"Charge Enterprises, Inc.",United States 美国,科技,信息技术服务,互联网服务与基础设施,NASDAQ,O
CRGO,Freightos Ltd,Freightos Ltd,Cayman Islands 开曼群岛（英属）,工业,运输,航空货运与物流,NASDAQ,O
CRGY,Crescent Energy Co-A,Crescent Energy Co,United States 美国,能源,石油,石油与天然气的炼制和营销,NYSE,N
CRH,CRH水泥(ADR),CRH public limited company,Ireland 爱尔兰共和国,原材料,建筑材料,建筑材料,NYSE,N
CRI,卡特,卡特公司,United States 美国,可选消费,纺织服装,服装、服饰与奢侈品,NYSE,N
CRIS,居里,居里公司,United States 美国,医疗保健,生物医药,生物科技,NASDAQ,O
CRK,康斯托克能源,康斯托克资源公司,United States 美国,能源,石油,石油与天然气的勘探与生产,NYSE,N
CRKN,Crown Electrokinetics Corp,Crown Electrokinetics Corp.,United States 美国,原材料,化学制品,商品化工,NASDAQ,O
CRL,查尔斯河,查尔斯河实验室国际公司,United States 美国,医疗保健,生物医药,生命科学工具和服务,NYSE,N
CRM,赛富时,赛富时公司,United States 美国,科技,软件,应用软件,NYSE,N
CRMD,CorMedix Inc,CorMedix Inc.,United States 美国,医疗保健,生物医药,生物科技,NASDAQ,O
CRMT,美国汽车行,美国汽车行公司,United States 美国,可选消费,零售业,汽车零售,NASDAQ,O
CRNC,Cerence Inc,Cerence Inc.,United States 美国,科技,软件,应用软件,NASDAQ,O
CRNT,Ceragon网络,Ceragon网络有限责任公司,Israel 以色列,科技,计算机设备,通信设备,NASDAQ,O
CRNX,Crinetics Pharmaceuticals Inc,"Crinetics Pharmaceuticals, Inc.",United States 美国,医疗保健,生物医药,制药,NASDAQ,O
CRON,Cronos Group Inc,Cronos Group Inc.,Canada 加拿大,医疗保健,生物医药,制药,NASDAQ,O
CROX,卡骆驰,卡骆驰公司,United States 美国,可选消费,纺织服装,鞋类,NASDAQ,O
CRS,卡朋特科技,卡彭特技术公司,United States 美国,原材料,金属与采矿,钢铁,NYSE,N
CRSP,CRISPR Therapeutics AG,CRISPR Therapeutics AG,Switzerland 瑞士,医疗保健,生物医药,生物科技,NASDAQ,O
CRSR,Corsair Gaming Inc,"Corsair Gaming, Inc.",United States 美国,科技,计算机设备,电脑硬件、储存设备及电脑周边,NASDAQ,O
CRT,CRT信托,Cross Timbers Royalty Trust,United States 美国,能源,石油,石油与天然气的勘探与生产,NYSE,N
CRTO,科韬,科韬股份公司,France 法国,科技,信息技术服务,互联网服务与基础设施,NASDAQ,O
CRUS,凌云半导体,识瑞半导体公司,United States 美国,科技,半导体,半导体产品,NASDAQ,O
CRVL,CorVel Corp,CorVel Corporation,United States 美国,医疗保健,医疗保健设备与服务,保健护理服务,NASDAQ,O
CRVS,Corvus Pharmaceuticals Inc,"Corvus Pharmaceuticals, Inc.",United States 美国,医疗保健,生物医药,生物科技,NASDAQ,O
CRWD,CrowdStrike Holdings Inc-A,"CrowdStrike Holdings, Inc.",United States 美国,科技,软件,应用软件,NASDAQ,O
CRWS,Crown Crafts制衣,Crown Crafts制衣公司,United States 美国,可选消费,纺织服装,纺织品,NASDAQ,O
CS,瑞士信贷,瑞士信贷集团,Switzerland 瑞士,金融,综合金融,综合性资本市场,NYSE,N
CSAN,Cosan SA ADR,Cosan S.A.,Brazil 巴西,能源,石油,石油与天然气的炼制和营销,NYSE,N
CSBR,Champions Oncology Inc,"Champions Oncology, Inc.",United States 美国,医疗保健,生物医药,生命科学工具和服务,NASDAQ,O
CSCO,思科,思科系统公司,United States 美国,科技,计算机设备,通信设备,NASDAQ,O
CSGP,科斯塔,科斯塔集团公司,United States 美国,科技,信息技术服务,互联网服务与基础设施,NASDAQ,O
CSGS,CSG系统国际,CSG系统国际公司,United States 美国,科技,信息技术服务,数据处理与外包服务,NASDAQ,O
CSIQ,阿特斯太阳能,加拿大阿特斯阳光电力有限公司,Canada 加拿大,科技,半导体,半导体产品,NASDAQ,O
CSL,卡莱尔伙伴,卡莱集团公司,United States 美国,工业,资本品,工业集团企业,NYSE,N
CSLM,Consilium Acquisition Corp I Ltd-A,"Consilium Acquisition Corp I, Ltd.",Cayman Islands 开曼群岛（英属）,金融,综合金融,投资银行业与经纪业,NASDAQ,O
CSLMU,Consilium Acquisition Corp I Ltd Unit Cons of 1 CL A + 1/2 W,"Consilium Acquisition Corp I, Ltd.",Cayman Islands 开曼群岛（英属）,金融,综合金融,投资银行业与经纪业,NASDAQ,O
CSPI,CSP Inc,CSP Inc.,United States 美国,科技,信息技术服务,信息科技咨询与其它服务,NASDAQ,O
CSR,Centerspace,Centerspace,United States 美国,房地产,股权房地产投资信托 (REITs),多样化房地产投资信托,NYSE,N
CSR_C,Centerspace Series C Pfd,Centerspace,United States 美国,房地产,股权房地产投资信托 (REITs),多样化房地产投资信托,NYSE,N
CSSE,心灵鸡汤娱乐,心灵鸡汤娱乐公司,United States 美国,科技,媒体娱乐,电影与娱乐,NASDAQ,O
CSSEP,Chicken Soup for the Soul Entertainment Inc Series A Pfd,心灵鸡汤娱乐公司,United States 美国,科技,媒体娱乐,电影与娱乐,NASDAQ,O
CSTA,Constellation Acquisition Corp I-A,Constellation Acquisition Corp I,Cayman Islands 开曼群岛（英属）,金融,综合金融,投资银行业与经纪业,NYSE,N
CSTA_U,Constellation Acquisition Corp I Unit Cons of 1 CL A + 1/3 W,Constellation Acquisition Corp I,Cayman Islands 开曼群岛（英属）,金融,综合金融,投资银行业与经纪业,NYSE,N
CSTE,Caesarstone Ltd,Caesarstone Ltd.,Israel 以色列,工业,资本品,建筑产品,NASDAQ,O
CSTL,Castle Biosciences Inc,"Castle Biosciences, Inc.",United States 美国,医疗保健,生物医药,生物科技,NASDAQ,O
CSTM,Constellium SE-A,Constellium SE,Netherlands 荷兰,原材料,金属与采矿,铝,NYSE,N
CSTR,CapStar Financial Holdings Inc,"CapStar Financial Holdings, Inc.",United States 美国,金融,银行,综合性银行,NASDAQ,O
CSV,Carriage Services Inc,"Carriage Services, Inc.",United States 美国,可选消费,社会服务,特殊消费者服务,NYSE,N
CSWC,西南资本,西南资本公司,United States 美国,金融,综合金融,资产管理与托管银行,NASDAQ,O
CSWI,CSW Industrials Inc,"CSW Industrials, Inc.",United States 美国,工业,资本品,建筑产品,NASDAQ,O
CSX,CSX运输,CSX运输公司,United States 美国,工业,运输,铁路,NASDAQ,O
CTA_A,EIDP Inc Pfd,杜邦公司,United States 美国,原材料,化学制品,多种化学制品,NYSE,N
CTA_B,EIDP Inc Pfd,杜邦公司,United States 美国,原材料,化学制品,多种化学制品,NYSE,N
CTAS,信达思,信达思公司,United States 美国,工业,商业服务,综合支持服务,NASDAQ,O
CTBI,大众信托合众银行,大众信托合众银行公司,United States 美国,金融,银行,区域性银行,NASDAQ,O
CTG,计算机作业集团,计算机作业集团,United States 美国,科技,信息技术服务,信息科技咨询与其它服务,NASDAQ,O
CTGO,Contango ORE Inc,"Contango ORE, Inc.",United States 美国,原材料,金属与采矿,黄金,AMEX,A
CTHR,诗思(香港),查尔斯与科尔瓦德有限公司,United States 美国,可选消费,纺织服装,服装、服饰与奢侈品,NASDAQ,O
CTIB,运鸿CTI,运鸿CTI有限公司,United States 美国,可选消费,耐用商品,家用器具与特殊消费品,NASDAQ,O
CTIC,CTI BioPharma Corp,CTI BioPharma Corp.,United States 美国,医疗保健,生物医药,生物科技,NASDAQ,O
CTKB,Cytek Biosciences Inc,"Cytek Biosciences, Inc.",United States 美国,医疗保健,生物医药,生命科学工具和服务,NASDAQ,O
CTLP,Cantaloupe Inc,"Cantaloupe, Inc.",United States 美国,科技,计算机设备,电脑硬件、储存设备及电脑周边,NASDAQ,O
CTLT,Catalent Inc,"Catalent, Inc.",United States 美国,医疗保健,生物医药,制药,NYSE,N
CTM,Castellum Inc,"Castellum, Inc.",United States 美国,科技,信息技术服务,信息科技咨询与其它服务,AMEX,A
CTMX,CytomX Therapeutics Inc,"CytomX Therapeutics, Inc.",United States 美国,医疗保健,生物医药,生物科技,NASDAQ,O
CTO,CTO Realty Growth Inc,"CTO Realty Growth, Inc.",United States 美国,房地产,房地产管理和开发,多样化房地产活动,NYSE,N
CTO_A,CTO Realty Growth Inc Series A Pfd,"CTO Realty Growth, Inc.",United States 美国,房地产,房地产管理和开发,多样化房地产活动,NYSE,N
CTOS,Custom Truck One Source Inc,"Custom Truck One Source, Inc.",United States 美国,金融,综合金融,其它综合性金融服务,NYSE,N
CTRA,Coterra Energy Inc,Coterra Energy Inc.,United States 美国,能源,石油,石油与天然气的勘探与生产,NYSE,N
CTRE,CareTrust REIT Inc,"CareTrust REIT, Inc.",United States 美国,房地产,股权房地产投资信托 (REITs),特种房地产投资信托,NYSE,N
CTRM,Castor Maritime Inc,Castor Maritime Inc.,Marshall Islands 马绍尔群岛,工业,运输,海运,NASDAQ,O
CTRN,Citi Trends Inc,"Citi Trends, Inc.",United States 美国,可选消费,零售业,服装零售,NASDAQ,O
CTS,CTS Corp,CTS Corporation,United States 美国,科技,计算机设备,电子制造服务,NYSE,N
CTSH,高知特,高知特信息技术有限公司,United States 美国,科技,信息技术服务,信息科技咨询与其它服务,NASDAQ,O
CTSO,CytoSorbents Corp,CytoSorbents Corporation,United States 美国,医疗保健,医疗保健设备与服务,医疗保健设备,NASDAQ,O
CTV,Innovid Corp,Innovid Corp.,Cayman Islands 开曼群岛（英属）,科技,媒体娱乐,广告,NYSE,N
CTVA,Corteva Inc,"Corteva, Inc.",United States 美国,日常消费品,食品饮料,农产品,NYSE,N
CTXR,Citius Pharmaceuticals Inc,"Citius Pharmaceuticals, Inc.",United States 美国,医疗保健,生物医药,制药,NASDAQ,O
CUBE,CubeSmart,CubeSmart,United States 美国,房地产,股权房地产投资信托 (REITs),特种房地产投资信托,NYSE,N
CUBI,Customers Bancorp Inc,"Customers Bancorp, Inc.",United States 美国,金融,银行,区域性银行,NYSE,N
CUBI_E,Customers Bancorp Inc Series E Pfd,"Customers Bancorp, Inc.",United States 美国,金融,银行,区域性银行,NYSE,N
CUBI_F,Customers Bancorp Inc Series F Pfd,"Customers Bancorp, Inc.",United States 美国,金融,银行,区域性银行,NYSE,N
CUE,Cue Biopharma Inc,"Cue Biopharma, Inc.",United States 美国,医疗保健,生物医药,生物科技,NASDAQ,O
CUEN,Cuentas Inc,Cuentas Inc.,United States 美国,科技,电信业务,非传统电信运营商,NASDAQ,O
CUK,嘉年华邮轮(US ADR),嘉年华邮轮股份有限公司,United Kingdom 英国,可选消费,酒店餐饮,酒店、度假村与豪华游轮,NYSE,N
CULL,Cullman Bancorp Inc,"Cullman Bancorp, Inc.",United States 美国,金融,银行,互助储蓄与抵押信贷金融服务,NASDAQ,O
CULP,卡尔普纺织,卡尔普公司,United States 美国,可选消费,纺织服装,纺织品,NYSE,N
CURI,CuriosityStream Inc-A,CuriosityStream Inc.,United States 美国,科技,媒体娱乐,电影与娱乐,NASDAQ,O
CURO,Curo集团控股,CURO Group Holdings Corp.,United States 美国,金融,综合金融,消费信贷,NYSE,N
CURV,Torrid Holdings Inc,Torrid Holdings Inc.,United States 美国,可选消费,零售业,服装零售,NYSE,N
CUTR,古特拉,古特拉公司,United States 美国,医疗保健,医疗保健设备与服务,医疗保健设备,NASDAQ,O
CUZ,卡津斯不动产,卡津斯不动产公司,United States 美国,房地产,股权房地产投资信托 (REITs),多样化房地产投资信托,NYSE,N
CVAC,CureVac NV,CureVac N.V.,Germany 德国,医疗保健,生物医药,生物科技,NASDAQ,O
CVBF,CVB金融,CVB金融公司,United States 美国,金融,银行,区域性银行,NASDAQ,O
CVCO,卡寇工业,卡寇工业公司,United States 美国,可选消费,耐用商品,住宅建筑,NASDAQ,O
CVCY,中央谷地,中央谷地社区银行,United States 美国,金融,银行,区域性银行,NASDAQ,O
CVE,Cenovus能源,加拿大Cenovus能源公司,Canada 加拿大,能源,石油,综合性石油与天然气企业,NYSE,N
CVEO,Civeo Corp,Civeo Corporation,United States 美国,工业,商业服务,综合支持服务,NYSE,N
CVGI,商用汽车,商用汽车集团,United States 美国,工业,资本品,建筑机械与重型卡车,NASDAQ,O
CVGW,卡拉沃养殖,卡拉沃养殖公司,United States 美国,日常消费品,食品饮料,包装食品与肉类,NASDAQ,O
CVI,CVR能源,CVR能源公司,United States 美国,能源,石油,石油与天然气的炼制和营销,NYSE,N
CVII,Churchill Capital Corp VII-A,Churchill Capital Corp VII,United States 美国,金融,综合金融,投资银行业与经纪业,NYSE,N
CVII_U,Churchill Capital Corp VII Unit Cons of 1 CL A + 1/5 Wts,Churchill Capital Corp VII,United States 美国,金融,综合金融,投资银行业与经纪业,NYSE,N
CVKD,Cadrenal Therapeutics Inc,"Cadrenal Therapeutics, Inc.",United States 美国,医疗保健,生物医药,制药,NASDAQ,O
CVLG,契诺物流,卡弗兰特物流集团公司,United States 美国,工业,运输,陆运,NASDAQ,O
CVLT,康沃系统,康沃系统公司,United States 美国,科技,软件,系统软件,NASDAQ,O
CVLY,科多勒斯谷万通金控,科多勒斯谷万通金控公司,United States 美国,金融,银行,区域性银行,NASDAQ,O
CVM,CEL-SCI Corp,CEL-SCI Corporation,United States 美国,医疗保健,生物医药,生物科技,AMEX,A
CVNA,Carvana Co-A,Carvana Co.,United States 美国,可选消费,零售业,汽车零售,NYSE,N
CVR,Chicago Rivet & Machine Co,Chicago Rivet & Machine Co.,United States 美国,工业,资本品,工业机械,AMEX,A
CVRX,CVRx Inc,"CVRx, Inc.",United States 美国,医疗保健,医疗保健设备与服务,医疗保健设备,NASDAQ,O
CVS,西维斯健康,西维斯健康公司,United States 美国,可选消费,零售业,药品零售,NYSE,N
CVT,Cvent Holding Corp,Cvent Holding Corp.,Cayman Islands 开曼群岛（英属）,科技,软件,应用软件,NASDAQ,O
CVU,CPI Aerostructures Inc,"CPI Aerostructures, Inc.",United States 美国,工业,资本品,航天航空与国防,AMEX,A
CVV,CVD设备,CVD设备公司,United States 美国,科技,半导体,半导体设备,NASDAQ,O
CVX,雪佛龙,雪佛龙公司,United States 美国,能源,石油,综合性石油与天然气企业,NYSE,N
CW,寇蒂斯莱特,寇蒂斯莱特公司,United States 美国,工业,资本品,航天航空与国防,NYSE,N
CWAN,Clearwater Analytics Holdings Inc-A,"Clearwater Analytics Holdings, Inc.",United States 美国,科技,软件,应用软件,NYSE,N
CWBC,西部社区银行,西部社区银行公司,United States 美国,金融,银行,区域性银行,NASDAQ,O
CWBR,CohBar Inc,"CohBar, Inc.",United States 美国,医疗保健,生物医药,制药,NASDAQ,O
CWCO,Consolidated Water Co Ltd-A,Consolidated Water Co. Ltd.,Cayman Islands 开曼群岛（英属）,公用事业,水,水公用事业,NASDAQ,O
CWD,CaliberCos Inc-A,CaliberCos Inc.,United States 美国,房地产,房地产管理和开发,房地产开发,NASDAQ,O
CWEN,Clearway Energy Inc-C,"Clearway Energy, Inc.",United States 美国,公用事业,电力,独立电力生产商与能源贸易商,NYSE,N
CWEN_A,Clearway Energy Inc-A,"Clearway Energy, Inc.",United States 美国,公用事业,电力,独立电力生产商与能源贸易商,NYSE,N
CWH,露营世界控股,露营世界控股公司,United States 美国,金融,综合金融,其它综合性金融服务,NYSE,N
CWK,Cushman & Wakefield plc,Cushman & Wakefield plc,United Kingdom 英国,房地产,房地产管理和开发,房地产服务,NYSE,N
CWST,Casella Waste Systems Inc-A,"Casella Waste Systems, Inc.",United States 美国,工业,商业服务,环境与设施服务,NASDAQ,O
CWT,California Water Service Group,California Water Service Group,United States 美国,公用事业,水,水公用事业,NYSE,N
CX,西麦斯,西麦斯股份公司,Mexico 墨西哥,原材料,建筑材料,建筑材料,NYSE,N
CXAC,C5 Acquisition Corp-A,C5 Acquisition Corporation,United States 美国,金融,综合金融,投资银行业与经纪业,NYSE,N
CXAC_U,C5 Acquisition Corp Unit Cons of 1 CL A + 1/2 Wts,C5 Acquisition Corporation,United States 美国,金融,综合金融,投资银行业与经纪业,NYSE,N
CXAI,CXApp Inc-A,CXApp Inc.,United States 美国,科技,信息技术服务,信息科技咨询与其它服务,NASDAQ,O
CXDO,Crexendo Inc,"Crexendo, Inc.",United States 美国,科技,电信业务,综合电信业务,NASDAQ,O
CXM,Sprinklr Inc-A,"Sprinklr, Inc.",United States 美国,科技,软件,应用软件,NYSE,N
CXT,Crane NXT Co,"Crane NXT, Co.",United States 美国,工业,资本品,工业机械,NYSE,N
CXW,CoreCivic Inc,"CoreCivic, Inc.",United States 美国,房地产,股权房地产投资信托 (REITs),特种房地产投资信托,NYSE,N
CYAN,赛安诺科技,西亚诺泰克公司,United States 美国,日常消费品,日常用品,个人用品,NASDAQ,O
CYBN,Cybin Inc,"Cybin, Inc.",United States 美国,医疗保健,生物医药,制药,AMEX,A
CYBR,CyberArk Software Ltd,CyberArk Software Ltd.,Israel 以色列,科技,软件,系统软件,NASDAQ,O
CYCC,Cyclacel Pharmaceuticals Inc,"Cyclacel Pharmaceuticals, Inc.",United States 美国,医疗保健,生物医药,生物科技,NASDAQ,O
CYCCP,Cyclacel Pharmaceuticals Inc Pfd,"Cyclacel Pharmaceuticals, Inc.",United States 美国,医疗保健,生物医药,生物科技,NASDAQ,O
CYCN,Cyclerion Therapeutics Inc,"Cyclerion Therapeutics, Inc.",United States 美国,医疗保健,生物医药,生物科技,NASDAQ,O
CYD,玉柴国际,中国玉柴国际有限公司,Bermuda 百慕大,工业,资本品,工业机械,NYSE,N
CYH,Community Health Systems Inc,"Community Health Systems, Inc.",United States 美国,医疗保健,医疗保健设备与服务,保健护理产品经销商,NYSE,N
CYN,Cyngn Inc,Cyngn Inc.,United States 美国,科技,软件,应用软件,NASDAQ,O
CYRX,Cryoport Inc,"Cryoport, Inc.",United States 美国,医疗保健,医疗保健设备与服务,医疗保健设备,NASDAQ,O
CYT,Cyteir Therapeutics Inc,"Cyteir Therapeutics, Inc.",United States 美国,医疗保健,生物医药,制药,NASDAQ,O
CYTH,Cyclo Therapeutics Inc,"Cyclo Therapeutics, Inc.",United States 美国,医疗保健,生物医药,生物科技,NASDAQ,O
CYTK,Cytokinetics Inc,"Cytokinetics, Incorporated",United States 美国,医疗保健,生物医药,生物科技,NASDAQ,O
CYTO,Altamira Therapeutics Ltd,Altamira Therapeutics Ltd.,Switzerland 瑞士,医疗保健,生物医药,制药,NASDAQ,O
CYXT,Cyxtera Technologies Inc-A,"Cyxtera Technologies, Inc.",United States 美国,科技,信息技术服务,信息科技咨询与其它服务,NASDAQ,O
CZFS,Citizens Financial Services Inc,"Citizens Financial Services, Inc.",United States 美国,金融,银行,综合性银行,NASDAQ,O
CZNC,市民北方,市民北方公司,United States 美国,金融,银行,区域性银行,NASDAQ,O
CZOO,Cazoo Group Ltd-A,Cazoo Group Ltd,Cayman Islands 开曼群岛（英属）,可选消费,零售业,汽车零售,NYSE,N
CZR,凯撒娱乐,凯撒娱乐公司,United States 美国,可选消费,酒店餐饮,赌场与赌博,NASDAQ,O
CZWI,Citizens Community Bancorp Inc,"Citizens Community Bancorp, Inc.",United States 美国,金融,银行,互助储蓄与抵押信贷金融服务,NASDAQ,O
D,道明尼能源,道明尼能源公司,United States 美国,公用事业,复合型,复合型公用事业,NYSE,N
DAC,达那俄斯,Danaos Corporation,Marshall Islands 马绍尔群岛,工业,运输,海运,NYSE,N
DADA,达达,达达快送有限责任公司,Cayman Islands 开曼群岛（英属）,科技,电商,互联网与直销零售,NASDAQ,O
DAIO,Data I/O Corp,Data I/O Corporation,United States 美国,科技,计算机设备,电子制造服务,NASDAQ,O
DAKT,达科电子,达科电子公司,United States 美国,科技,计算机设备,电子设备和仪器,NASDAQ,O
DAL,达美航空,美国达美航空公司,United States 美国,工业,运输,航空公司,NYSE,N
DALN,DallasNews Corp-A,DallasNews Corporation,United States 美国,科技,媒体娱乐,出版,NASDAQ,O
DALS,DA32 Life Science Tech Acquisition Corp-A,DA32 Life Science Tech Acquisition Corp.,United States 美国,金融,综合金融,投资银行业与经纪业,NASDAQ,O
DAN,达纳,德纳股份有限公司,United States 美国,可选消费,汽车,机动车零配件与设备,NYSE,N
DAO,网易有道,有道公司,Cayman Islands 开曼群岛（英属）,可选消费,社会服务,教育服务,NYSE,N
DAR,美国达尔令国际,Darling Ingredients Inc.,United States 美国,日常消费品,食品饮料,农产品,NYSE,N
DARE,Dare Bioscience Inc,"Daré Bioscience, Inc.",United States 美国,医疗保健,生物医药,生物科技,NASDAQ,O
DASH,DoorDash Inc-A,"DoorDash, Inc.",United States 美国,科技,电商,互联网与直销零售,NYSE,N
DATS,DatChat Inc,"DatChat, Inc.",United States 美国,科技,信息技术服务,互联网服务与基础设施,NASDAQ,O
DAVA,Endava plc ADR,Endava plc,United Kingdom 英国,科技,信息技术服务,互联网服务与基础设施,NYSE,N
DAVE,Dave Inc-A,Dave Inc.,United States 美国,科技,软件,应用软件,NASDAQ,O
DAWN,Day One Biopharmaceuticals Holding Co LLC,"Day One Biopharmaceuticals Holding Company, LLC",United States 美国,医疗保健,生物医药,制药,NASDAQ,O
DB,德意志银行,德意志银行股份有限公司,Germany 德国,金融,银行,综合性银行,NYSE,N
DBGI,Digital Brands Group Inc,"Digital Brands Group, Inc.",United States 美国,可选消费,零售业,服装零售,NASDAQ,O
DBI,Designer Brands Inc-A,Designer Brands Inc.,United States 美国,可选消费,零售业,服装零售,NYSE,N
DBRG,DigitalBridge Group Inc-A,"DigitalBridge Group, Inc.",United States 美国,房地产,股权房地产投资信托 (REITs),多样化房地产投资信托,NYSE,N
DBRG_H,DigitalBridge Group Inc Series H Pfd,"DigitalBridge Group, Inc.",United States 美国,房地产,股权房地产投资信托 (REITs),多样化房地产投资信托,NYSE,N
DBRG_I,DigitalBridge Group Inc Series I Pfd,"DigitalBridge Group, Inc.",United States 美国,房地产,股权房地产投资信托 (REITs),多样化房地产投资信托,NYSE,N
DBRG_J,DigitalBridge Group Inc Series J Pfd,"DigitalBridge Group, Inc.",United States 美国,房地产,股权房地产投资信托 (REITs),多样化房地产投资信托,NYSE,N
DBTX,Decibel Therapeutics Inc,"Decibel Therapeutics, Inc.",United States 美国,医疗保健,生物医药,生物科技,NASDAQ,O
DBVT,DBV Technologies SA ADR,DBV Technologies S.A.,France 法国,医疗保健,生物医药,生物科技,NASDAQ,O
DBX,Dropbox Inc-A,"Dropbox, Inc.",United States 美国,科技,信息技术服务,互联网服务与基础设施,NASDAQ,O
DC,Dakota Gold Corp,Dakota Gold Corp.,Canada 加拿大,原材料,金属与采矿,多种金属与采矿,AMEX,A
DCBO,Docebo Inc,Docebo Inc.,Canada 加拿大,科技,软件,应用软件,NASDAQ,O
DCFC,Tritium DCFC Ltd,Tritium DCFC Limited,Australia 澳大利亚,工业,资本品,电气部件与设备,NASDAQ,O
DCGO,DocGo Inc,DocGo Inc.,United States 美国,医疗保健,医疗保健设备与服务,保健护理服务,NASDAQ,O
DCI,唐纳森,唐纳森公司,United States 美国,工业,资本品,工业机械,NYSE,N
DCO,杜科蒙,杜科蒙公司,United States 美国,工业,资本品,航天航空与国防,NYSE,N
DCOM,迪募社区银行,迪募社区银行公司,United States 美国,金融,银行,区域性银行,NASDAQ,O
DCOMP,Dime Community Bancshares Inc Pfd A,迪募社区银行公司,United States 美国,金融,银行,区域性银行,NASDAQ,O
DCP,DCP Midstream LP,"DCP Midstream, LP",United States 美国,能源,石油,石油与天然气的储存和运输,NYSE,N
DCP_B,DCP Midstream LP Series B Pfd,"DCP Midstream, LP",United States 美国,能源,石油,石油与天然气的储存和运输,NYSE,N
DCP_C,DCP Midstream LP Series C Pfd,"DCP Midstream, LP",United States 美国,能源,石油,石油与天然气的储存和运输,NYSE,N
DCPH,Deciphera Pharmaceuticals Inc,"Deciphera Pharmaceuticals, Inc.",United States 美国,医疗保健,生物医药,制药,NASDAQ,O
DCTH,迪卡斯,迪卡斯系统公司,United States 美国,医疗保健,医疗保健设备与服务,医疗保健设备,NASDAQ,O
DD,陶氏杜邦,陶氏杜邦公司,United States 美国,原材料,化学制品,多种化学制品,NYSE,N
DDD,3D系统,3D系统公司,United States 美国,科技,计算机设备,电脑硬件、储存设备及电脑周边,NYSE,N
DDI,DoubleDown Interactive Co Ltd ADR,"DoubleDown Interactive Co., Ltd.",Korea-South 韩国,科技,软件,应用软件,NASDAQ,O
DDL,叮咚买菜,叮咚(开曼)有限公司,Cayman Islands 开曼群岛（英属）,可选消费,零售业,食品零售,NYSE,N
DDOG,Datadog Inc-A,"Datadog, Inc.",United States 美国,科技,软件,应用软件,NASDAQ,O
DDS,狄乐百货,狄乐百货公司,United States 美国,可选消费,零售业,百货商店,NYSE,N
DDT,Dillard's Inc Pfd of Dillard's Capital Trust I,狄乐百货公司,United States 美国,可选消费,零售业,百货商店,NYSE,N
DE,迪尔,迪尔公司,United States 美国,工业,资本品,建筑机械与重型卡车,NYSE,N
DEA,Easterly Government Properties Inc,"Easterly Government Properties, Inc.",United States 美国,房地产,股权房地产投资信托 (REITs),办公房地产投资信托,NYSE,N
DECA,Denali Capital Acquisition Corp-A,Denali Capital Acquisition Corp.,Cayman Islands 开曼群岛（英属）,金融,综合金融,投资银行业与经纪业,NASDAQ,O
DECAU,Denali Capital Acquisition Corp Unit Cons of 1 CL A + 1 Wt,Denali Capital Acquisition Corp.,Cayman Islands 开曼群岛（英属）,金融,综合金融,投资银行业与经纪业,NASDAQ,O
DECK,德克斯户外,德克斯户外公司,United States 美国,可选消费,纺织服装,鞋类,NYSE,N
DEI,道格拉斯艾美特,道格拉斯艾美特公司,United States 美国,房地产,股权房地产投资信托 (REITs),办公房地产投资信托,NYSE,N
DELL,戴尔科技,戴尔科技公司,United States 美国,科技,计算机设备,电脑硬件、储存设备及电脑周边,NYSE,N
DEN,丹博里原油,丹博里原油公司,United States 美国,能源,石油,石油与天然气的勘探与生产,NYSE,N
DENN,Denny’s Corp,Denny’s Corporation,United States 美国,可选消费,酒店餐饮,餐馆,NASDAQ,O
DEO,帝亚吉欧(US ADR),帝亚吉欧股份有限公司,United Kingdom 英国,日常消费品,食品饮料,酿酒商与葡萄酒商,NYSE,N
DERM,Journey Medical Corp,Journey Medical Corporation,United States 美国,医疗保健,生物医药,制药,NASDAQ,O
DESP,Despegar.com Corp,"Despegar.com, Corp.",The British Virgin Islands 英属维尔京群岛,科技,信息技术服务,互联网服务与基础设施,NYSE,N
DFFN,Diffusion Pharmaceuticals Inc,Diffusion Pharmaceuticals Inc.,United States 美国,医疗保健,医疗保健设备与服务,医疗保健技术,NASDAQ,O
DFH,Dream Finders Homes Inc-A,"Dream Finders Homes, Inc.",United States 美国,可选消费,耐用商品,住宅建筑,NYSE,N
DFIN,Donnelley Financial Solutions Inc,"Donnelley Financial Solutions, Inc.",United States 美国,科技,信息技术服务,数据处理与外包服务,NYSE,N
DFLI,Dragonfly Energy Holdings Corp,Dragonfly Energy Holdings Corp.,United States 美国,金融,综合金融,投资银行业与经纪业,NASDAQ,O
DFS,探索金融服务,探索金融服务公司,United States 美国,金融,综合金融,消费信贷,NYSE,N
DG,达乐,达乐公司,United States 美国,可选消费,零售业,综合货品商店,NYSE,N
DGHI,Digihost Technology Inc,Digihost Technology Inc.,Canada 加拿大,金融,银行,综合性银行,NASDAQ,O
DGICA,多尼戈尔股份-A,多尼戈尔股份公司,United States 美国,金融,保险,财产与意外伤害保险,NASDAQ,O
DGICB,多尼戈尔股份-B,多尼戈尔股份公司,United States 美国,金融,保险,财产与意外伤害保险,NASDAQ,O
DGII,美国迪进国际,美国迪进国际公司,United States 美国,科技,计算机设备,通信设备,NASDAQ,O
