证券代码,证券名称,流通市值,总市值,最新价,涨跌幅,振幅,成交额,换手率,所属同花顺行业,三级行业,二级行业,一级行业,主营产品,投资逻辑,公司亮点,沪深指数,所属概念,异动值
836419.BJ,万德股份,2.85,6.95,7.79,2.23,4.99,0.03,1.22,基础化工-化学制品-其他化学制品,化学制品,化学制品,化工,0,0,国家级专精特新“小巨人”，主营硝酸异辛酯、降凝剂、柴油抗磨剂,,,0.06254967926575225
000839.SZ,ST国安,72.12,72.12,1.84,2.22,5.56,0.28,0.38,通信-通信服务-通信服务Ⅲ,电信服务,通信,科技,信息服务,国内领先的增值电信服务企业,信息产业为主营的高科技上市企业，在广电行业具有较强的影响力,,"数字电视,国企改革,文化传媒,VR直播,虚拟现实,人工智能,富媒体,广播电视",0.30105865892113715
002469.SZ,三维化学,36.92,38.93,6.0,2.21,2.9,0.68,1.85,基础化工-化学原料-其他化学原料,石油化工,石油,资源,醇醛酯类,耐硫变换催化剂和无在线炉硫磺回收工艺技术国际领先,服务石化、化工、油品储运和煤化工行业的国家高新技术企业,中证2000,"节能环保,氢能源,硫磺,固废处理,光热发电,储能,一带一路,煤化工,垃圾分类,油品升级",0.3305131696157109
605016.SH,百龙创园,31.78,63.23,25.44,2.21,3.86,0.32,1.02,基础化工-化学制品-食品及饲料添加剂,添加剂,食品,必需消费,益生元、膳食纤维,国内规模最大的益生元和膳食纤维生产企业之一,国内功能糖产品种类较齐全的生产企业,中证2000,"专精特新,养老金持股,健康中国,代糖",0.24283271113508917
002361.SZ,神剑股份,25.77,30.81,3.24,2.21,4.1,0.54,2.13,基础化工-化工合成材料-合成树脂,合成树脂,合成材料,化工,粉末用聚酯树脂,国内粉末涂料原材料专业供应商，市场占有份额第一,专业从事聚酯树脂系列产品的生产销售的企业，安徽省著名品牌,中证2000,"高端装备,军工,卫星导航,石墨烯,轨道交通,高铁,碳纤维,军民融合,磁悬浮,污水处理,无人机",0.4676224747666866
301193.SZ,家联科技,17.57,36.48,19.0,2.21,5.43,0.2,1.13,轻工制造-家用轻工-其他家用轻工,日用品,家居装修,建筑业,餐饮具、家用品,国内可降解塑料餐饮具制造行业领先企业,全球塑料餐饮具制造行业的领先企业，全国生物基全降解日用塑料制品单项冠军产品的生产企业,,"外贸受益,可降解塑料,人民币贬值受益",0.2808394713016425
601611.SH,中国核建,230.3,237.84,7.88,2.2,5.45,4.53,1.96,建筑装饰-建筑装饰-基础建设,核电,电力,公共事业,军工/核电工程,我国最高水平的核电工程建设领军企业,我国最高水平的核电工程建设领军企业,中证500,"水利,军工,国企改革,可控核聚变,央企国企改革,核电,人造太阳,一带一路,同花顺中特估100,长三角一体化",3.891001390377924
601677.SH,明泰铝业,154.9,161.56,12.99,2.2,3.54,5.22,3.4,有色金属-工业金属-铝,铝,有色金属,资源,铝加工,国内铝加工行业尤其是铝板带箔子行业的龙头,印刷铝版基等产品占据了国内40%以上的市场份额,中证1000,"5G,铝材加工,有色铝,军工,轨道交通,新能源汽车,特高压,新基建,比亚迪",2.597142779374945
600796.SH,钱江生化,14.02,40.3,4.65,2.2,4.62,0.28,2.01,环保-环保-综合环境治理,综合环保,环保,公共事业,环保综合治理+生物制造,“环保综合治理+生物制造”两大产业一体化发展,国内规模最大的生物农药生产企业之一，井冈霉素市场占有率领先,,"蜱虫,土壤修复,国企改革,节能环保,兽药,地方国企改革,草地贪夜蛾防治,吡啶,净水,污水处理",0.3317407978698269
688292.SH,浩瀚深度,15.76,28.51,18.14,2.2,5.3,1.0,6.37,通信-通信设备-其他通信设备,互联网应用,计算机,科技,网络智能化,互联网流量和数据智能化的领航者,网络智能化解决方案核心供应商，中国移动为公司第一大客户,中证2000,"5G,网络安全,数据安全,华为鲲鹏,数据要素",1.3942080743206666
600967.SH,内蒙一机,134.44,135.02,7.93,2.19,2.96,1.17,0.88,国防军工-国防军工-地面兵装,陆军装备,军工,公共事业,坦克,国内陆战装甲龙头,我国唯一的主战坦克研制基地，重要的中重型轮式装甲车科研基地,中证500,"国企改革,轨道交通,农机,工业互联网,军民融合,人工智能,中兵系,铁路基建,中俄贸易,储能,新材料,无人机,军工,新能源汽车,智能制造,无人驾驶,高端装备,风电,国产软件,氢能源,高铁,央企国企改革,核电,物联网,数字孪生,集成电路,机器人,减速器",0.4597297818485872
688009.SH,中国通号,523.3,642.8,6.07,2.19,5.56,2.79,0.53,交运设备-非汽车交运-轨交设备,高铁,铁路,交通运输,轨道交通控制系统,全球领先的轨道交通控制系统解决方案提供商,自主研发的高铁与铁路各类系统与设备已全面覆盖国内轨道交通网络,,"国企改革,轨道交通,华为,高铁,央企国企改革,MSCI,中铁系",2.186076826315084
603706.SH,东方环宇,25.7,25.7,13.57,2.18,5.42,0.31,1.19,公用事业-燃气-燃气Ⅲ,燃气,石油,资源,城市燃气供应,新疆地区城市燃气综合服务商,昌吉市行政区域范围内为双燃料汽车提供天然气燃料的独家供应,,"天然气,新疆发展,西部开发,新疆振兴",0.39739309111138477
831834.BJ,三维股份,1.85,6.74,5.62,2.18,8.55,0.08,4.45,基础化工-化工合成材料-其他橡胶制品,橡胶,合成材料,化工,输送机械塑料零部件,公司是知名散状物料输送机械零部件制造商,江苏省专精特新小巨人企业，主营粮食输送机械零部件,,,0.3994643188672316
603153.SH,上海建科,25.95,78.78,19.22,2.18,10.15,3.71,14.14,建筑装饰-建筑装饰-工程咨询服务,工程监理,工程设计,建筑业,工程咨询服务、检测与技术服务,中国首批全过程工程咨询服务试点单位,上海国资委旗下，工程监理产值规模连续多年位列全国第一,中证2000,"新型城镇化,装配式建筑,国企改革,智能制造,雄安新区,人工智能,上海国企改革,工业4.0,建筑节能,碳中和,节能环保,文化传媒,地方国企改革,数字孪生,债转股(AMC),一带一路,数据中心,智慧城市,自由贸易港",11.10032801685276
600733.SH,北汽蓝谷,320.05,392.93,7.05,2.17,5.36,18.61,5.87,交运设备-汽车整车-乘用车,乘用车,汽车整车,汽车,电动乘用车,知名的新能源汽车与核心零部件企业,知名的新能源汽车与核心零部件企业,,"国企改革,华为,新能源汽车,北京国企改革,无人驾驶,新能源整车,动力电池回收,汽车芯片,华为汽车,星闪,地方国企改革,固态电池,一体化压铸,百度,北汽新能源,换电,MSCI,燃料电池",14.86353605367948
300611.SZ,美力科技,11.77,16.91,8.01,2.17,4.97,0.58,5.0,交运设备-汽车零部件-汽车零部件Ⅲ,汽车底盘,汽车零部件,汽车,汽车零配件弹簧,主营高端弹簧产品的研发、生产和销售，浙江省著名商标,主营高端弹簧产品的研发、生产和销售，浙江省著名商标,,"特斯拉,军工,蔚来汽车,新能源汽车,滴滴,理想汽车,长安汽车,比亚迪,专精特新,汽车制造",0.7960387138893257
300624.SZ,万兴科技,100.96,115.52,83.89,2.17,3.13,8.96,8.86,计算机-计算机应用-软件开发,电商,传媒,科技,消费类软件,知名消费类软件开发商,全球化布局的消费类软件服务商，已进入华为HMS生态系统，旗下拥有“万兴喵影”、“墨刀”等品牌,中证1000,"网红经济,多模态AI,阿里巴巴,Sora(文生视频),ChatGPT,华为,养老金持股,数据安全,人民币贬值受益,云办公,人工智能,鸿蒙,元宇宙,国产软件,SAAS,信创,AIGC,虚拟现实,电子商务,物联网,年报预增,智能家居,虚拟数字人",4.012324142752094
300428.SZ,立中集团,94.88,112.25,17.93,2.17,3.08,1.58,1.65,交运设备-汽车零部件-汽车零部件Ⅲ,一体化压铸,汽车零部件,汽车,中间合金,中国知名的中间合金生产企业之一,中国最大的中间合金生产企业之一，部分产品技术指标国际先进水平,中证1000,"特斯拉,军工,有色铝,锂电池,新能源汽车,稀土永磁,长安汽车,比亚迪,金属回收,汽车制造,新材料,钠离子电池,蔚来汽车,一体化压铸,专精特新",0.6987705903935164
300791.SZ,仙乐健康,54.58,66.09,36.4,2.16,3.23,0.46,0.86,食品饮料-食品加工制造-其他食品,保健品,食品,必需消费,营养保健食品,全球主要的营养保健食品合同开发与制造商之一,全球主要的营养保健食品合同开发与制造商之一,中证2000,"维生素,保健品",0.24169369402908084
603977.SH,国泰集团,82.38,82.38,13.26,2.16,3.85,1.56,1.93,基础化工-化学制品-民爆用品,民爆,建筑材料,建筑业,乳化炸药,全国产品种类最齐全的民用爆破器材生产企业之一,主营民用爆破器材领域，多种金属保有资源储量居于全国前列,中证2000,"军工,国企改革,轨道交通,航空发动机,智能制造,工业互联网,军民融合,3D打印,数字经济,民爆,稀有金属,芯片,智慧政务,小金属,元宇宙,稀缺资源,地方国企改革,高铁,智慧党建,虚拟现实,年报预增",0.976404668205192
000420.SZ,吉林化纤,93.16,93.19,3.79,2.16,5.12,6.41,6.9,基础化工-化工合成材料-粘胶,碳纤维,合成材料,化工,粘胶长丝,竹纤维行业龙头，人造纤维制造行业排头兵企业,竹纤维行业龙头，人造纤维制造行业排头兵企业,中证1000,"振兴东北,国企改革,地方国企改革,碳纤维,粘胶短纤,吉林国企改革",5.866147293145303
000888.SZ,峨眉山A,75.09,75.09,14.25,2.15,9.68,15.05,20.23,社会服务-景点及旅游-自然景点,旅游,旅游酒店,可选消费,景区,四川省龙头旅游企业，拥有峨眉山国家5A级景区资源,四川省龙头旅游企业，拥有峨眉山国家5A级景区资源,中证2000,"冰雪产业,国企改革,旅游,大数据,央视财经50,地方国企改革,体育产业,NFT,电子商务,智慧政务,成渝特区",34.05335789230088
603239.SH,浙江仙通,42.48,42.48,15.69,2.15,5.73,0.74,1.79,交运设备-汽车零部件-汽车零部件Ⅲ,内饰,汽车零部件,汽车,汽车密封条,汽车密封条行业领先企业,高硬度橡胶、低密度海绵生产技术已达到国内领先水平,中证2000,"华为汽车,长安汽车,比亚迪,国企改革,新能源汽车,地方国企改革,浙江国企改革",0.9198305979120621
603318.SH,水发燃气,23.74,28.42,6.19,2.15,4.62,0.39,1.64,公用事业-燃气-燃气Ⅲ,燃气,石油,资源,燃气储运设备,燃气输配及应用领域专业的成套设备供应商,主营燃气装备、燃气运营和分布式能源综合服务三大业务,中证2000,"天然气,国企改革,氢能源,地方国企改革,山东国企改革,储能,一带一路",0.4072751192069691
300756.SZ,金马游乐,16.35,21.76,13.81,2.14,9.47,1.44,9.25,机械设备-专用设备-其他专用设备,娱乐,社会服务,可选消费,大型游乐设施,专业从事游乐设施开发、生产和销售的高新技术企业,专业从事游乐设施开发、生产和销售的高新技术企业,中证2000,"三胎,环球主题公园,元宇宙,虚拟现实",4.378625436708382
872925.BJ,锦好医疗,6.61,11.72,11.95,2.14,5.56,0.09,1.43,医药生物-医疗器械-医疗设备,医疗器械,医疗器械,生物医药,康复医疗器械,国产助听器出口企业行业的龙头,国内助听器龙头企业,,"医疗器械,芯片",0.16904336284811206
301004.SZ,嘉益股份,19.65,77.01,74.05,2.12,4.32,1.05,5.45,轻工制造-家用轻工-其他家用轻工,日用品,家居装修,建筑业,食品容器,行业内有影响力的专业不锈钢真空保温器皿制造商,行业内较有影响力的专业不锈钢真空保温器皿制造商,中证2000,"C2M,人民币贬值受益,新零售,跨境电商,外贸受益,年报预增,三胎",1.0422564189643992
688568.SH,中科星图,212.19,212.19,58.19,2.12,6.11,4.86,2.34,计算机-计算机应用-IT服务,导航,计算机,科技,提供数字地球产品,国内领先的空天大数据系统与服务提供商,国内最早从事数字地球产品研发与产业化的企业,中证1000,"水利,国产软件,卫星导航,军工,大数据,国企改革,时空大数据,华为,智慧城市,无人机",4.950429513346702
600354.SH,敦煌种业,27.92,27.92,5.29,2.12,3.67,0.71,2.58,农林牧渔-种植业与林业-种子生产,粮食,农业,必需消费,种子+食品出口,业务以玉米制种为主，种子产业自有知识产权品种占42%,产品包括种子、果蔬、食品、棉花，国家重点扶持的的产业,中证2000,"三农,国企改革,乡村振兴,供销社,兰新白试验区,甘肃国企改革,粮食,农业供给侧改革,贸易战受益股,棉,农业种植,转基因,地方国企改革,超级稻,玉米,年报预增,抗旱",0.5156346655114931
300576.SZ,容大感光,53.12,85.58,34.73,2.12,6.82,3.37,6.37,电子-电子化学品-电子化学品Ⅲ,材料,半导体,科技,PCB油墨、光刻胶,PCB感光油墨国内龙头企业之一,行业内生产PCB感光油墨产品品种最为齐全的企业之一,中证2000,"PCB,柔性屏,光刻胶,OLED,专精特新,年报预增,第三代半导体",5.085713952520217
603269.SH,海鸥股份,19.03,19.03,12.08,2.11,4.23,0.72,3.87,机械设备-通用设备-其他通用设备,温控设备,机械设备,机械,工业常规冷却塔,国内规模最大的机力通风冷却塔企业,国内规模最大的机力通风冷却塔企业,,"氢能源,核电,超超临界发电,人民币贬值受益",0.6990058601243682
600843.SH,上工申贝,27.26,41.43,5.81,2.11,5.45,2.1,7.75,机械设备-专用设备-纺织服装设备,纺织设备,纺织,可选消费,缝制设备,国内缝制设备行业历史最悠久、上市最早的企业,国内缝制设备行业历史最悠久、上市最早的企业,,"浦东新区,工业互联网,比亚迪,融资租赁,工业机器人,碳纤维,机器人",2.677221471857985
000893.SZ,亚钾国际,162.0,185.31,19.95,2.1,5.63,5.68,3.49,基础化工-化学制品-钾肥,化肥,化学制品,化工,钾肥,全球领先的新生钾盐区域同时实现量产并实现效益的企业,全球新生钾盐区域首家实现工业化量产并实现经济效益的企业,中证500,"钾肥,贸易战受益股,人民币贬值受益,化肥,供销社,南沙新区,厄尔尼诺",5.396375305957596
300294.SZ,博雅生物,134.77,159.54,31.64,2.1,4.1,1.56,1.16,医药生物-生物制品-血液制品,血液制品,生物,生物医药,血液制品,全国白蛋白、静注人免疫球蛋白规格最全的生产企业之一,专业从事血液制品生产的定点单位,中证1000,"生物医药,国企改革,央企国企改革,仿制药一致性评价,血液制品,生物疫苗,肝素",0.9798284894737268
688151.SH,华强科技,14.42,48.64,14.12,2.1,7.01,0.27,1.86,医药生物-医疗器械-医疗耗材,医疗耗材,医疗器械,生物医药,特种防护装备,国内专业的防化军工企业,国内专业的防化军工企业,,"国产航母,军工,中兵系,国企改革,智能制造,防辐射,央企国企改革,医疗器械,军民融合,核污染防治,机器人,专精特新",0.5651498767558618
600236.SH,桂冠电力,498.95,498.95,6.33,2.1,2.9,1.06,0.22,公用事业-电力-水电,水电,电力,公共事业,水电（广西）,水电资产占到广西省统调水电装机容量的70%左右,水电站的生产管理处国内同行业先进水平,,"风电,国企改革,央企国企改革,北部湾自贸区,抗寒,绿色电力,电力改革",0.33103474895563223
300228.SZ,富瑞特装,42.62,45.17,7.85,2.08,5.59,2.05,4.8,机械设备-通用设备-金属制品,油气设备,机械设备,机械,天然气低温储运设备,国内领先的车船用LNG供气系统供应企业,国内领先的车船用LNG供气系统供应企业,中证2000,"天然气,高端装备,海水淡化,LNG汽车,页岩气,氢能源,LNG动力船,新能源汽车,LNG加气站,油气装备,中俄贸易,新能源整车,燃料电池",2.460871631914883
002481.SZ,双塔食品,44.05,48.61,3.94,2.07,4.66,0.55,1.26,农林牧渔-农产品加工-其他农产品加工,食品加工,农业,必需消费,粉丝,国内粉丝行业内的龙头企业,全国最大的豌豆蛋白生产企业，已研制“人造肉”新品,,"海底捞,国企改革,人造肉,地方国企改革,人民币贬值受益,燃料乙醇,预制菜,渤海粮仓",0.5088869328447024
688306.SH,均普智能,18.54,48.64,3.96,2.06,4.38,0.29,1.57,机械设备-自动化设备-其他自动化设备,自动化设备,机械设备,机械,智能制造装备,以汽车工业为主的全球化智能制造装备供应商,以汽车工业为主的全球化智能制造装备供应商,中证2000,"新能源汽车,智能制造,人民币贬值受益,人形机器人,无人驾驶,人工智能,汽车电子,工业4.0,华为汽车,共同富裕示范区,医疗器械,机器人,毫米波雷达,汽车热管理,新型工业化",0.2976081433300148
301050.SZ,雷电微力,61.38,79.75,45.58,2.06,5.31,1.72,2.83,国防军工-国防军工-军工电子,军工电子,军工,公共事业,毫米波有源相控阵,毫米波有源相控阵微系统国内一流水平,国内少数能够提供毫米波有源相控阵微系统整体解决方案及产品制造服务的企业之一,中证1000,"军工,卫星导航,雷达,专精特新,芯片,毫米波雷达",1.7887540191637663
300044.SZ,赛为智能,33.97,37.89,4.96,2.06,5.14,2.81,8.33,计算机-计算机应用-IT服务,智慧城市,计算机,科技,智慧城市,国内城市轨道交通智能化和建筑智能化的知名品牌,国内城市轨道交通智能化和建筑智能化的知名品牌,,"5G,智能建筑,军工,抖音,服务机器人,乡村振兴,轨道交通,大数据,人工智能,智慧城市,养老,机器人,PPP,时空大数据,安防,手机游戏,人脸识别,数据要素,农村电商,数据中心,机器视觉,新型工业化,无人机",3.147904993697473
300010.SZ,*ST豆神,28.88,51.25,2.48,2.06,3.7,0.15,0.51,社会服务-教育-教育Ⅲ,教育,社会服务,可选消费,教育,语文教育龙头企业之一,在语文学习、高考升学、智慧校园等教育领域的领先企业,,"PPP,抖音,网络直播,信创,幼儿教育,在线教育,人工智能,托育服务",0.10939714846140541
000959.SZ,首钢股份,209.26,271.25,3.48,2.05,3.81,1.57,0.75,黑色金属-钢铁-普钢,普钢,钢铁,资源,板材,国内排名前三的电工钢生产商,推进以汽车板、电工钢、镀锡板等为重点的高端产品开发,中证500,"京津冀一体化,特斯拉,国企改革,北京国企改革,雄安新区,厚朴系,循环经济,北交所,地方国企改革,铁矿石",0.8270602436021885
688576.SH,西山科技,9.3,38.97,73.52,2.04,4.32,0.28,2.98,医药生物-医疗器械-医疗设备,医疗器械,医疗器械,生物医药,手术动力装置,国内手术动力装置行业领先企业,自研的手术动力装置成功打破了进口垄断，是为数不多的已获得CE认证并实现出口的国产产品,,"医疗器械,专精特新",0.3359528501687697
002753.SZ,永东股份,14.59,22.58,6.01,2.04,6.62,0.43,2.98,基础化工-化工合成材料-炭黑,炭黑,合成材料,化工,炭黑,炭黑生产规模已跃入全国同行业前10强,主营高品质炭黑、煤焦油精细加工，产品附加值高盈利能力强,,"石墨电极,石墨烯,年报预增,炭黑,煤化工,锂电池",0.830090513052558
002878.SZ,元隆雅图,24.68,32.7,12.53,2.04,8.55,1.82,7.2,传媒-传媒-广告营销,广告营销,传媒,科技,促销品,礼赠品业务龙头，新媒体营销业务行业头部梯队,获得北京2022年冬奥会残奥会特许生产商和特许零售商资质,中证2000,"网红经济,腾讯,抖音,ChatGPT,华为,无线耳机,京东,消费电子,世界杯,人工智能,三胎,快手,拼多多,文化传媒,短剧游戏,大运会,AIGC,电子商务,数据要素,智能音箱,广告营销,虚拟数字人,Sora(文生视频),数字营销,杭州亚运会,盲盒,小米,环球主题公园,冬奥会,元宇宙,冬奥纪念品,NFT,百度,Web3.0,IP",4.382221543419733
603658.SH,安图生物,318.23,318.23,54.28,2.03,6.09,4.98,1.56,医药生物-医疗器械-体外诊断,体外诊断,医疗器械,生物医药,免疫诊断试剂,体外诊断行业领先地位,专注于体外诊断试剂和仪器的研发、制造、整合及服务,中证500,"抗原检测,体外诊断,猴痘,流感,幽门螺杆菌,医疗器械,MSCI,POCT",4.748531551537578
301225.SZ,恒勃股份,6.3,26.05,25.2,2.02,3.64,0.28,4.45,交运设备-汽车零部件-汽车零部件Ⅲ,动力系统,汽车零部件,汽车,内燃机进气系统、燃油蒸发污染物排放控制系统,中国内燃机零部件行业排头兵企业,空气滤清器在国内二轮燃油摩托车领域市占率约四成,中证2000,"华为汽车,氢能源,燃料电池,新能源汽车,医疗器械,比亚迪,专精特新,汽车热管理",0.29356453599289867
600599.SH,ST熊猫,18.41,18.41,11.09,2.02,4.6,0.3,1.65,轻工制造-家用轻工-其他家用轻工,日用品,家居装修,建筑业,烟花产品,中国最大的出口鞭炮烟花公司,中国最大的出口鞭炮烟花公司，国际烟花行业唯一的上市公司,,互联网金融,0.33043467450899394
601113.SH,华鼎股份,38.98,38.98,3.53,2.02,5.78,1.03,2.64,商贸零售-互联网电商-互联网电商Ⅲ,电商,传媒,科技,电子商务,差别化锦纶6长丝、跨境电商双主业发展模式,主营民用锦纶长丝,,"电子商务,新材料,氨纶,智能制造,锦纶",1.318945334447522
601866.SH,中远海发,208.34,343.47,2.53,2.02,4.03,2.12,1.01,交通运输-港口航运-航运,航运,水运,交通运输,集装箱租赁,公司船舶租赁运力和集装箱租赁业务都位居世界前列,船舶租赁业务规模居于世界前列，集装箱租赁业务规模为世界第二,中证500,"进口博览会,国企改革,航运系,融资租赁,上海自贸区,数字经济,同花顺中特估100,集装箱,航运,中远系,央企国企改革,MSCI,一带一路,航运港口",1.2106852341614494
300985.SZ,致远新能,10.13,37.17,27.88,2.01,5.67,0.65,6.45,机械设备-通用设备-金属制品,油气设备,机械设备,机械,车载LNG供气系统,国内综合实力较强的车载LNG供气系统制造企业,国内研发实力较强、生产规模较大的车载LNG供气系统制造企业之一,中证2000,"天然气,石墨烯,氢能源,锂电池,新能源汽车,锂电原料,燃料电池",1.1145334132001732
301182.SZ,凯旺科技,5.11,13.62,14.21,2.01,6.25,0.21,4.07,电子-消费电子-消费电子零部件及组装,电子配件,消费电子,科技,电子线缆组件,国内电子精密线缆连接组件行业安防应用领域领先企业,在国内电子精密线缆连接组件行业安防应用领域中拥有一定市场地位,,"充电桩,专精特新,华为,安防,新能源汽车",0.4996228121026924
605589.SH,圣泉集团,118.67,163.3,19.29,2.01,3.23,1.96,1.66,基础化工-化工合成材料-合成树脂,合成树脂,合成材料,化工,酚醛、呋喃树脂,国内铸造用树脂粘结剂企业第一梯队,国内铸造用树脂粘结剂企业第一梯队,中证1000,"航空航天,军工,国产替代,锂电池,光刻胶,环保包装,3D打印,先进封装,代糖,建筑节能,国产软件,石墨烯,抗病毒面料,高铁,建筑涂料,中医药,新材料,超级电容",0.8932956996352438
601038.SH,一拖股份,130.1,199.78,17.78,2.01,3.27,1.16,0.9,机械设备-专用设备-农用机械,农用机械,机械设备,机械,农用拖拉机,我国最大的专业农用拖拉机生产商,中国机械工业集团旗下，拥有国内拖拉机行业最完整的从整机到核心零部件制造体系,中证2000,"数字乡村,乡村振兴,农机,华为,国企改革,央企国企改革,无人驾驶,中俄贸易",0.5298496059254701
002653.SZ,海思科,134.08,288.67,25.91,2.01,3.82,1.45,1.09,医药生物-化学制药-化学制剂,制药,生物,生物医药,注射液,肠外营养细分市场占有率第一,我国高端肠外营养药领域的领导企业之一,中证500,"生物医药,银屑病,仿制药,创新药,仿制药一致性评价,高血压药,抗癌,医保目录,乙肝治疗,医疗器械",0.8241554606710998
601918.SH,新集能源,237.29,237.29,9.16,2.0,3.67,2.76,1.17,煤炭-煤炭开采加工-煤炭开采,煤炭,煤炭,资源,煤炭(安徽),从事煤炭开采、洗选和火力发电的企业,从事煤炭开采、洗选和火力发电的公司,中证1000,"动力煤,超超临界发电,国企改革,央企国企改革,煤炭,煤化工",1.351426048922868
600816.SH,建元信托,167.36,301.24,3.06,2.0,7.33,3.17,1.88,非银金融-保险及其他-多元金融,资产管理,非银金融,金融,金融信托,唯一上交所上市信托公司,唯一上交所上市信托公司,,"信托,融资租赁,金改",4.298868363183793
002096.SZ,易普力,59.93,152.2,12.27,2.0,5.07,1.12,1.87,基础化工-化学制品-民爆用品,民爆,建筑材料,建筑业,工业炸药,中国民爆行业产品品种最多、最全的企业之一,建成了国内第一条乳化炸药生产线,中证1000,"湖南自贸区,军工,军民融合,国企改革,民爆,央企国企改革",1.0971732999187684
834950.BJ,迅安科技,2.15,8.43,17.94,1.99,6.65,0.14,6.25,机械设备-通用设备-其他通用设备,通用设备,机械设备,机械,电焊防护面罩,全球规模较大的自动面罩生产企业之一,主营电焊防护面罩和电动送风过滤式呼吸器，外销为主,,,0.47445282876525846
002221.SZ,东华能源,134.84,145.48,9.23,1.99,3.65,0.77,0.57,石油石化-石油加工贸易-石油加工,石油化工,石油,资源,液化石油气贸易,国内最大的液化气仓储能力，优越的区域码头岸线资源,拥有大型液化石油气冷冻储运批发基地的合资企业,中证1000,"聚丙烯,丙烷脱氢,液化气,碳纤维,循环经济,丙烯,天然气,页岩气,贸易战受益股,氢能源,俄乌冲突,油品升级,年报预增,西气东输,燃料电池",0.40964929138119127
600257.SH,大湖股份,32.1,32.1,6.67,1.99,9.17,6.37,20.22,农林牧渔-养殖业-水产养殖,渔业,养殖,必需消费,淡水鱼,全国最大的以淡水鱼养殖为主营业务的上市公司,全国最大的以淡水鱼养殖为主营业务的上市公司,中证2000,"高压氧舱,互联网金融,健康中国,水产品,民营医院,预制菜,中医药,新零售,净水,污水处理,养老,海洋经济,白酒",15.892385141793387
600028.SH,中国石化,6334.63,8120.04,6.67,1.99,3.67,16.56,0.26,石油石化-石油加工贸易-石油加工,三桶油,石油,资源,石油炼化,中国最大的成品油供应商,炼油能力排名中国第一位，中国最大的成品油供应商,"上证50,沪深300","聚丙烯,国企改革,两桶油改革,油价上调,油气开采,油品改革,同花顺中特估100,天然气,油气管网,页岩气,氢能源,央企国企改革,可燃冰,MSCI,一带一路",5.381478751848953
600435.SH,北方导航,131.04,131.04,8.73,1.99,3.97,2.56,1.98,国防军工-国防军工-地面兵装,陆军装备,军工,公共事业,导航,拥有制导控制系统管关键核心技术,中国兵工集团旗下，掌握了制导控制系统、导航控制系统的关键核心技术,中证500,"国产航母,高端装备,军工,卫星导航,国企改革,中兵系,央企国企改革,遥感技术,证金持股,无人机",1.5431868167301297
831396.BJ,许昌智能,4.86,9.35,5.65,1.99,2.71,0.2,4.16,电力设备-电力设备-输变电设备,输变电,电气设备,电力设备,,,主营智能配用电产品、新能源产品和系统及电力工程总承包等业务,,"电力物联网,智能电网,充电桩,储能,专精特新,光伏",0.14734851152790351
002737.SZ,葵花药业,159.02,159.02,27.23,1.99,3.07,2.45,1.55,医药生物-中药-中药Ⅲ,中药,中药,生物医药,消化和儿科,消化系统用药和儿童用药领域处于行业领先地位,“小葵花”儿童药系列已成为行业内的领军品牌,中证1000,"生物医药,流感,肝炎,养老金持股,黑龙江自贸区,保健品,三胎,医保目录,维生素,中医药,儿童医药医疗",0.9874932974614921
603368.SH,柳药集团,77.81,78.23,21.6,1.98,3.97,1.37,1.75,医药生物-医药商业-医药商业Ⅲ,医药商业,医疗服务,生物医药,医药批发,广西医药商业领域的龙头地位,以医院销售为主，零售药店和第三终端并重发展的医药流通企业,中证1000,"互联网医疗,医药电商,中医药,辉瑞,冷链物流",0.9052548823234124
002480.SZ,新筑股份,27.62,27.69,3.6,1.98,10.76,0.86,2.99,公用事业-电力-新能源发电,路桥建设,基建,建筑业,桥梁功能部件,行业内率先通过欧盟CE国际认证的企业,国内桥梁功能部件行业综合实力最强的企业之一,中证2000,"国企改革,轨道交通,燃料电池,智能制造,光伏,机器人,高铁,噪声防治,地方国企改革,基建工程,四川国企改革,储能,磁悬浮,一带一路,绿色电力,钒电池,有轨电车,超级电容",2.741122508353469
301175.SZ,中科环保,31.85,75.95,5.16,1.98,4.55,2.98,9.41,环保-环保-固废治理,垃圾处理,环保,公共事业,垃圾焚烧发电,长期扎根环保领域，以生活垃圾焚烧发电为业务主体,中科院旗下的生活垃圾焚烧发电企业,中证1000,"碳中和,医疗废物处理,乡村振兴,节能环保,国企改革,生物质能发电,绿色电力",2.853635922532806
000524.SZ,岭南控股,62.32,62.33,9.3,1.97,6.91,3.86,6.12,社会服务-景点及旅游-旅游综合,旅游,旅游酒店,可选消费,综合旅游服务,广东省内的大型综合性旅游集团,旅游和酒店为主的企业，线下销售网络涵盖近400家营业网点,中证2000,"国企改革,广东自贸区,免税店,露营经济,地方国企改革,广东国企改革,NFT,预制菜,南沙新区,广州旅游,粤港澳大湾区,旅游",5.749258410924697
301287.SZ,康力源,4.58,18.31,27.47,1.97,4.01,0.24,5.36,轻工制造-家用轻工-文娱用品,体育,社会服务,可选消费,健身器材,国内健身器材行业的领军企业,外销为主的健身器材生产商,,"人民币贬值受益,体育产业,电子商务,AIGC,跨境电商,人工智能,养老",0.3175076861180217
