涨停日期,一字板,涨停数,跌停数,开板数,开板率,连板数,最高 连板,两市 总成交,两市 总涨幅,涨停 总成交,涨停 总封单,涨停 最大封单,涨停封单,涨停 最大成交,涨停成交额,当日题材,连板股,反包股,长腿股,开板股,趋势股,大成交股,page
"2022-05-10
周二
涨停明细",13,111,2,40,26.50%,34,8,8468亿,1.21%,501.24亿,119.2亿,37.1亿,"37.1亿新华制药, 7.51亿昆药集团, 6.73亿华润双鹤, 5.27亿嘉环科技, 3.13亿宏润建设",40.71亿,"40.7亿浙江建投, 25.3亿精华制药, 21.5亿天保基建, 19.4亿农发种业, 19.2亿中交地产",工程建设/化学制药/装修装饰/通用设备/互联网服/光伏设备/中药,"8板新华制药/浙江建投, 7板建艺集团, 6板华东重机, 5板宏润建设/爱旭股份/若羽臣, 4板罗欣药业/大理药业/望变电气, 3板东易日盛/昆药集团",中润资源/中工国际/精华制药,24.39%新城市/22.75%华蓝集团/22.56%杭州园林/22.46%汇纳科技/22.36%中英科技/22.18%大宏立/21.54%纳川股份/21.20%奥雅股份/20.99%上海谊众/20.00%中信博/19.24%同和药业/18.16%浙江建投,"4板牧高笛(8.09%), 3板美利云(3.95%), 2板汇绿生态(5.62%), 2板成都路桥(5.68%), 2板昂利康(6.79%), 2板海正药业(6.21%), 2板新世界(1.18%), 2板综艺股份(3.49%)","100天建发股份, 67天坤彩科技, 62天双环科技, 62天中国神华, 61天陕西煤业, 57天中煤能源, 57天奥翔药业, 56天国美通讯, 55天亚钾国际, 51天鲁西化工",91亿宁德时代/70亿贵州茅台/59亿中国医药/51亿天齐锂业/50亿九安医疗/49亿东方财富/48亿比亚迪/44亿招商银行/44亿紫金矿业/42亿隆基绿能/41亿浙江建投/38亿中国海油,
"2022-05-09
周一
涨停明细",16,138,1,46,25.00%,24,7,6715亿,-0.16%,371.97亿,112.94亿,32.26亿,"32.26亿新华制药, 11.88亿华润双鹤, 4.59亿宏润建设, 2.7亿爱旭股份, 2.14亿昆药集团",29.17亿,"29.2亿浙江建投, 17.7亿湖南发展, 13.8亿望变电气, 13亿蓝焰控股, 10.9亿怡 亚 通",工程建设/化学制药/装修装饰/通用设备/互联网服/光伏设备/电网设备,"7板新华制药/浙江建投, 6板建艺集团, 5板华东重机, 4板宏润建设/返利科技/爱旭股份/永安药业/若羽臣/凯淳股份, 3板润达医疗/大理药业",招商南油/顺灏股份/湖南发展/牧高笛,22.18%望变电气/20.68%蓝特光学/20.56%凯淳股份/19.33%龙利得/18.65%*ST中潜/18.14%宏德股份/17.65%国能日新/16.79%百花医药/16.32%大叶股份/15.96%牧高笛/15.88%蓝焰控股/15.88%同和药业,"4板中润资源(7.07%), 4板精华制药(5.23%), 3板浙江永强(2.76%), 3板三夫户外(5.92%), 3板中国医药(3.24%), 3板新华医疗(0.1%), 3板复旦复华(1.38%), 2板准油股份(6.89%)","99天建发股份, 66天坤彩科技, 61天双环科技, 61天中国神华, 60天山西焦煤, 60天陕西煤业, 57天天地源, 56天中煤能源, 56天奥翔药业, 55天国美通讯",68亿中国医药/62亿宁德时代/53亿贵州茅台/52亿九安医疗/46亿招商银行/44亿海康威视/41亿比亚迪/39亿中国海油/33亿以岭药业/32亿隆基绿能/32亿北方稀土/31亿天齐锂业,
"2022-05-06
周五
涨停明细",8,84,18,33,28.20%,28,6,7598亿,-2.16%,296.11亿,76.9亿,29.87亿,"29.87亿新华制药, 4.01亿中国医药, 2.75亿中国软件, 2.4亿爱旭股份, 1.76亿永泰运",31.75亿,"31.8亿中国医药, 25亿浙江建投, 19.5亿精华制药, 15.3亿苏盐井神, 14.8亿徐家汇",化学制药/工程建设/商业百货/装修装饰/装修建材/通用设备/互联网服,"6板新华制药/徐家汇/浙江建投, 5板建艺集团, 4板鲁阳节能/华东重机, 3板中润资源/返利科技/爱旭股份/若羽臣/焦点科技/凯淳股份",双成药业,25.84%天泽信息/25.61%奥联电子/23.89%欧圣电气/23.79%诚迈科技/22.24%徐家汇/22.15%双成药业/21.00%皇庭国际/19.54%三诺生物/19.34%海辰药业/18.74%如意集团/18.71%聚光科技/18.13%精华制药,"8板湖南发展(5.29%), 3板万丰奥威(6.51%), 3板南极电商(1.52%), 3板辽宁能源(3.81%), 3板新潮能源(2.4%), 3板三江购物(3.84%), 3板浙江鼎力(5.57%), 2板荣安地产(7.28%)","98天建发股份, 65天坤彩科技, 60天双环科技, 60天中国神华, 59天山西焦煤, 59天陕西煤业, 56天天地源, 55天中煤能源, 55天奥翔药业, 54天国美通讯",91亿宁德时代/86亿海康威视/58亿九安医疗/51亿贵州茅台/48亿中国海油/47亿东方财富/47亿天齐锂业/43亿长安汽车/36亿中国中免/35亿比亚迪/34亿紫金矿业/34亿招商银行,
"2022-05-05
周四
涨停明细",11,150,13,45,23.10%,37,7,9009亿,0.46%,400.02亿,75.12亿,9.33亿,"9.33亿新华制药, 3.63亿长安汽车, 2.88亿中国医药, 1.48亿宏润建设, 1.48亿农发种业",28.11亿,"28.1亿浙江建投, 23.2亿中国医药, 19.9亿天保基建, 17.8亿精华制药, 12.7亿长安汽车",电力行业/化学制药/工程建设/商业百货/装修装饰/装修建材/房地产开,"7板湖南发展, 5板新华制药/徐家汇/浙江建投, 4板建艺集团, 3板鲁阳节能/深深房Ａ/华东重机/宏德股份, 2板中润资源/宏润建设/万丰奥威",通宝能源/上海谊众/跃岭股份,23.83%艾布鲁/23.79%宏德股份/23.65%药康生物/21.43%天瑞仪器/19.03%古鳌科技/18.59%通易航天/18.38%纵横股份/18.33%欧圣电气/17.58%上海谊众/17.26%华康医疗/16.80%晶雪节能/16.63%中铁装配,"7板上海港湾(3.72%), 6板双成药业(7.35%), 5板爱仕达(-9.95%), 3板东方环宇(5.94%), 2板天健集团(5.41%), 2板航天彩虹(5.41%), 2板北玻股份(5.97%), 2板高斯贝尔(5.11%)","97天建发股份, 64天坤彩科技, 59天双环科技, 59天中国神华, 58天山西焦煤, 58天陕西煤业, 55天天地源, 54天中煤能源, 54天奥翔药业, 53天国美通讯",223亿宁德时代/70亿天齐锂业/64亿九安医疗/63亿比亚迪/62亿贵州茅台/56亿东方财富/53亿中国海油/46亿隆基绿能/45亿海康威视/44亿华润双鹤/41亿格力电器/40亿五 粮 液,
"2022-04-29
周五
涨停明细",5,213,6,54,20.20%,26,6,9652亿,3.05%,797.92亿,79.71亿,8.77亿,"8.77亿新华制药, 5亿长安汽车, 2.91亿中国海油, 1.92亿天齐锂业, 1.79亿九安医疗",68.48亿,"68.5亿中国海油, 55亿九安医疗, 54.9亿天齐锂业, 29.6亿洋河股份, 23.9亿中交地产",电力行业/商业百货/家电行业/化学制药/工程建设/生物制品/化学制品,"6板湖南发展, 4板新华制药/双成药业/爱仕达/徐家汇/浙江建投, 3板建艺集团/凯龙股份/上海雅仕/融捷股份, 2板鲁阳节能/新能泰山",,47.06%金刚退/31.44%宏德股份/21.46%壹网壹创/21.03%星徽股份/20.61%凯淳股份/19.37%利和兴/19.32%金山办公/19.13%值得买/18.75%福瑞股份/18.73%左江科技/18.61%上海谊众/18.31%联络互动,"3板华润双鹤(1.24%), 3板通宝能源(3.5%), 2板葵花药业(7.51%), 2板三房巷(6.84%), 2板春兰股份(5.24%), 2板东方环宇(6.45%), 1板天健集团(9.18%), 1板穗恒运Ａ(8.3%)","96天建发股份, 63天坤彩科技, 58天双环科技, 58天中国神华, 57天山西焦煤, 57天陕西煤业, 54天天地源, 53天中煤能源, 53天奥翔药业, 52天国美通讯",132亿宁德时代/112亿东方财富/72亿五 粮 液/69亿中国海油/64亿贵州茅台/59亿比亚迪/55亿隆基绿能/55亿九安医疗/55亿天齐锂业/49亿招商银行/45亿华润双鹤/41亿赣锋锂业,
"2022-04-28
周四
涨停明细",7,67,45,34,33.70%,19,5,8406亿,0.16%,345.67亿,50.25亿,14.11亿,"14.11亿新华制药, 3.11亿鲁阳节能, 1.78亿华润双鹤, 1.62亿中交地产, 1.4亿湖南发展",39.43亿,"39.4亿歌尔股份, 27.4亿浙江建投, 24亿中交地产, 21.9亿华润双鹤, 19.5亿盛新锂能",电力行业/化学制药/工程建设/家电行业/商业百货/生物制品/综合行业,"5板湖南发展, 3板新华制药/爱仕达/双成药业/ST国安/徐家汇/浙江建投, 2板上海雅仕/通宝能源/凯龙股份/星宇股份/融捷股份",上海港湾/沙河股份,22.26%上海港湾/21.62%艾布鲁/21.59%宏德股份/21.36%君实生物/19.40%数知退/18.72%敏芯股份/17.74%天保基建/17.31%南国置业/16.18%清研环境/16.01%新疆交建/15.94%安徽建工/15.78%沙河股份,"4板安奈儿(4.09%), 3板山东路桥(4.92%), 3板音飞储存(-6.39%), 3板鼎信通讯(4.98%), 3板东尼电子(5.24%), 2板江特电机(7.1%), 2板中矿资源(7.78%), 2板大晟文化(5.45%)","95天建发股份, 62天坤彩科技, 57天双环科技, 57天中国神华, 56天山西焦煤, 56天陕西煤业, 53天天地源, 52天中煤能源, 52天奥翔药业, 51天国美通讯",101亿宁德时代/80亿贵州茅台/68亿隆基绿能/61亿招商银行/59亿天齐锂业/55亿中国海油/51亿东方财富/50亿赣锋锂业/43亿九安医疗/42亿五 粮 液/42亿亿纬锂能/39亿歌尔股份,
"2022-04-27
周三
涨停明细",3,137,32,63,31.50%,13,4,9179亿,3.45%,840.61亿,62.62亿,13.92亿,"13.92亿新华制药, 2.95亿歌尔股份, 2.44亿赣锋锂业, 2.1亿湖南发展, 1.98亿中国海油",60.51亿,"60.5亿中国海油, 35.4亿天齐锂业, 33.1亿华润双鹤, 32.9亿赣锋锂业, 25亿华友钴业",电力行业/商业百货/工程建设/化学制药/综合行业/物流行业/生物制品,"4板湖南发展/新华百货, 2板新华制药/浙江建投/爱仕达/山东路桥/双成药业/徐家汇/ST国安/鼎信通讯/东尼电子/奥 特 迅",文灿股份/博威合金,25.18%怡合达/23.61%新益昌/23.46%金刚玻璃/22.24%华润双鹤/22.19%拓荆科技/22.18%*ST御银/22.08%至正股份/21.37%联创股份/21.26%恒久科技/21.13%扬电科技/21.10%英搏尔/20.55%宏德股份,"4板上海港湾(-6.38%), 3板安奈儿(7.08%), 2板国统股份(6.65%), 2板三和管桩(3.27%), 2板国药股份(6.27%), 2板深圳新星(8.31%), 1板沙河股份(5.75%), 1板深天地Ａ(7.3%)","94天建发股份, 61天坤彩科技, 56天双环科技, 56天中国神华, 55天山西焦煤, 55天陕西煤业, 52天天地源, 51天中煤能源, 51天奥翔药业, 50天国美通讯",123亿宁德时代/103亿贵州茅台/82亿东方财富/61亿中国海油/59亿招商银行/58亿比亚迪/48亿九安医疗/45亿隆基绿能/40亿北方稀土/39亿五 粮 液/35亿天齐锂业/34亿万 科Ａ,
"2022-04-26
周二
涨停明细",2,42,214,44,51.20%,5,3,8389亿,-1.55%,186.93亿,20.12亿,2.91亿,"2.91亿国药股份, 2亿浙江建投, 1.1亿中兴商业, 1.08亿新华百货, 0.83亿天味食品",38.78亿,"38.8亿复星医药, 13.1亿振东制药, 12.2亿完美世界, 10.1亿南国置业, 9.5亿浙江建投",商业百货/工程建设/电力行业/化学制药/房地产开/水泥建材/互联网服,"3板湖南发展/新华百货/上海港湾, 2板南国置业/千红制药",广百股份/浙江建投/新朋股份/双成药业,25.56%邦讯退/21.59%上海港湾/21.18%联盛化学/20.20%双成药业/20.11%广生堂/19.22%福瑞股份/18.73%上海谊众/17.90%葵花药业/17.89%富士莱/17.67%ST国安/17.04%第一医药/16.97%吉林碳谷,"3板葵花药业(9.09%), 3板天地源(-3.13%), 2板中交地产(4.33%), 2板安奈儿(-1.03%), 2板设计总院(6.93%), 1板国药一致(8.31%), 1板武商集团(6.36%), 1板荣安地产(5.58%)","93天建发股份, 64天德邦股份, 60天坤彩科技, 55天双环科技, 55天中国神华, 54天山西焦煤, 54天陕西煤业, 51天天地源, 50天中煤能源, 50天奥翔药业",77亿贵州茅台/71亿宁德时代/70亿东方财富/56亿招商银行/55亿中国海油/53亿九安医疗/41亿五 粮 液/39亿复星医药/37亿比亚迪/37亿中国中免/33亿美的集团/33亿隆基绿能,
"2022-04-25
周一
涨停明细",1,25,666,19,43.20%,8,4,8969亿,-5.60%,138.18亿,11.73亿,1.38亿,"1.38亿华润双鹤, 1.22亿安奈儿, 0.93亿湖南发展, 0.91亿中能电气, 0.84亿南国置业",26.81亿,"26.8亿华润双鹤, 23.5亿中交地产, 15.3亿华安证券, 10.5亿华纺股份, 6.7亿泰慕士",纺织服装/房地产开/工程建设/装修建材/商业百货/电力行业/电网设备,"4板盛泰集团, 3板泰慕士, 2板华纺股份/天地源/新华百货/东宏股份/上海港湾/湖南发展",,22.32%民生控股/18.71%云煤能源/17.81%臻镭科技/17.48%中交地产/14.85%新力金融/14.79%宏德股份/14.23%筑博设计/14.08%东宏股份,"3板龙头股份(-2.25%), 2板宏润建设(0.19%), 2板广百股份(2.11%), 2板葵花药业(0%), 2板真爱美家(4.9%), 2板明星电力(1.99%), 2板云煤能源(6.98%), 2板红蜻蜓(-3.59%)","92天建发股份, 91天大有能源, 63天德邦股份, 59天坤彩科技, 54天双环科技, 54天兰花科创, 54天中国神华, 53天山西焦煤, 53天恒源煤电, 53天陕西煤业",94亿招商银行/94亿贵州茅台/89亿中国海油/84亿宁德时代/70亿东方财富/59亿九安医疗/46亿五 粮 液/41亿隆基绿能/37亿比亚迪/36亿中国中免/35亿天齐锂业/32亿以岭药业,
"2022-04-22
周五
涨停明细",3,74,72,15,16.90%,13,5,7534亿,-0.04%,213.97亿,31.97亿,1.89亿,"1.89亿盛泰集团, 1.28亿闽东电力, 1.1亿上海能源, 1.1亿梦洁股份, 0.89亿泰慕士",15.05亿,"15.1亿上海能源, 14亿蓝焰控股, 13.4亿金科股份, 8.3亿龙蟠科技, 8.3亿苏盐井神",商业百货/纺织服装/多元金融/航运港口/食品饮料/综合行业/电源设备,"5板中兴商业, 3板盛泰集团/民生控股/国芳集团, 2板泰慕士/新 华 都/龙头股份/ST国安/兴通股份/青岛食品/戎美股份/哈空调",,23.09%宏德股份/23.03%大叶股份/21.88%恒辉安防/21.13%联盛化学/21.03%湖南发展/20.87%国光电气/20.56%开润股份/20.13%新华百货/19.25%万事利/19.18%福瑞股份/18.37%新特电气/18.01%棒杰股份,"1板粤电力Ａ(9.76%), 1板北方铜业(2.67%), 1板银星能源(7.91%)","91天建发股份, 90天大有能源, 81天傲农生物, 69天XD山煤国, 69天中路股份, 65天梅花生物, 62天德邦股份, 58天坤彩科技, 53天双环科技, 53天东方铁塔",84亿宁德时代/69亿九安医疗/50亿招商银行/50亿贵州茅台/43亿东方财富/35亿隆基绿能/33亿以岭药业/33亿五 粮 液/30亿阳光电源/27亿步 步 高/27亿沃森生物/25亿华润双鹤,
"2022-04-21
周四
涨停明细",0,32,73,22,40.70%,12,5,8565亿,-2.48%,134.2亿,11.96亿,1.97亿,"1.97亿步 步 高, 1.05亿泰慕士, 0.82亿盛泰集团, 0.76亿赛伍技术, 0.63亿新华制药",25.55亿,"25.6亿步 步 高, 8.8亿三羊马, 7.8亿新力金融, 6.7亿安记食品, 5亿海南发展",食品饮料/商业百货/游戏/纺织服装/多元金融/物流行业/酿酒行业,"5板安记食品, 4板中兴商业, 3板大晟文化/步 步 高, 2板盛泰集团/会稽山/新华制药/三羊马/智能自控/国芳集团/民生控股/惠发食品",,21.79%联盛化学/20.19%戎美股份/20.14%*ST美尚/19.17%步 步 高/16.53%日辰股份/15.12%梅安森/15.03%国芳集团/14.86%青岛食品/14.73%大晟文化/14.26%万控智造/14.25%顶点软件,"3板蓝丰生化(-6.87%), 3板瑞茂通(0.66%), 2板丰乐种业(6.32%), 2板弘宇股份(-2.78%), 2板乾景园林(5.46%), 1板皇庭国际(7.34%), 1板农 产 品(2.3%), 1板奥园美谷(4.42%)","92天浙江建投, 90天建发股份, 89天大有能源, 80天傲农生物, 75天岭南控股, 68天XD山煤国, 68天中路股份, 64天梅花生物, 63天拓新药业, 61天德邦股份",86亿宁德时代/68亿九安医疗/54亿隆基绿能/54亿阳光电源/52亿贵州茅台/50亿东方财富/48亿招商银行/37亿以岭药业/36亿比亚迪/35亿华润双鹤/34亿农发种业/31亿云天化,
"2022-04-20
周三
涨停明细",3,53,12,22,29.30%,16,5,8207亿,-1.70%,232.25亿,29.73亿,3.36亿,"3.36亿上海能源, 1.65亿农发种业, 1.54亿丰乐种业, 1.5亿中兴商业, 1.28亿步 步 高",17.91亿,"17.9亿农发种业, 15.8亿步 步 高, 14.2亿信达地产, 12.2亿三全食品, 10.9亿渝 开 发",塑料制品/食品饮料/煤炭行业/商业百货/汽车零部/农牧饲渔/房地产开,"5板天龙股份, 4板上海能源/安记食品, 3板中兴商业/农发种业/联明股份, 2板蓝丰生化/步 步 高/大晟文化/湘邮科技/华是科技/三全食品",,28.89%益客食品/26.68%新宁物流/22.16%渝 开 发/21.71%德必集团/20.08%聚龙退/17.71%安记食品/17.57%长久物流/15.35%信达地产/15.07%广汇物流/14.72%香农芯创/14.37%中水渔业/14.31%惠发食品,"4板常熟汽饰(7.55%), 3板粤海饲料(5.54%), 3板牧高笛(1.21%), 2板敦煌种业(8.45%), 2板江山股份(4.39%), 1板神州高铁(7.88%), 1板厦门信达(4.93%), 1板湖南发展(6.21%)","91天浙江建投, 89天建发股份, 88天大有能源, 80天唐人神, 79天傲农生物, 74天岭南控股, 67天XD山煤国, 67天中路股份, 67天吉翔股份, 63天梅花生物",129亿宁德时代/57亿东方财富/54亿招商银行/52亿九安医疗/51亿阳光电源/44亿以岭药业/43亿贵州茅台/38亿华润双鹤/34亿五 粮 液/33亿隆基绿能/32亿保利发展/32亿万 科Ａ,
"2022-04-19
周二
涨停明细",2,56,19,31,35.60%,14,4,7794亿,-0.28%,267.65亿,29.14亿,6.13亿,"6.13亿上海能源, 1.52亿步 步 高, 1.43亿准油股份, 0.98亿湖北广电, 0.94亿华润双鹤",26.18亿,"26.2亿农发种业, 23.6亿华润双鹤, 18.7亿步 步 高, 15.6亿湖北广电, 14.8亿光大嘉宝",塑料制品/燃气/商业百货/有色金属/煤炭行业/食品饮料/农牧饲渔,"4板天龙股份/蓝焰控股, 3板上海能源/华锋股份/银座股份/安记食品, 2板联明股份/光大嘉宝/牧高笛/仙坛股份/华润双鹤/粤海饲料",步 步 高/佳电股份/光明地产,22.27%步 步 高/21.37%华是科技/21.21%中兴商业/21.15%上海谊众/19.21%银座股份/17.55%信达地产/16.46%蓝焰控股/16.23%光明地产/15.79%安记食品/15.24%双林股份/14.15%中旗股份,"3板微光股份(-5.26%), 3板常熟汽饰(-3.11%), 2板民和股份(2.47%), 2板益生股份(5.49%), 2板跃岭股份(-4.77%), 2板申达股份(-7%), 2板交运股份(-1.97%), 2板福成股份(-1.4%)","90天浙江建投, 88天建发股份, 87天大有能源, 79天唐人神, 78天傲农生物, 78天巨星农牧, 73天岭南控股, 66天XD山煤国, 66天中路股份, 66天吉翔股份",105亿招商银行/65亿九安医疗/64亿宁德时代/59亿以岭药业/51亿比亚迪/44亿贵州茅台/40亿盐湖股份/38亿牧原股份/37亿东方财富/33亿隆基绿能/32亿韦尔股份/28亿阳光电源,
"2022-04-18
周一
涨停明细",3,76,38,22,22.40%,12,5,7785亿,-0.07%,280.34亿,42.17亿,10.09亿,"10.09亿上海能源, 2.39亿天龙股份, 1.1亿士兰微, 0.96亿乾景园林, 0.94亿农发种业",28.31亿,"28.3亿华润双鹤, 23.6亿士兰微, 18.1亿农发种业, 15亿光大嘉宝, 13.9亿畅联股份",物流行业/燃气/塑料制品/汽车零部/商业百货/食品饮料/电力行业,"5板畅联股份, 3板天龙股份/蓝焰控股, 2板华锋股份/银座股份/上海能源/安记食品/新华百货/常熟汽饰/华联股份/微光股份/闽东电力",光大嘉宝,22.27%畅联股份/20.38%飞力达/18.53%中捷精工/18.17%唯捷创芯/17.87%天宜上佳/16.86%光大嘉宝/16.51%纽泰格/16.47%文灿股份/16.27%新宁物流/16.23%恒帅股份/15.90%伯特利/15.82%中百集团,"6板步 步 高(-6.6%), 4板渝 开 发(-10.03%), 3板中交地产(-9.91%), 2板天地源(7.28%), 2板长城军工(7.09%), 2板苏盐井神(8.06%), 2板日辰股份(6.69%), 2板沪光股份(5.7%)","89天浙江建投, 87天建发股份, 86天大有能源, 78天唐人神, 77天傲农生物, 77天巨星农牧, 72天岭南控股, 65天XD山煤国, 65天中路股份, 65天吉翔股份",103亿招商银行/95亿九安医疗/53亿宁德时代/50亿东方财富/45亿沃森生物/44亿隆基绿能/35亿贵州茅台/32亿中交地产/32亿中国医药/31亿五 粮 液/28亿华润双鹤/28亿云天化,
"2022-04-15
周五
涨停明细",3,38,37,38,50.00%,11,5,9113亿,-0.51%,216.54亿,37.6亿,20.78亿,"20.78亿上海能源, 2亿云维股份, 1.86亿中交地产, 1.43亿步 步 高, 1.13亿苏盐井神",36.14亿,"36.1亿山西焦煤, 22.4亿中交地产, 18.4亿福耀玻璃, 12亿步 步 高, 12亿畅联股份",商业百货/物流行业/房地产开/煤炭行业/塑料制品/多元金融/水泥建材,"5板步 步 高, 4板畅联股份, 3板京能置业/渝 开 发, 2板三和管桩/蓝焰控股/云维股份/天龙股份/泛海控股/合富中国/中交地产",,30.55%瑞可达/25.72%上声电子/20.63%京能置业/18.40%畅联股份/17.56%伯特利/17.40%中交地产/16.50%南极光/16.37%沪光股份/15.81%同兴环保/15.73%宇环数控/15.49%雅创电子/14.84%纽泰格,"4板九安医疗(-10%), 4板宇环数控(4.14%), 3板同兴环保(4.56%), 3板安源煤业(-5.47%), 3板平煤股份(-2.96%), 2板金 融 街(4.32%), 2板金科股份(5.47%), 2板海得控制(5.69%)","88天浙江建投, 86天建发股份, 77天唐人神, 76天傲农生物, 76天巨星农牧, 75天晋控煤业, 71天岭南控股, 69天国旅联合, 64天XD山煤国, 64天中路股份",149亿九安医疗/89亿宁德时代/57亿东方财富/54亿以岭药业/44亿紫金矿业/43亿中国医药/39亿五 粮 液/38亿贵州茅台/36亿山西焦煤/36亿沃森生物/33亿万 科Ａ/33亿盐湖股份,
"2022-04-14
周四
涨停明细",3,77,9,24,23.80%,16,5,8702亿,1.26%,467.65亿,49.65亿,5.67亿,"5.67亿九安医疗, 1.86亿以岭药业, 1.71亿神火股份, 1.34亿步 步 高, 1.3亿中交地产",55.91亿,"55.9亿以岭药业, 32.6亿九安医疗, 19.6亿精华制药, 17亿中交地产, 16.5亿神火股份",商业百货/房地产开/物流行业/医疗器械/通用设备/煤炭行业/化学原料,"5板广汇物流/东百集团, 4板步 步 高, 3板长久物流/宇环数控/畅联股份/大连友谊/九安医疗, 2板京能置业/同兴环保/渝 开 发/安源煤业",*ST皇台/长江投资/神火股份,20.76%唯捷创芯/19.50%泰林生物/18.79%兰卫医学/17.30%川金诺/17.08%盛美上海/16.58%原尚股份/16.11%六国化工/15.19%金陵饭店/14.93%傲农生物/14.33%维宏股份/14.06%长江投资,"4板华润双鹤(3.56%), 2板信达地产(9.88%), 1板金 融 街(9.45%), 1板泸州老窖(8.73%), 1板亚钾国际(6.44%)","105天海联金汇, 99天迪威尔, 87天浙江建投, 85天建发股份, 85天大有能源, 76天唐人神, 75天傲农生物, 75天巨星农牧, 74天晋控煤业, 70天岭南控股",80亿东方财富/73亿五 粮 液/68亿贵州茅台/65亿智飞生物/64亿宁德时代/56亿以岭药业/43亿中国中免/41亿云天化/37亿万 科Ａ/36亿阳光电源/33亿紫金矿业/33亿九安医疗,
"2022-04-13
周三
涨停明细",5,53,46,45,45.90%,16,6,8735亿,-1.21%,265.28亿,39.42亿,7.14亿,"7.14亿九安医疗, 4.81亿广汇物流, 3.79亿步 步 高, 3.36亿东百集团, 1.62亿保税科技",45.46亿,"45.5亿九安医疗, 17.2亿中煤能源, 14.8亿京粮控股, 14.8亿平煤股份, 14.7亿华润双鹤",中药/商业百货/房地产开/物流行业/煤炭行业/医疗器械/通用设备,"6板大理药业, 4板广汇物流/东百集团, 3板中国铁物/步 步 高/保税科技, 2板畅联股份/大连友谊/厦门港务/飞马国际/长久物流/三羊马",ST万林/华润双鹤/京能置业,30.62%拓新药业/21.21%中集车辆/20.39%诚达药业/20.14%今天国际/20.14%大理药业/17.71%京能置业/17.67%中交地产/17.05%渝 开 发/16.14%飞力达/15.32%联络互动/15.26%华润双鹤/14.58%安旭生物,"8板国统股份(2.45%), 5板北部湾港(3.58%), 4板空港股份(5.73%), 3板东方网络(0.54%), 3板新宁物流(11.78%), 3板新农开发(5.05%), 3板南宁百货(2.54%), 3板友好集团(0.87%)","104天海联金汇, 98天迪威尔, 86天浙江建投, 84天建发股份, 84天大有能源, 75天唐人神, 74天傲农生物, 74天巨星农牧, 73天晋控煤业, 69天岭南控股",61亿东方财富/55亿贵州茅台/51亿以岭药业/51亿紫金矿业/46亿九安医疗/45亿宁德时代/43亿中银证券/40亿中国中免/39亿五 粮 液/39亿云天化/37亿天齐锂业/33亿万 科Ａ,
"2022-04-12
周二
涨停明细",6,96,16,46,32.40%,14,5,9165亿,1.74%,553.77亿,58.19亿,5.31亿,"5.31亿九安医疗, 4.54亿广汇物流, 3.65亿中国中免, 2.75亿冰川网络, 2.12亿中银证券",74.74亿,"74.7亿九安医疗, 31.7亿中国中免, 23亿山西汾酒, 22.7亿海南瑞泽, 19.1亿中银证券",中药/航运港口/商业百货/房地产开/物流行业/工程建设/医药商业,"5板大理药业, 4板北部湾港, 3板东百集团/广汇物流/空港股份, 2板东方网络/保税科技/步 步 高/第一医药/乾景园林/新农开发/中国铁物",南宁百货/海汽集团/永辉超市/徐家汇,23.21%君亭酒店/20.03%宜安科技/18.27%泽璟制药/17.56%三江购物/16.90%空港股份/16.55%海汽集团/16.46%天房发展/16.18%海峡股份/16.12%幸福蓝海/16.10%南宁百货/16.10%天目湖/15.74%岭南控股,"7板国统股份(9.26%), 4板天保基建(-9.98%), 4板新疆交建(-1.38%), 4板宁波富达(2.04%), 3板安徽建工(-0.32%), 2板海南发展(8.03%), 2板华润双鹤(7.29%), 2板ST万林(5.33%)","103天海联金汇, 97天迪威尔, 93天上海凯宝, 85天浙江建投, 83天建发股份, 83天大有能源, 79天博信股份, 74天唐人神, 73天傲农生物, 73天巨星农牧",79亿东方财富/75亿九安医疗/73亿贵州茅台/61亿以岭药业/58亿宁德时代/53亿五 粮 液/41亿中国医药/38亿天保基建/35亿万 科Ａ/32亿中国中免/31亿北新路桥/31亿盐湖股份,
