,0,1,2,3,4,5,6,7,8,9
1700,,<a href='/en/product/equities/FR0000030769-XMLI/placoplatre/mlplc/quotes' data-order='PLACOPLATRE' data-title-hover='PLACOPLATRE'>PLACOPLATRE</a>,FR0000030769,MLPLC,<div class='nowrap pointer' title='Euronext Access Paris' >XMLI</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>600.00</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>0.84%</span></div>,"<div class='text-right pointer tooltipDesign' >04 May 2023<span class=""tooltiptext"">16:34 CEST</span></div>","<div class=""text-right"">595.00</div>","<div class=""text-right"">17 Jul 2023</div>"
1701,,<a href='/en/product/equities/IT0005430951-EXGM/planetel/pln/quotes' data-order='PLANETEL' data-title-hover='PLANETEL'>PLANETEL</a>,IT0005430951,PLN,<div class='nowrap pointer' title='Euronext Growth Milan' >EXGM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>5.00</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>3.31%</span></div>,"<div class='text-right pointer tooltipDesign' >15:46 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">5.00</div>","<div class=""text-right"">17 Jul 2023</div>"
1702,,<a href='/en/product/equities/FR0010785790-ALXP/plant-advanced/alpat/quotes' data-order='PLANT ADVANCED' data-title-hover='PLANT ADVANCED'>PLANT ADVANCED</a>,FR0010785790,ALPAT,<div class='nowrap pointer' title='Euronext Growth Paris' >ALXP</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>12.80</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >17:29 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">12.80</div>","<div class=""text-right"">17 Jul 2023</div>"
1703,,<a href='/en/product/equities/FR0011844067-ALXP/plant-advanced-bs/patbs/quotes' data-order='PLANT ADVANCED BS' data-title-hover='PLANT ADVANCED BS'>PLANT ADVANCED BS</a>,FR0011844067,PATBS,<div class='nowrap pointer' title='Euronext Growth Paris' >ALXP</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>0.02</span></div>,<div class='text-right pd_percent'><span class=red>-33.33%</span></div>,"<div class='text-right pointer tooltipDesign' >03 Jan 2023<span class=""tooltiptext"">16:25 CET</span></div>","<div class=""text-right"">0.02</div>","<div class=""text-right"">17 Jul 2023</div>"
1704,,<a href='/en/product/equities/FR0013252186-XPAR/plastval-loire/pvl/quotes' data-order='PLAST.VAL LOIRE' data-title-hover='PLAST.VAL LOIRE'>PLAST.VAL LOIRE</a>,FR0013252186,PVL,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>3.00</span></div>,<div class='text-right pd_percent'><span class=red>-1.32%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">3.00</div>","<div class=""text-right"">17 Jul 2023</div>"
1705,,<a href='/en/product/equities/FR0000124570-XPAR/plastic-omnium/pom/quotes' data-order='PLASTIC OMNIUM' data-title-hover='PLASTIC OMNIUM'>PLASTIC OMNIUM</a>,FR0000124570,POM,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>17.18</span></div>,<div class='text-right pd_percent'><span class=red>-0.92%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">17.18</div>","<div class=""text-right"">17 Jul 2023</div>"
1706,,<a href='/en/product/equities/IT0005339160-MTAA/plc/plc/quotes' data-order='PLC' data-title-hover='PLC'>PLC</a>,IT0005339160,PLC,<div class='nowrap pointer' title='Euronext Milan' >MTAA</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>1.40</span></div>,<div class='text-right pd_percent'><span class=red>-1.41%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">1.40</div>","<div class=""text-right"">17 Jul 2023</div>"
1707,,<a href='/en/product/equities/NO0010466022-XOSL/polaris-media/pol/quotes' data-order='POLARIS MEDIA' data-title-hover='POLARIS MEDIA'>POLARIS MEDIA</a>,NO0010466022,POL,<div class='nowrap pointer' title='Oslo Børs' >XOSL</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>51.50</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >10:11 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">51.50</div>","<div class=""text-right"">17 Jul 2023</div>"
1708,,<a href='/en/product/equities/NO0012535832-XOSL/polight/plt/quotes' data-order='POLIGHT' data-title-hover='POLIGHT'>POLIGHT</a>,NO0012535832,PLT,<div class='nowrap pointer' title='Oslo Børs' >XOSL</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>12.08</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>4.32%</span></div>,"<div class='text-right pointer tooltipDesign' >16:25 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">12.08</div>","<div class=""text-right"">17 Jul 2023</div>"
1709,,<a href='/en/product/equities/IT0004587470-EXGM/poligraf-printing/popr/quotes' data-order='POLIGRAF PRINTING' data-title-hover='POLIGRAFICI PRINTING'>POLIGRAF PRINTING</a>,IT0004587470,POPR,<div class='nowrap pointer' title='Euronext Growth Milan' >EXGM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>0.336</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>0.60%</span></div>,"<div class='text-right pointer tooltipDesign' >07 Jul 2023<span class=""tooltiptext"">14:44 CEST</span></div>","<div class=""text-right"">0.336</div>","<div class=""text-right"">17 Jul 2023</div>"
1710,,<a href='/en/product/equities/NL0000378669-XAMS/porceleyne-fles/porf/quotes' data-order='PORCELEYNE FLES' data-title-hover='KONINKLIJKE PORCELEYNE FLES'>PORCELEYNE FLES</a>,NL0000378669,PORF,<div class='nowrap pointer' title='Euronext Amsterdam' >XAMS</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>12.30</span></div>,<div class='text-right pd_percent'><span class=red>-4.65%</span></div>,"<div class='text-right pointer tooltipDesign' >14 Jul 2023<span class=""tooltiptext"">14:33 CEST</span></div>","<div class=""text-right"">12.30</div>","<div class=""text-right"">17 Jul 2023</div>"
1711,,<a href='/en/product/equities/IT0005337495-EXGM/portobello/por/quotes' data-order='PORTOBELLO' data-title-hover='PORTOBELLO'>PORTOBELLO</a>,IT0005337495,POR,<div class='nowrap pointer' title='Euronext Growth Milan' >EXGM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>21.10</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>0.48%</span></div>,"<div class='text-right pointer tooltipDesign' >12:37 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">21.10</div>","<div class=""text-right"">17 Jul 2023</div>"
1712,,<a href='/en/product/equities/IT0003796171-MTAH/poste-italiane/2pst/quotes' data-order='POSTE ITALIANE' data-title-hover='POSTE ITALIANE'>POSTE ITALIANE</a>,IT0003796171,2PST,<div class='nowrap pointer' title='Trading After Hours' >MTAH</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>9.94</span></div>,<div class='text-right pd_percent'><span class=red>-0.12%</span></div>,"<div class='text-right pointer tooltipDesign' >14 Jul 2023<span class=""tooltiptext"">18:52 CEST</span></div>","<div class=""text-right"">9.936</div>","<div class=""text-right"">17 Jul 2023</div>"
1713,,<a href='/en/product/equities/IT0003796171-MTAA/poste-italiane/pst/quotes' data-order='POSTE ITALIANE' data-title-hover='POSTE ITALIANE'>POSTE ITALIANE</a>,IT0003796171,PST,<div class='nowrap pointer' title='Euronext Milan' >MTAA</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>9.936</span></div>,<div class='text-right pd_percent'><span class=red>-0.16%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">9.936</div>","<div class=""text-right"">17 Jul 2023</div>"
1714,,<a href='/en/product/equities/NL0009739416-XAMS/postnl/pnl/quotes' data-order='POSTNL' data-title-hover='POSTNL'>POSTNL</a>,NL0009739416,PNL,<div class='nowrap pointer' title='Euronext Amsterdam' >XAMS</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>1.7745</span></div>,<div class='text-right pd_percent'><span class=red>-1.17%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">1.7745</div>","<div class=""text-right"">17 Jul 2023</div>"
1715,,<a href='/en/product/equities/FR0000066441-ALXP/poujoulat/alpjt/quotes' data-order='POUJOULAT' data-title-hover='POUJOULAT'>POUJOULAT</a>,FR0000066441,ALPJT,<div class='nowrap pointer' title='Euronext Growth Paris' >ALXP</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>24.90</span></div>,<div class='text-right pd_percent'><span class=red>-3.11%</span></div>,"<div class='text-right pointer tooltipDesign' >16:57 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">24.90</div>","<div class=""text-right"">17 Jul 2023</div>"
1716,,<a href='/en/product/equities/FR0013015583-ALXP/poulaillon/alpou/quotes' data-order='POULAILLON' data-title-hover='POULAILLON'>POULAILLON</a>,FR0013015583,ALPOU,<div class='nowrap pointer' title='Euronext Growth Paris' >ALXP</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>4.40</span></div>,<div class='text-right pd_percent'><span class=red>-3.93%</span></div>,"<div class='text-right pointer tooltipDesign' >15:01 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">4.40</div>","<div class=""text-right"">17 Jul 2023</div>"
1717,,<a href='/en/product/equities/IT0005353815-EXGM/powersoft/pws/quotes' data-order='POWERSOFT' data-title-hover='POWERSOFT'>POWERSOFT</a>,IT0005353815,PWS,<div class='nowrap pointer' title='Euronext Growth Milan' >EXGM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>6.70</span></div>,<div class='text-right pd_percent'><span class=red>-4.29%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">6.70</div>","<div class=""text-right"">17 Jul 2023</div>"
1718,,<a href='/en/product/equities/FR0012432516-XPAR/poxel/poxel/quotes' data-order='POXEL' data-title-hover='POXEL'>POXEL</a>,FR0012432516,POXEL,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>0.612</span></div>,<div class='text-right pd_percent'><span class=red>-2.39%</span></div>,"<div class='text-right pointer tooltipDesign' >17:03 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">0.612</div>","<div class=""text-right"">17 Jul 2023</div>"
1719,,<a href='/en/product/equities/IT0005499949-EXGM/pozzi-milano/poz/quotes' data-order='POZZI MILANO' data-title-hover='POZZI MILANO'>POZZI MILANO</a>,IT0005499949,POZ,<div class='nowrap pointer' title='Euronext Growth Milan' >EXGM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>1.37</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>0.37%</span></div>,"<div class='text-right pointer tooltipDesign' >17:06 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">1.37</div>","<div class=""text-right"">17 Jul 2023</div>"
1720,,<a href='/en/product/equities/BMG7209L1000-XAMS/ppla-class-a/pplaa/quotes' data-order='PPLA CLASS A' data-title-hover='PPLA Class A voting common share'>PPLA CLASS A</a>,BMG7209L1000,PPLAA,<div class='nowrap pointer' title='Euronext Amsterdam' >XAMS</div>,<div class='text-right pd_currency_es'>-</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >-<span class=""tooltiptext""></span></div>","<div class=""text-right"">0.30</div>","<div class=""text-right"">17 Jul 2023</div>"
1721,,<a href='/en/product/equities/BMG7209L1182-XAMS/ppla-class-b/pplab/quotes' data-order='PPLA CLASS B' data-title-hover='PPLA Class B non voting common shares'>PPLA CLASS B</a>,BMG7209L1182,PPLAB,<div class='nowrap pointer' title='Euronext Amsterdam' >XAMS</div>,<div class='text-right pd_currency_es'>-</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >-<span class=""tooltiptext""></span></div>","<div class=""text-right"">0.30</div>","<div class=""text-right"">17 Jul 2023</div>"
1722,,<a href='/en/product/equities/US69355L1098-XAMS/ppla-european-unit/ppla/quotes' data-order='PPLA European Unit' data-title-hover='PPLA European Unit'>PPLA European Unit</a>,US69355L1098,PPLA,<div class='nowrap pointer' title='Euronext Amsterdam' >XAMS</div>,<div class='text-right pd_currency_es'>-</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >-<span class=""tooltiptext""></span></div>","<div class=""text-right"">0.30</div>","<div class=""text-right"">17 Jul 2023</div>"
1723,,<a href='/en/product/equities/FR0014004EC4-XPAR/precia/prec/quotes' data-order='PRECIA' data-title-hover='PRECIA'>PRECIA</a>,FR0014004EC4,PREC,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>27.30</span></div>,<div class='text-right pd_percent'><span class=red>-2.15%</span></div>,"<div class='text-right pointer tooltipDesign' >17:14 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">27.30</div>","<div class=""text-right"">17 Jul 2023</div>"
1724,,<a href='/en/product/equities/FR0010169920-ALXP/predilife/alpre/quotes' data-order='PREDILIFE' data-title-hover='PREDILIFE'>PREDILIFE</a>,FR0010169920,ALPRE,<div class='nowrap pointer' title='Euronext Growth Paris' >ALXP</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>5.85</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>4.46%</span></div>,"<div class='text-right pointer tooltipDesign' >16:09 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">5.85</div>","<div class=""text-right"">17 Jul 2023</div>"
1725,,<a href='/en/product/equities/IT0005442154-EXGM/premia-finance/pfi/quotes' data-order='PREMIA FINANCE' data-title-hover='PREMIA FINANCE'>PREMIA FINANCE</a>,IT0005442154,PFI,<div class='nowrap pointer' title='Euronext Growth Milan' >EXGM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>3.14</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >15 May 2023<span class=""tooltiptext"">10:16 CEST</span></div>","<div class=""text-right"">3.14</div>","<div class=""text-right"">17 Jul 2023</div>"
1726,,<a href='/en/product/equities/FR0004044600-ALXP/prismaflex-intl/alpri/quotes' data-order='PRISMAFLEX INTL' data-title-hover='PRISMAFLEX INTL'>PRISMAFLEX INTL</a>,FR0004044600,ALPRI,<div class='nowrap pointer' title='Euronext Growth Paris' >ALXP</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>6.36</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >09:41 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">6.36</div>","<div class=""text-right"">17 Jul 2023</div>"
1727,,<a href='/en/product/equities/IT0004822695-EXGM/prismi/prm/quotes' data-order='PRISMI' data-title-hover='PRISMI'>PRISMI</a>,IT0004822695,PRM,<div class='nowrap pointer' title='Euronext Growth Milan' >EXGM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>0.105</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >10:03 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">0.105</div>","<div class=""text-right"">17 Jul 2023</div>"
1728,,<a href='/en/product/equities/FR0004052561-XPAR/proactis-sa/proac/quotes' data-order='PROACTIS SA' data-title-hover='PROACTIS SA'>PROACTIS SA</a>,FR0004052561,PROAC,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>0.082</span></div>,<div class='text-right pd_percent'><span class=red>-16.33%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">0.082</div>","<div class=""text-right"">17 Jul 2023</div>"
1729,,<a href='/en/product/equities/FR0010313486-ALXP/prodware/alpro/quotes' data-order='PRODWARE' data-title-hover='PRODWARE'>PRODWARE</a>,FR0010313486,ALPRO,<div class='nowrap pointer' title='Euronext Growth Paris' >ALXP</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>9.00</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >12 Jul 2023<span class=""tooltiptext"">14:19 CEST</span></div>","<div class=""text-right"">9.00</div>","<div class=""text-right"">17 Jul 2023</div>"
1730,,<a href='/en/product/equities/FR0012613610-XPAR/prodways/pwg/quotes' data-order='PRODWAYS' data-title-hover='PRODWAYS GROUP'>PRODWAYS</a>,FR0012613610,PWG,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>1.82</span></div>,<div class='text-right pd_percent'><span class=red>-2.57%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">1.82</div>","<div class=""text-right"">17 Jul 2023</div>"
1731,,<a href='/en/product/equities/FR0010380626-ALXP/prologue/alprg/quotes' data-order='PROLOGUE' data-title-hover='PROLOGUE'>PROLOGUE</a>,FR0010380626,ALPRG,<div class='nowrap pointer' title='Euronext Growth Paris' >ALXP</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>0.308</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>0.65%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">0.308</div>","<div class=""text-right"">17 Jul 2023</div>"
1732,,<a href='/en/product/equities/FR0013398617-ALXP/prologue-bsa/probt/quotes' data-order='PROLOGUE BSA' data-title-hover='PROLOGUE BSA'>PROLOGUE BSA</a>,FR0013398617,PROBT,<div class='nowrap pointer' title='Euronext Growth Paris' >ALXP</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>0.006</span></div>,<div class='text-right pd_percent'><span class=red>-14.29%</span></div>,"<div class='text-right pointer tooltipDesign' >14:40 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">0.006</div>","<div class=""text-right"">17 Jul 2023</div>"
1733,,<a href='/en/product/equities/IT0005425365-EXGM/promotica/pmt/quotes' data-order='PROMOTICA' data-title-hover='PROMOTICA'>PROMOTICA</a>,IT0005425365,PMT,<div class='nowrap pointer' title='Euronext Growth Milan' >EXGM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>2.82</span></div>,<div class='text-right pd_percent'><span class=red>-2.76%</span></div>,"<div class='text-right pointer tooltipDesign' >14 Jul 2023<span class=""tooltiptext"">16:52 CEST</span></div>","<div class=""text-right"">2.82</div>","<div class=""text-right"">17 Jul 2023</div>"
1734,,<a href='/en/product/equities/FR0000061376-XMLI/propimmeubles/mlpri/quotes' data-order='PROP.IMMEUBLES' data-title-hover='PROPRIETE IMMEUBLES'>PROP.IMMEUBLES</a>,FR0000061376,MLPRI,<div class='nowrap pointer' title='Euronext Access Paris' >XMLI</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>25.00</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>25.00%</span></div>,"<div class='text-right pointer tooltipDesign' >12 Jun 2023<span class=""tooltiptext"">16:30 CEST</span></div>","<div class=""text-right"">25.00</div>","<div class=""text-right"">17 Jul 2023</div>"
1735,,<a href='/en/product/equities/NO0010861990-XOSL/prosafe/prs/quotes' data-order='PROSAFE' data-title-hover='PROSAFE'>PROSAFE</a>,NO0010861990,PRS,<div class='nowrap pointer' title='Oslo Børs' >XOSL</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>104.80</span></div>,<div class='text-right pd_percent'><span class=red>-3.50%</span></div>,"<div class='text-right pointer tooltipDesign' >16:25 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">104.80</div>","<div class=""text-right"">17 Jul 2023</div>"
1736,,<a href='/en/product/equities/DE000PSM7770-TNLB/prosiebensat/psmp/quotes' data-order='PROSIEBENSAT' data-title-hover='PROSIEBENSAT'>PROSIEBENSAT</a>,DE000PSM7770,PSMP,<div class='nowrap pointer' title='Traded not listed Brussels' >TNLB</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>9.14</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>6.90%</span></div>,"<div class='text-right pointer tooltipDesign' >28 Jun 2023<span class=""tooltiptext"">16:27 CEST</span></div>","<div class=""text-right"">9.09</div>","<div class=""text-right"">17 Jul 2023</div>"
1737,,<a href='/en/product/equities/DE000PSM7770-BGEM/prosiebensat1-medi/1psm/quotes' data-order='PROSIEBENSAT1 MEDI' data-title-hover='PROSIEBENSAT1 MEDIA'>PROSIEBENSAT1 MEDI</a>,DE000PSM7770,1PSM,<div class='nowrap pointer' title='Borsa Italiana Global Equity Market' >BGEM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>8.374</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>2.90%</span></div>,"<div class='text-right pointer tooltipDesign' >12 Jul 2023<span class=""tooltiptext"">16:53 CEST</span></div>","<div class=""text-right"">8.374</div>","<div class=""text-right"">17 Jul 2023</div>"
1738,"<button type='button' class='btn btn-link p-0 ml-auto' role='button' data-toggle='popover' data-placement='bottom' data-trigger='focus' data-html='true' data-content='<img class=""tech_logo_large mb-2"" src=""/sites/default/files/tech_leaders/euronext_tech_leaders_full.svg"" width=""160"" height=""48""><br>
Euronext Initiative dedicated to highlighting the visibility and attractiveness of high-growth and leading Tech companies towards international investors<br>
<a href=""https://www.euronext.com/en/raise-capital/euronext-tech-leaders"" target=""_blank"">More info</a>'><img class='lookup_instrument_logo' src='/sites/default/files/tech_leaders/euronext_tech_leaders_small.svg' alt=''></button>",<a href='/en/product/equities/NL0013654783-XAMS/prosus/prx/quotes' data-order='PROSUS' data-title-hover='PROSUS'>PROSUS</a>,NL0013654783,PRX,<div class='nowrap pointer' title='Euronext Amsterdam' >XAMS</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>68.38</span></div>,<div class='text-right pd_percent'><span class=red>-1.24%</span></div>,"<div class='text-right pointer tooltipDesign' >17:36 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">68.38</div>","<div class=""text-right"">17 Jul 2023</div>"
1739,,<a href='/en/product/equities/NO0010209331-XOSL/protector-forsikrg/prot/quotes' data-order='PROTECTOR FORSIKRG' data-title-hover='PROTECTOR FORSIKRING'>PROTECTOR FORSIKRG</a>,NO0010209331,PROT,<div class='nowrap pointer' title='Oslo Børs' >XOSL</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>153.40</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>0.26%</span></div>,"<div class='text-right pointer tooltipDesign' >16:25 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">153.40</div>","<div class=""text-right"">17 Jul 2023</div>"
1740,,<a href='/en/product/equities/NO0010893902-MERK/proximar-seafood/proxi/quotes' data-order='PROXIMAR SEAFOOD' data-title-hover='PROXIMAR SEAFOOD AS'>PROXIMAR SEAFOOD</a>,NO0010893902,PROXI,<div class='nowrap pointer' title='Euronext Growth Oslo' >MERK</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>5.00</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>0.20%</span></div>,"<div class='text-right pointer tooltipDesign' >12:43 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">5.00</div>","<div class=""text-right"">17 Jul 2023</div>"
1741,,<a href='/en/product/equities/BE0003810273-XBRU/proximus/prox/quotes' data-order='PROXIMUS' data-title-hover='PROXIMUS'>PROXIMUS</a>,BE0003810273,PROX,<div class='nowrap pointer' title='Euronext Brussels' >XBRU</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>7.056</span></div>,<div class='text-right pd_percent'><span class=red>-2.35%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">7.056</div>","<div class=""text-right"">17 Jul 2023</div>"
1742,,<a href='/en/product/equities/NL00150005Z1-MERK/pryme/pryme/quotes' data-order='PRYME' data-title-hover='PRYME N.V.'>PRYME</a>,NL00150005Z1,PRYME,<div class='nowrap pointer' title='Euronext Growth Oslo' >MERK</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>18.58</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>1.53%</span></div>,"<div class='text-right pointer tooltipDesign' >16:25 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">18.58</div>","<div class=""text-right"">17 Jul 2023</div>"
1743,,<a href='/en/product/equities/IT0004176001-MTAA/prysmian/pry/quotes' data-order='PRYSMIAN' data-title-hover='PRYSMIAN'>PRYSMIAN</a>,IT0004176001,PRY,<div class='nowrap pointer' title='Euronext Milan' >MTAA</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>36.90</span></div>,<div class='text-right pd_percent'><span class=red>-0.43%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">36.90</div>","<div class=""text-right"">17 Jul 2023</div>"
1744,,<a href='/en/product/equities/IT0004176001-MTAH/prysmian/2pry/quotes' data-order='PRYSMIAN' data-title-hover='PRYSMIAN'>PRYSMIAN</a>,IT0004176001,2PRY,<div class='nowrap pointer' title='Trading After Hours' >MTAH</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>37.14</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>0.65%</span></div>,"<div class='text-right pointer tooltipDesign' >20:00 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">37.15</div>","<div class=""text-right"">17 Jul 2023</div>"
1745,,<a href='/en/product/equities/FR0000130577-XPAR/publicis-groupe-sa/pub/quotes' data-order='PUBLICIS GROUPE SA' data-title-hover='PUBLICIS GROUPE SA'>PUBLICIS GROUPE SA</a>,FR0000130577,PUB,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>72.42</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>0.11%</span></div>,"<div class='text-right pointer tooltipDesign' >17:36 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">72.42</div>","<div class=""text-right"">17 Jul 2023</div>"
